Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01288947,0.7657804,0.0001519853,1.124838e-15,0.002318214,0.2298256,4.8080749999999995e-36,5.369474e-15,0.00187663,3.664184e-06,0.02698488,0.9231027699544819,323.0085,1.81444341980037e-05,0.002318214,2.685161030662705e-11,1.814443e-05,5.374116e-06,6.224778293792226e-14
0.02552094,0.7644697,0.0003009283,7.15415e-15,0.004590027,0.2268303,4.338917e-34,4.81821e-14,0.003715697,7.254972e-06,0.02904891,1.0093250532343268,351.4768,2.1076180726110465e-05,0.004590027,3.8659541639250876e-10,2.107618e-05,2.106835e-05,1.7744832735156842e-12
0.03764204,0.7632119,0.0004438535,3.0633e-14,0.006770048,0.223956,1.302549e-34,2.755673e-13,0.005480457,1.070057e-05,0.0309899,1.0915865096499522,378.3725,2.4008550178812784e-05,0.006770048,2.7405698387224595e-09,2.400855e-05,4.583355e-05,1.8553794147306106e-11
0.04913831,0.762019,0.0005794109,9.760429e-14,0.008837691,0.2212299,0.0,1.122715e-12,0.007154246,1.396836e-05,0.03280246,1.1691538856712476,403.4974,2.688941698270845e-05,0.008837691,1.2598322918900238e-08,2.688942e-05,7.810478e-05,1.1134007950714084e-10
0.06004708,0.7608871,0.0007080409,2.500912e-13,0.01079967,0.2186431,0.0,3.554567e-12,0.008742498,1.706889e-05,0.03450204,1.2423324792297539,426.9913,2.970646789346999e-05,0.01079967,4.305234878484354e-08,2.970647e-05,0.0001166329,4.649511297460983e-10
0.07045648,0.7598069,0.0008307826,5.452209e-13,0.01267183,0.2161747,4.460551e-35,9.321653e-12,0.01025804,2.002717e-05,0.03610898,1.3117633956622083,449.094,3.246527827879852e-05,0.01267183,1.1899045114953761e-07,3.246528e-05,0.0001605753,1.5078274233582557e-09
0.0804389,0.7587711,0.0009484897,1.050698e-12,0.01446721,0.2138076,0.0,2.114431e-11,0.01171143,2.286376e-05,0.03763903,1.3779717165793286,470.0009,3.5171694586899925e-05,0.01446721,2.8053326954242935e-07,3.517169e-05,0.0002093002,4.058533206982513e-09
0.09007368,0.7577713,0.001062097,1.841858e-12,0.01620005,0.2115229,2.9356110000000002e-33,4.286272e-11,0.01311419,2.560125e-05,0.0391076,1.441519361406923,489.9116,3.7836884876660005e-05,0.01620005,5.860943834801882e-07,3.783688e-05,0.0002624416,9.494758995981766e-09
0.09947063,0.7567963,0.001172901,3.005093e-12,0.01789012,0.2092946,1.063156e-32,7.972722e-11,0.01448234,2.827097e-05,0.04053367,1.5031565536047422,509.0779,4.0483493311780075e-05,0.01789012,1.1178288346613471e-06,4.048349e-05,0.0003200564,1.999808497855071e-08
0.1087107,0.7558375,0.001281854,4.638766e-12,0.01955196,0.2071035,0.0,1.386418e-10,0.01582763,3.089616e-05,0.04193113,1.5634309742879706,527.6817,4.312872868515924e-05,0.01955196,1.987203630161648e-06,4.312873e-05,0.0003822791,3.885372993199545e-08
