Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.00581957,0.7670687,1.572467e-05,1.101848e-06,0.002832755,0.2297623,1.663212e-24,1.010778e-10,1.50754e-05,0.0001927106,0.02710059,0.9338855710009853,327.6897,1.8572499871590736e-05,0.002832755,0.0044681531012005105,1.85725e-05,8.024501e-06,1.2657184615169104e-05
0.01161278,0.7670198,3.137837e-05,3.264228e-06,0.005652547,0.2266565,5.1684350000000006e-23,8.719646e-10,3.007693e-05,0.0003864817,0.0292739,1.0321424645600983,361.3826,2.203567394000259e-05,0.005652547,0.023582370387419838,2.203567e-05,3.195129e-05,0.00013330047679821152
0.01734535,0.7669714,4.686887e-05,6.740664e-06,0.008442614,0.2235828,5.714655e-22,5.146368e-09,4.491283e-05,0.0005805587,0.03135136,1.1287899687596088,394.3756,2.564451649636236e-05,0.008442614,0.06763392302826354,2.564452e-05,7.127773e-05,0.0005710070973798076
0.02296027,0.766924,6.204309e-05,1.163371e-05,0.01117514,0.2205719,3.95699e-21,1.911233e-08,5.943094e-05,0.0007731995,0.03332993,1.2228589512908377,426.3463,2.9342231507254367e-05,0.01117514,0.1487949091892714,2.934223e-05,0.0001248838,0.0016628044704788396
0.02840733,0.766878,7.676673e-05,1.790886e-05,0.0138256,0.2176507,2.035138e-20,4.954412e-08,7.349869e-05,0.0009626783,0.03520667,1.3135207123170283,457.0251,3.307294098732361e-05,0.0138256,0.28009200424477354,3.307294e-05,0.0001911472,0.003872440325768899
0.03367192,0.7668336,9.100239e-05,2.547434e-05,0.01638683,0.2148269,8.363857e-20,1.018651e-07,8.707915e-05,0.001148362,0.03698827,1.4005600279327692,486.3534,3.6804140503621774e-05,0.01638683,0.47515945726058023,3.680414e-05,0.0002685282,0.0077863574528911125
0.03875948,0.7667905,0.0001047674,3.42254e-05,0.01886139,0.2120977,2.8698899999999997e-19,1.802679e-07,0.0001001896,0.001330262,0.03868536,1.4841003139020572,514.3866,4.05194113642607e-05,0.01886139,0.7481732580261257,4.051941e-05,0.000355752,0.014111587128041793
0.04368768,0.7667488,0.0001181127,4.407154e-05,0.02125779,0.2094536,8.495591999999999e-19,2.881942e-07,0.0001128802,0.001508811,0.04031031,1.5644648700977886,541.2456,4.4214405529945264e-05,0.02125779,1.1139983310288766,4.421441e-05,0.0004518936,0.023681148292183214
0.04849219,0.7667081,0.0001311388,5.497815e-05,0.02359332,0.2068757,2.233632e-18,4.291418e-07,0.0001252485,0.00168512,0.04187944,1.6422615649701666,567.144,4.7901797356747165e-05,0.02359332,1.5898740779522442,4.79018e-05,0.0005566447,0.03751040372701408
0.05322188,0.766668,0.0001439829,6.698064e-05,0.02589162,0.2043378,5.350481e-18,6.074194e-07,0.0001374265,0.00186084,0.04341184,1.718296906584445,592.3574,5.160854928316089e-05,0.02589162,2.1975505333937257,5.160855e-05,0.000670376,0.05689813729742138
