Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.009064696,0.7668357,8.743093e-05,7.180607e-09,0.003252619,0.229224,5.809983e-31,2.931363e-09,0.0004063063,6.157471e-05,0.02753471,0.9501945998540501,332.9058,1.9111425519946485e-05,0.003252619,0.00010795464911213816,1.911143e-05,1.057953e-05,3.511353875273656e-07
0.01790914,0.7665604,0.0001727376,2.37985e-08,0.006426185,0.2256548,9.436243e-29,1.314849e-08,0.0008027432,0.0001217093,0.0300741,1.0622652061936435,370.8338,2.309044816437917e-05,0.006426185,0.000755321231654016,2.309045e-05,4.129585e-05,4.853833901025564e-06
0.02635663,0.7662974,0.0002542159,5.157622e-08,0.009457276,0.2222458,4.088212e-27,3.721337e-08,0.001181394,0.0001792376,0.03242558,1.1686292236305242,406.5708,2.7106413273571195e-05,0.009457276,0.0025900516463999088,2.710641e-05,8.944007e-05,2.4494830802355117e-05
0.03426587,0.766051,0.0003305032,8.969139e-08,0.01229517,0.219054,6.637996e-26,8.167797e-08,0.00153593,0.00023323,0.03457726,1.2675821567530123,439.5901,3.104274477169895e-05,0.01229517,0.006296453241746297,3.104274e-05,0.0001511712,7.741595771852958e-05
0.04159397,0.7658227,0.0004011863,1.361153e-07,0.01492445,0.2160967,5.703095e-25,1.516156e-07,0.001864433,0.0002834167,0.03653751,1.3586899294310038,469.7973,3.483125274879956e-05,0.01492445,0.012423973485981241,3.483125e-05,0.0002227392,0.00018542095814542086
0.04849351,0.7656077,0.0004677372,1.899692e-07,0.01739986,0.2133123,3.27643e-24,2.526554e-07,0.002173747,0.0003308607,0.03836022,1.443943235703518,497.894,3.8514413441378786e-05,0.01739986,0.02155867896521252,3.851441e-05,0.0003027551,0.0003751179701623569
0.05506006,0.7654029,0.0005310783,2.507883e-07,0.01975566,0.2106624,1.4306320000000002e-23,3.906005e-07,0.002468161,0.0003762387,0.0400787,1.5245910436984385,524.3219,4.211804725500432e-05,0.01975566,0.0343090004537183,4.211805e-05,0.0003902861,0.0006777968927614857
0.06129742,0.7652082,0.0005912467,3.178251e-07,0.02199319,0.2081454,5.0695750000000006e-23,5.695945e-07,0.002747848,0.0004195939,0.04169936,1.600738901076737,549.1398,4.562451627671333e-05,0.02199319,0.05114482445096657,4.562452e-05,0.0004837004,0.0011248377851216123
0.0672908,0.765021,0.0006490652,3.916429e-07,0.02414302,0.2057268,1.546952e-22,7.960934e-07,0.003016634,0.0004615346,0.04324806,1.6734780010439156,572.7235,4.9066140703687465e-05,0.02414302,0.0727853317645035,4.906614e-05,0.0005828854,0.001757257330210177
0.07308085,0.76484,0.0007049265,4.729092e-07,0.02621969,0.2033903,4.21087e-22,1.076576e-06,0.003276346,0.0005023636,0.0447378,1.7433402224327788,595.2609,5.245457944967978e-05,0.02621969,0.1000070953947053,5.245458e-05,0.0006874721,0.0026221545418806977
