Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01424419,0.7656932,0.0001510585,3.682933e-14,0.002799519,0.2293001,3.024396e-36,2.037838e-13,0.002019291,5.643388e-06,0.02738268,0.9408629971755293,329.0826,1.874694925173166e-05,0.002799519,1.1297092545166127e-09,1.874695e-05,7.837307e-06,3.162642282006748e-12
0.02805964,0.7643115,0.0002975703,2.876706e-13,0.005514775,0.2258259,1.977432e-34,2.328125e-12,0.003977803,1.111682e-05,0.02978705,1.0432208483930956,362.9941,2.229341045378229e-05,0.005514775,2.0037351479255866e-08,2.229341e-05,3.041274e-05,1.1050149921268123e-10
0.0411268,0.7630046,0.0004361465,1.285445e-12,0.008082963,0.2225398,3.64847e-34,1.412046e-11,0.005830235,1.629364e-05,0.03200789,1.139373005313922,394.5182,2.5810991463019887e-05,0.008082963,1.476970366161442e-07,2.581099e-05,6.533429e-05,1.193829338102901e-09
0.05338107,0.761779,0.0005661021,3.997301e-12,0.01049139,0.2194582,3.5622360000000005e-33,5.648357e-11,0.007567431,2.114833e-05,0.03405466,1.2289272767536854,423.5908,2.9241820690170472e-05,0.01049139,6.585292837393996e-07,2.924182e-05,0.0001100693,6.908887823272392e-09
0.0649329,0.7606236,0.0006886083,9.704299e-12,0.01276175,0.2165532,2.801039e-34,1.694915e-10,0.009205046,2.572497e-05,0.03595957,1.3127778576384308,450.5599,3.25838947099647e-05,0.01276175,2.1175382527057994e-06,3.258389e-05,0.0001628623,2.7023492816151368e-08
0.07590894,0.7595258,0.0008050084,1.976173e-11,0.01491896,0.213793,0.0,4.138104e-10,0.01076104,3.007443e-05,0.03775241,1.3919192130088769,475.7911,3.584933866438392e-05,0.01491896,5.42807292264757e-06,3.584934e-05,0.0002225754,8.098120561082634e-08
0.08641478,0.7584751,0.0009164221,3.536924e-11,0.01698374,0.2111511,0.0,8.668911e-10,0.01225038,3.423971e-05,0.03945629,1.4671733892306833,499.5819,3.905125526220076e-05,0.01698374,1.1803395244626953e-05,3.905126e-05,0.0002884474,2.0046576886414518e-07
0.09654159,0.7574622,0.001023816,5.741312e-11,0.01897402,0.2086044,2.604952e-32,1.61528e-09,0.01368598,3.825857e-05,0.04108994,1.5392430002924562,522.1822,4.220359567164868e-05,0.01897402,2.2680129912109224e-05,4.22036e-05,0.0003600134,4.303332461095634e-07
0.10637,0.7564792,0.001128047,8.644755e-11,0.02090566,0.2061329,1.69775e-31,2.747086e-09,0.0150793,4.21652e-05,0.04266912,1.6087407388817514,543.8056,4.532091321133287e-05,0.02090566,3.963050764457511e-05,4.532091e-05,0.0004370466,8.285019631463236e-07
0.1159691,0.7555192,0.001229844,1.227535e-10,0.02279219,0.203719,8.978773e-31,4.345954e-09,0.01644011,4.598969e-05,0.04420682,1.6761843206031046,564.6298,4.841695286117121e-05,0.02279219,6.429831320543265e-05,4.841695e-05,0.0005194839,1.4654993495566746e-06
0.1253884,0.7545771,0.001329736,1.664206e-10,0.02464337,0.2013503,4.6634529999999995e-30,6.486108e-09,0.01777544,4.975519e-05,0.0457124,1.7419457220164694,584.7828,5.15013046302485e-05,0.02464337,9.835234579991627e-05,5.15013e-05,0.0006072957,2.423732825939383e-06
0.1346514,0.7536506,0.001427971,2.174366e-10,0.0264638,0.199021,2.033797e-29,9.228097e-09,0.01908863,5.3475e-05,0.04719059,1.8062076466884447,604.3313,5.4576406376490984e-05,0.0264638,0.00014344798176163767,5.457641e-05,0.0007003327,3.7961788593509717e-06
0.1437546,0.75274,0.001524511,2.758107e-10,0.02825278,0.1967319,7.757906000000001e-29,1.26174e-08,0.02037918,5.715219e-05,0.0486416,1.8689642966143525,623.2836,5.763639187471509e-05,0.02825278,0.0002012237230628512,5.763639e-05,0.0007982196,5.685129604263631e-06
0.1526784,0.7518474,0.001619151,3.417795e-10,0.03000647,0.194488,2.624571e-28,1.669089e-08,0.02164433,6.078374e-05,0.05006286,1.9301021236334635,641.6153,6.067034762876338e-05,0.03000647,0.00027341865285434116,6.067035e-05,0.0009003882,8.204329489277608e-06
0.1614049,0.7509745,0.001711699,4.160982e-10,0.03172132,0.1922938,8.0166990000000005e-28,2.149435e-08,0.02288153,6.436743e-05,0.05145192,1.9895211918823559,659.3072,6.366796085020199e-05,0.03172132,0.00036219054241311017,6.366796e-05,0.001006242,1.1489162580687519e-05
0.1699306,0.7501217,0.00180212,5.003275e-10,0.03339664,0.1901501,2.2472970000000003e-27,2.710555e-08,0.02409028,6.79072e-05,0.05280845,2.0472228807455823,676.3702,6.662416631966238e-05,0.03339664,0.0004705990133204604,6.662417e-05,0.001115336,1.5716425647116918e-05
0.1782686,0.7492876,0.001890552,5.970252e-10,0.03503501,0.1880537,5.871477e-27,3.365408e-08,0.02527247,7.141432e-05,0.05413472,2.1033205752918307,692.8477,6.95400689931215e-05,0.03503501,0.0006031244406481845,6.954007e-05,0.001227452,2.11304632963198e-05
0.1864429,0.7484698,0.001977251,7.099521e-10,0.03664111,0.1859986,1.450488e-26,4.133893e-08,0.02643148,7.490543e-05,0.05543457,2.157997343936869,708.8022,7.242107448414153e-05,0.03664111,0.0007662636390827131,7.242107e-05,0.001342571,2.807675392313127e-05
0.1944826,0.7476655,0.002062526,8.442713e-10,0.03822065,0.1839774,3.4301899999999997e-26,5.044281e-08,0.02757143,7.84007e-05,0.05671262,2.2114656532846455,724.3034,7.527486306604674e-05,0.03822065,0.0009691905239581342,7.527486e-05,0.001460818,3.7043089081374856e-05
0.2024186,0.7468715,0.002146706,1.006904e-09,0.0397797,0.1819824,7.846930999999999e-26,6.135207e-08,0.02869674,8.192299e-05,0.05797374,2.2639472735735775,739.4215,7.811043715916275e-05,0.0397797,0.0012246983516652691,7.811044e-05,0.001582425,4.87181304142299e-05
0.210282,0.7460847,0.002230122,1.207032e-09,0.04132434,0.1800059,1.751376e-25,7.458245e-08,0.02981181,8.549749e-05,0.05922276,2.315659065515784,754.2239,8.093714722381424e-05,0.04132434,0.001550490977613366,8.093715e-05,0.001707701,6.407301273033571e-05
0.2181017,0.7453022,0.002313081,1.456778e-09,0.04286021,0.1780406,3.8395840000000003e-25,9.081186e-08,0.03092073,8.915131e-05,0.06046408,2.366797803043607,768.7704,8.376395641494509e-05,0.04286021,0.0019709373797370867,8.376396e-05,0.001836998,8.447480046711122e-05
0.2259003,0.7445218,0.002395827,1.772026e-09,0.04439173,0.1760808,8.30848e-25,1.109178e-07,0.03202673,9.291209e-05,0.06170111,2.4175184994559373,783.1077,8.659790599382614e-05,0.04439173,0.0025193177859495278,8.659791e-05,0.001970626,0.00011183687165370111
0.233693,0.7437418,0.002478523,2.173459e-09,0.04592184,0.1741227,1.780019e-24,1.360243e-07,0.03313199,9.680746e-05,0.06293603,2.4679225595515883,797.2664,8.944353528919488e-05,0.04592184,0.0032407747203782042,8.944354e-05,0.002108815,0.00014882234437342038
0.2414913,0.7429613,0.002561295,2.688119e-09,0.0474527,0.1721637,3.782806e-24,1.675763e-07,0.03423812,0.0001008667,0.06417034,2.518084885648729,811.2689,9.23040275256895e-05,0.0474527,0.004196647824676829,9.230403e-05,0.002251759,0.0001991422647454015
0.2493119,0.7421783,0.002644326,3.352273e-09,0.04898753,0.1701995,7.989312e-24,2.074866e-07,0.03534753,0.000105126,0.06540635,2.5681121114478476,825.1461,9.518468706655083e-05,0.04898753,0.005471945814888937,9.518469e-05,0.002399778,0.0002680572308920261
0.2571886,0.7413896,0.002727983,4.216583e-09,0.05053288,0.1682217,1.682061e-23,2.584065e-07,0.03646505,0.0001096358,0.06664902,2.6182191397055554,838.9571,9.809726160460178e-05,0.05053288,0.007188653161892345,9.809726e-05,0.002553572,0.00036326324360696344
0.2651706,0.7405902,0.002812798,5.353915e-09,0.05209819,0.1662183,3.545522e-23,3.241279e-07,0.03759768,0.0001144629,0.06790556,2.668707694311276,852.7842,0.0001010591833967952,0.05209819,0.009526549905367623,0.0001010592,0.002714221,0.0004963161158987727
