Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.008325305,0.7670408,2.418426e-05,1.614293e-06,0.004030614,0.2284399,5.9803839999999996e-24,4.055673e-10,2.626598e-05,0.0002733851,0.02803481,0.975648782048843,342.0198,2.0018039745980084e-05,0.004030614,0.008416593249095817,2.001804e-05,1.624585e-05,3.392403988842481e-05
0.01635408,0.7669664,4.750786e-05,5.255726e-06,0.00791739,0.2241554,2.674387e-22,5.479306e-09,5.157974e-05,0.000540783,0.03096727,1.1105575598651605,388.1428,2.4947565024810966e-05,0.00791739,0.04821315730847935,2.494757e-05,6.268506e-05,0.00038172239925743677
0.02379558,0.7668974,6.91279e-05,1.1004e-05,0.01151944,0.2201838,3.629256e-21,2.916658e-08,7.501536e-05,0.0007927445,0.03357974,1.2345563177431915,430.2802,2.98124980555738e-05,0.01151944,0.1415178079810609,2.98125e-05,0.0001326975,0.0016302056918972119
0.03059431,0.7668344,8.888587e-05,1.850384e-05,0.01480979,0.2165547,2.696152e-20,8.438243e-08,9.63979e-05,0.001026828,0.03590033,1.3469012986687632,468.2435,3.448395968508909e-05,0.01480979,0.3071084467008932,3.448396e-05,0.0002193299,0.0045482122646407835
0.03692083,0.7667757,0.0001072811,2.752578e-05,0.01787093,0.2131771,1.3745739999999998e-19,1.790719e-07,0.0001162723,0.001248214,0.03801629,1.450582989303401,503.0969,3.900944039409439e-05,0.01787093,0.5652771048684466,3.900944e-05,0.0003193701,0.010102028205135644
0.04294108,0.7667198,0.0001248007,3.79949e-05,0.02078306,0.2099626,5.432433999999999e-19,3.204397e-07,0.0001351705,0.001462204,0.03999939,1.54843321011418,535.8274,4.3463157586680135e-05,0.02078306,0.9413942804903146,4.346316e-05,0.0004319356,0.01956505749874461
0.04874938,0.7666658,0.0001417256,4.986209e-05,0.02359166,0.2068609,1.779829e-18,5.154e-07,0.0001533998,0.001671799,0.0418902,1.6420512241163465,566.9924,4.7885793366901234e-05,0.02359166,1.4640692919343756,4.788579e-05,0.0005565664,0.034539824996748736
0.05440635,0.766613,0.0001582404,6.309982e-05,0.0263259,0.2038399,5.048801e-18,7.707659e-07,0.0001711635,0.001878913,0.0437144,1.7324537088369,596.9461,5.230272549617474e-05,0.0263259,2.1650092859518795,5.230273e-05,0.000693053,0.056995821321654296
0.05995659,0.7665611,0.0001744855,7.770313e-05,0.02900714,0.2008758,1.2787830000000001e-17,1.093476e-06,0.0001886164,0.002084951,0.04549021,1.8203761989452742,625.9433,5.673304365080088e-05,0.02900714,3.0793957079169987,5.673304e-05,0.0008414142,0.08932445839257142
0.06543673,0.7665097,0.0001905804,9.368946e-05,0.03165283,0.1979494,2.958721e-17,1.490841e-06,0.0002058909,0.002291062,0.04723174,1.9064072249783575,654.1857,6.11936892582913e-05,0.03165283,4.246634571665565,6.119369e-05,0.001001902,0.13441800914274776
0.0708764,0.7664585,0.0002066274,0.0001110887,0.03427699,0.1950451,6.360026e-17,1.970525e-06,0.0002231012,0.002498159,0.04894985,1.9910097943744813,681.8306,6.569888326251644e-05,0.03427699,5.710626238283654,6.569888e-05,0.001174912,0.19574308168894175
0.07629683,0.7664072,0.0002227077,0.0001299272,0.03688953,0.1921517,1.285898e-16,2.540152e-06,0.0002403389,0.002706837,0.05065192,2.0745020054210888,708.9852,7.0257926983338e-05,0.03688953,7.519009699126676,7.025793e-05,0.001360837,0.2773727427862305
0.08171036,0.7663558,0.0002388799,0.0001502196,0.03949601,0.1892629,2.467911e-16,3.207082e-06,0.0002576727,0.002917354,0.05234197,2.1570561188348103,735.7078,7.487385535817055e-05,0.03949601,9.722190585399147,7.487386e-05,0.001559935,0.38398769787754305
0.08712442,0.766304,0.0002551922,0.00017197,0.04209954,0.1863751,4.526352e-16,3.978066e-06,0.0002751609,0.003129758,0.05402198,2.238766206988264,762.0297,7.954636328101039e-05,0.04209954,12.372875019085482,7.954636e-05,0.001772371,0.5208923901202352
0.09254811,0.7662518,0.0002717016,0.0001951973,0.04470401,0.1834837,7.977912e-16,4.859972e-06,0.0002928732,0.003344153,0.05569408,2.3197469620013846,787.9889,8.427705665865966e-05,0.04470401,15.528940583161187,8.427706e-05,0.001998449,0.6942058520256611
0.09799612,0.7661991,0.0002884881,0.0002199659,0.04731587,0.1805811,1.358542e-15,5.861294e-06,0.000310906,0.003560867,0.05736174,2.400191631299843,813.647,8.907293558317696e-05,0.04731587,19.258724816589357,8.907294e-05,0.002238792,0.9112433136661632
0.1034876,0.7661455,0.0003056522,0.0002463856,0.04994365,0.1776575,2.245389e-15,6.992304e-06,0.0003293807,0.003780417,0.05902939,2.480351277269292,839.0828,9.394566096028784e-05,0.04994365,23.64420898745364,9.394566e-05,0.002494368,1.1808781286840968
0.1090445,0.7660908,0.000323313,0.0002746179,0.05259693,0.1747017,3.61657e-15,8.265864e-06,0.000348442,0.004003441,0.06070179,2.5605027598378998,864.3811,9.890966110977822e-05,0.05259693,28.784864765766486,9.890966e-05,0.002766437,1.5139955800601361
0.1146895,0.7660347,0.0003416052,0.0003048745,0.05528569,0.1717018,5.695379e-15,9.697718e-06,0.0003682577,0.004230636,0.06238354,2.640925042096345,889.626,0.00010398085118070477,0.05528569,34.80089537922627,0.0001039809,0.003056508,1.923991536363425
0.1204403,0.765977,0.0003606612,0.0003373879,0.05801699,0.1686494,8.789208e-15,1.130559e-05,0.0003889994,0.004462486,0.06407701,2.7218061034324426,914.87,0.0001091704724320508,0.05801699,41.82988657417425,0.0001091705,0.003365971,2.426843976003469
0.1263049,0.7659176,0.0003806006,0.0003723869,0.06079336,0.1655407,1.330739e-14,1.310828e-05,0.0004108337,0.004699109,0.06578143,2.803196541079724,940.122,0.00011448142545907951,0.06079336,50.02155658140091,0.0001144814,0.003695833,3.0409776876768118
0.1322938,0.765856,0.0004015681,0.0004101552,0.06361794,0.1623712,1.978884e-14,1.512945e-05,0.0004339654,0.004940695,0.06749606,2.8851685602027923,965.3964,0.00011991830933738641,0.06361794,59.55155248035056,0.0001199183,0.004047242,3.7885465732564487
0.1384157,0.7657923,0.0004237275,0.000451012,0.06649297,0.1591376,2.892524e-14,1.739804e-05,0.000458634,0.005187367,0.06921928,2.9677676689015935,990.6994,0.0001254841319398279,0.06649297,70.6207620277688,0.0001254841,0.004421315,4.695783039563904
0.1446673,0.7657262,0.0004472235,0.0004952236,0.06941461,0.155843,4.155652e-14,1.994515e-05,0.0004850745,0.005438726,0.07094769,3.0508770356214296,1015.986,0.00013117074965540343,0.06941461,83.433341082561,0.0001311707,0.004818388,5.791492080228303
0.1510467,0.7656577,0.0004722311,0.0005430697,0.07237935,0.1524906,5.868605e-14,2.280975e-05,0.0005135756,0.00569439,0.07269095,3.1343865080959636,1041.213,0.00013696993214366648,0.07237935,98.21593854345687,0.0001369699,0.00523877,7.108804272294186
0.1575523,0.7655864,0.0004989571,0.000594817,0.07538354,0.1490835,8.14732e-14,2.604023e-05,0.0005444868,0.005953943,0.07444972,3.2181845448618143,1066.339,0.00014287268668849453,0.07538354,115.21686380192459,0.0001428727,0.005682678,8.685455286222115
0.1641757,0.7655123,0.0005276123,0.0006506308,0.07842009,0.1456291,1.111751e-13,2.969212e-05,0.0005781921,0.006216629,0.07622089,3.3020671600835554,1091.294,0.00014886296619409683,0.07842009,134.68428605675723,0.000148863,0.006149711,10.56195239343734
0.1709042,0.7654353,0.0005584181,0.0007105477,0.08147952,0.1421376,1.490767e-13,3.382937e-05,0.0006151228,0.006481438,0.07800024,3.3857813435322095,1115.994,0.00015492011587498069,0.08147952,156.86169218642922,0.0001549201,0.006638912,12.78101646573183
0.1777156,0.7653553,0.0005915762,0.0007743841,0.08454796,0.1386247,1.963481e-13,3.852025e-05,0.0006557266,0.006746917,0.07978125,3.468972469540687,1140.328,0.00016101492421335845,0.08454796,181.9575966681213,0.0001610149,0.007148358,15.384143604359524
0.1845868,0.7652722,0.0006272985,0.0008417717,0.08761107,0.1351069,2.539534e-13,4.384088e-05,0.0007005062,0.007011505,0.08155738,3.551287696918903,1164.189,0.00016711717118627215,0.08761107,210.15796127675895,0.0001671172,0.0076757,18.412162450104407
0.191491,0.7651859,0.00066578,0.000912104,0.09065292,0.1316029,3.224953e-13,4.987052e-05,0.0007499904,0.007273438,0.08332132,3.6323521986809477,1187.468,0.00017319364033247648,0.09065292,241.60205620193267,0.0001731936,0.008217952,21.901932302399135
0.1983871,0.7650965,0.0007071203,0.0009844211,0.09365167,0.1281387,4.019516e-13,5.66773e-05,0.0008046314,0.007530389,0.08506244,3.7116493827527077,1210.017,0.00017919924876216492,0.09365167,276.3120309403093,0.0001791992,0.008770635,25.87708130739138
0.205231,0.7650041,0.0007513459,0.001057532,0.09658491,0.1247412,4.916357e-13,6.431695e-05,0.0008648179,0.007779959,0.08676972,3.7886666583316,1231.697,0.0001850878459194734,0.09658491,314.20689378207817,0.0001850878,0.009328645,30.34764426390185
0.2119854,0.764909,0.0007984596,0.001130181,0.09943418,0.1214333,5.903103e-13,7.283882e-05,0.0009309341,0.008020086,0.08843426,3.8630084491720806,1252.405,0.00019082122151417572,0.09943418,355.1483858805496,0.0001908212,0.009887156,35.31388875153748
0.2186247,0.7648109,0.0008484669,0.00120117,0.1021868,0.1182311,6.963594e-13,8.228856e-05,0.001003388,0.00824923,0.0900503,3.9344319054099617,1272.088,0.0001963726111604882,0.1021868,398.9726411408593,0.0001963726,0.01044214,40.76972438911059
0.2251331,0.7647098,0.0009013829,0.001269405,0.104835,0.115145,8.079291e-13,9.270965e-05,0.001082624,0.008466296,0.0916146,4.002821188373566,1290.728,0.0002017251759039771,0.104835,445.5011892381751,0.0002017252,0.01099038,46.704117061705084
