Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01292346,0.7657214,0.0001802258,8.134545999999999e-19,0.002032145,0.2300583,1.475324e-36,9.633266e-18,0.001909132,2.819918e-06,0.02677067,0.9124187491103918,319.2117,1.777779501235415e-05,0.002032145,2.7145169472658458e-14,1.77778e-05,4.129613e-06,5.516292149184116e-17
0.02570341,0.7643404,0.0003584503,4.516044e-18,0.004041724,0.2272659,2.428425e-36,7.446909000000001e-17,0.003797065,5.608535e-06,0.0286574,0.9889612149190734,344.2461,2.0339698287712554e-05,0.004041724,3.433086884198576e-13,2.03397e-05,1.633553e-05,1.3875590657085612e-15
0.03818356,0.7629919,0.000532494,1.8623280000000002e-17,0.006004162,0.2245389,0.0,3.713585e-16,0.005640711,8.331749e-06,0.03046996,1.0633175848910228,368.3152,2.2935930436912944e-05,0.006004162,2.2505999237813954e-12,2.293593e-05,3.604996e-05,1.3512969497246433e-14
0.05027922,0.7616848,0.0007011756,6.140941e-17,0.00790614,0.221896,2.267867e-34,1.409615e-15,0.007427556,1.097107e-05,0.03220405,1.1349968679761429,391.2858,2.553472823691743e-05,0.00790614,1.0264818604233061e-11,2.553473e-05,6.250705e-05,8.11550908525268e-14
0.06199744,0.7604186,0.0008645936,1.717195e-16,0.009748767,0.2193355,2.083393e-34,4.422428e-15,0.009158643,1.352805e-05,0.03386689,1.2040636183869666,413.2045,2.8124614323372236e-05,0.009748767,3.6916470133382555e-11,2.812461e-05,9.503846e-05,3.598900400941144e-13
0.07338047,0.7591886,0.001023337,4.259565e-16,0.01153869,0.2168483,1.77301e-34,1.209102e-14,0.01084021,1.601189e-05,0.03546911,1.2707901264690336,434.1812,3.070391606685373e-05,0.01153869,1.1258560042291895e-10,3.070392e-05,0.0001331414,1.299090622585499e-12
0.0844762,0.7579896,0.001178074,9.696446e-16,0.01328343,0.2144239,5.407113e-34,2.990659e-14,0.01247934,1.843304e-05,0.03702088,1.3354782895300905,454.3307,3.327448325670804e-05,0.01328343,3.0547623556448133e-10,3.327448e-05,0.0001764495,4.057771989518098e-12
0.09533317,0.7568164,0.001329482,2.080233e-15,0.01499063,0.2120516,0.0,6.888059e-14,0.0140832,2.08021e-05,0.03853152,1.3984292842279553,473.7636,3.584027420401406e-05,0.01499063,7.635808459937798e-10,3.584027e-05,0.000224719,1.1446557626473946e-11
0.1059935,0.7556645,0.001478146,4.296826e-15,0.01666691,0.2097223,3.368637e-34,1.512245e-13,0.01565801,2.312823e-05,0.04000882,1.4599026069772834,492.5736,3.84052199109693e-05,0.01666691,1.8062542811643951e-09,3.840522e-05,0.0002777859,3.01046808565307e-11
0.1164816,0.7545312,0.00162441,8.691102e-15,0.01831611,0.2074306,5.014935e-34,3.22601e-13,0.01720738,2.541678e-05,0.04145765,1.5200527640715467,510.8198,4.097022535846265e-05,0.01831611,4.128481547851489e-09,4.097023e-05,0.0003354799,7.56177152421315e-11
0.1267995,0.7534163,0.0017683,1.742858e-14,0.01993855,0.2051761,5.613563e-34,6.787557e-13,0.01873161,2.766818e-05,0.04287946,1.5789040732093609,528.5202,4.353134842986674e-05,0.01993855,9.258068239286701e-09,4.353135e-05,0.0003975458,1.8459251722623814e-10
0.1369354,0.752321,0.001909651,3.490909e-14,0.02153236,0.2029614,1.2605330000000001e-33,1.42285e-12,0.02022894,2.987982e-05,0.04427355,1.636403029047463,545.669,4.608158385485498e-05,0.02153236,2.0567327838946522e-08,4.608158e-05,0.0004636425,4.4286318819747594e-10
