Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.008906115,0.7670268,2.833389e-05,1.453139e-06,0.004279043,0.2281631,4.476051e-24,8.859439e-10,3.556842e-05,0.0002860404,0.02822867,0.9842790943057484,344.9654,2.03209045131165e-05,0.004279043,0.0074858273653210915,2.03209e-05,1.831021e-05,3.25438e-05
0.01691591,0.7669449,5.381703e-05,4.62189e-06,0.008127196,0.2239186,1.863888e-22,9.868203e-09,6.753413e-05,0.0005466616,0.03112672,1.117768540538559,390.5715,2.522022275785691e-05,0.008127196,0.04166711377408288,2.522022e-05,6.605131e-05,0.0003029579
0.02389104,0.7668735,7.601076e-05,9.262333e-06,0.01147793,0.2202219,2.233519e-21,4.097409e-08,9.534207e-05,0.0007769314,0.03355773,1.2330898679595037,429.7395,2.9750475633589316e-05,0.01147793,0.11641832031210983,2.975048e-05,0.0001317429,0.001083653
0.0301922,0.766809,9.606464e-05,1.514658e-05,0.01450447,0.216882,1.5063899999999998e-20,1.035277e-07,0.0001204375,0.000987945,0.03569772,1.3364752976597782,464.6698,3.4036377253831944e-05,0.01450447,0.24479763625632955,3.403638e-05,0.0002103796,0.002656734
0.03610372,0.7667485,0.0001148863,2.221948e-05,0.01734333,0.2137483,7.248353e-20,2.050798e-07,0.0001439625,0.001188701,0.03766764,1.4327429620442031,497.0376,3.821146970916321e-05,0.01734333,0.4438597579610004,3.821147e-05,0.0003007911,0.005372915
0.0417519,0.7666905,0.0001328816,3.042732e-05,0.0200551,0.2107537,2.758934e-19,3.525256e-07,0.0001664297,0.001383169,0.03952267,1.5240331647905057,527.5897,4.2330036392387946e-05,0.0200551,0.7330181937555179,4.233004e-05,0.000402207,0.009645954
0.04720912,0.7666344,0.0001502864,3.973029e-05,0.02267442,0.2078602,8.812458999999998e-19,5.525386e-07,0.0001881376,0.001573617,0.04129463,1.6115679637693738,556.7538,4.6421086270939714e-05,0.02267442,1.1340658554355851,4.642109e-05,0.0005141293,0.01595607
0.05251708,0.7665798,0.0001672396,5.008886e-05,0.02522117,0.2050456,2.452582e-18,8.113013e-07,0.0002092638,0.001761316,0.04300232,1.6960510334971775,584.7777,5.0498121708282955e-05,0.02522117,1.6703163423506149,5.049812e-05,0.0006361074,0.02483848
0.05769911,0.7665262,0.0001838234,6.145801e-05,0.02770641,0.2022978,6.103718e-18,1.134228e-06,0.0002299142,0.001946919,0.04465683,1.7778804997622084,611.8043,5.456487708178695e-05,0.02770641,2.3656424593420953,5.456488e-05,0.0007676452,0.03686607
0.06276677,0.7664737,0.0002000833,7.378219e-05,0.03013552,0.1996108,1.384023e-17,1.525634e-06,0.0002501495,0.002130661,0.04626436,1.8572612973490195,637.9104,5.861839817899245e-05,0.03013552,3.243294543812051,5.86184e-05,0.0009081496,0.052625
0.06772694,0.7664221,0.0002160511,8.700202e-05,0.03251165,0.1969811,2.901133e-17,1.988822e-06,0.0002700125,0.002312599,0.04782882,1.9343227781207977,663.1471,6.265366260149392e-05,0.03251165,4.325491975655387,6.265366e-05,0.001057007,0.07270187
0.07258726,0.7663714,0.0002317616,0.0001010667,0.03483828,0.1944049,5.689803000000001e-17,2.526595e-06,0.0002895508,0.002492809,0.04935377,2.009204567966769,687.5675,6.666753732197945e-05,0.03483828,5.63400851983105,6.666754e-05,0.001213706,0.09768999
0.07735783,0.7663213,0.0002472588,0.0001159371,0.03712008,0.1918768,1.054414e-16,3.141436e-06,0.0003088228,0.002671452,0.0508431,2.082082348855396,711.2355,7.066019083533978e-05,0.03712008,7.190742062477462,7.066019e-05,0.0013779,0.128199
0.08205323,0.7662718,0.0002626024,0.0001315975,0.03936382,0.1893894,1.862309e-16,3.836315e-06,0.0003279067,0.002848864,0.05230174,2.153194630277103,734.2349,7.463665917211389e-05,0.03936382,9.01968278275429,7.463666e-05,0.00154951,0.1648941
0.08669241,0.7662226,0.0002778679,0.0001480622,0.04157835,0.1869328,3.158816e-16,4.615351e-06,0.0003469012,0.003025561,0.05373563,2.2228406658919324,756.6667,7.860689240650954e-05,0.04157835,11.1490019000842,7.860689e-05,0.001728759,0.2085427
0.09129571,0.7661735,0.0002931382,0.0001653662,0.04377312,0.1844964,5.177847e-16,5.483616e-06,0.0003659143,0.003202131,0.05515089,2.2913313207806563,778.6348,8.25832011044217e-05,0.04377312,13.611651419766169,8.25832e-05,0.001916086,0.2600342
0.0958806,0.7661243,0.0003084897,0.0001835541,0.04595618,0.1820711,8.243558e-16,6.446903e-06,0.0003850476,0.003379072,0.05655248,2.3589256320387393,800.2244,8.657620344129505e-05,0.04595618,16.444731080119023,8.65762e-05,0.00211197,0.3203734
0.1004589,0.7660749,0.0003239831,0.0002026623,0.04813279,0.1796508,1.279243e-15,7.510564e-06,0.0004043837,0.003556677,0.0579434,2.4257925792094053,821.4907,9.059233973516168e-05,0.04813279,19.68709701520778,9.059234e-05,0.002316765,0.3906331
0.1050377,0.766025,0.000339667,0.0002227234,0.05030599,0.1772321,1.94008e-15,8.679727e-06,0.0004239923,0.003735073,0.05932509,2.4920280024202577,842.4652,9.463431482686885e-05,0.05030599,23.379202431421877,9.463431e-05,0.002530693,0.4719505
0.1096229,0.7659747,0.0003555888,0.0002437748,0.05247815,0.1748119,2.881495e-15,9.959616e-06,0.000443943,0.003914344,0.06069845,2.5577082933691413,863.1724,9.870400920774986e-05,0.05247815,27.564601317219772,9.870401e-05,0.002753956,0.5655607
0.1142166,0.7659239,0.0003717857,0.0002658483,0.05464973,0.1723895,4.1976e-15,1.135498e-05,0.0004642948,0.004094428,0.06206307,2.622850377401941,883.6179,0.00010279999769189166,0.05464973,32.28726191731412,0.0001028,0.002986593,0.6727376
0.1188094,0.7658726,0.0003882576,0.0002889281,0.05681589,0.1699701,6.000188e-15,1.286723e-05,0.0004850622,0.004274831,0.0634152,2.6873160028324308,903.7587,0.00010691094369132413,0.05681589,37.5809318805703,0.0001069109,0.003228045,0.7945452
0.1233855,0.765821,0.0004049795,0.000312961,0.0589686,0.1675624,8.415679e-15,1.449478e-05,0.0005062294,0.004454798,0.06474917,2.750880281690141,923.5257,0.00011101942121478873,0.0589686,43.46756712147887,0.0001110194,0.003477296,0.9317823
0.1279337,0.7657692,0.0004219435,0.0003379152,0.06110225,0.1651723,1.158689e-14,1.623708e-05,0.0005278039,0.00463378,0.06606093,2.8133969461138832,942.8753,0.00011511261183956209,0.06110225,49.96964344695144,0.0001151126,0.003733485,1.085257
0.1324517,0.7657171,0.0004391723,0.0003638007,0.06321528,0.1628016,1.567571e-14,1.809657e-05,0.0005498334,0.00481157,0.06734901,2.8748420274305926,961.8029,0.0001191854307605797,0.06321528,57.117792627295124,0.0001191854,0.003996172,1.255971
0.1369455,0.7656648,0.0004567228,0.0003906794,0.06531001,0.1604475,2.086927e-14,2.008029e-05,0.0005724119,0.0049883,0.06861434,2.935307582075603,980.3389,0.0001232407087241451,0.06531001,64.957065255997,0.0001232407,0.004265397,1.445282
0.141427,0.765612,0.00047468,0.0004186558,0.06739151,0.158104,2.738548e-14,2.219986e-05,0.0005956733,0.005164342,0.06985947,2.994961576140459,998.5368,0.00012728682537367384,0.06739151,73.54876890606931,0.0001272868,0.004541616,1.654967
0.1459051,0.7655586,0.0004931232,0.0004478223,0.06946332,0.1557672,3.546551e-14,2.446792e-05,0.0006197483,0.005339942,0.07108842,3.053925607593769,1016.435,0.00013132952040541474,0.06946332,82.95622441955562,0.0001313295,0.004825153,1.886888
0.1503951,0.7655043,0.0005121673,0.0004783222,0.07153185,0.1534295,4.53944e-14,2.690369e-05,0.0006448207,0.005515596,0.0723112,3.1123957697561653,1034.093,0.0001353802211606186,0.07153185,93.26636287609023,0.0001353802,0.005116806,2.143531
0.1549241,0.7654487,0.0005319908,0.0005103913,0.0736087,0.1510777,5.753189e-14,2.953728e-05,0.0006711665,0.005692237,0.07353523,3.1707047176598424,1051.611,0.00013946049825088076,0.0736087,104.61026807357177,0.0001394605,0.005418241,2.428553
0.1595307,0.7653913,0.0005528474,0.0005443734,0.07571048,0.1486927,7.235043e-14,3.241307e-05,0.0006991761,0.005871227,0.07477065,3.2293191174400024,1069.126,0.0001436022667236749,0.07571048,117.17852451117795,0.0001436023,0.005732077,2.747218
0.1642784,0.7653312,0.0005751432,0.0005808379,0.07786438,0.1462433,9.054041e-14,3.560316e-05,0.0007294685,0.006054824,0.07603377,3.288982500639707,1086.854,0.0001478587408327835,0.07786438,131.27990096215893,0.0001478587,0.006062862,3.107961
0.1692015,0.7652677,0.0005992041,0.0006201783,0.08008383,0.1437137,1.128617e-13,3.917647e-05,0.0007625872,0.006244095,0.07733279,3.35004671640146,1104.889,0.00015225647421653293,0.08008383,147.20245973830106,0.0001522565,0.00641342,3.518917
0.1743121,0.7652004,0.0006252924,0.0006626106,0.08237146,0.1411003,1.401043e-13,4.319977e-05,0.000799023,0.006439156,0.07866969,3.412559310280813,1123.235,0.00015680085532386554,0.08237146,165.2075245567768,0.0001568009,0.006785057,3.987736
0.179597,0.7651292,0.0006535772,0.0007081008,0.08471814,0.138413,1.729805e-13,4.773156e-05,0.0008391724,0.006639074,0.08003975,3.4762500856026586,1141.801,0.00016147376317629143,0.08471814,185.49197455523986,0.0001614738,0.007177163,4.520542
0.1849641,0.7650551,0.0006837947,0.000755823,0.08707999,0.1357018,2.115669e-13,5.276151e-05,0.000882836,0.006839915,0.08141815,3.5399270137848298,1160.23,0.00016618767914243143,0.08707999,207.9130466488042,0.0001661877,0.007582925,5.114531
0.1903216,0.764979,0.0007156036,0.0008047867,0.08941451,0.1330157,2.55536e-13,5.825874e-05,0.0009296868,0.007037848,0.08278105,3.6024676903679023,1178.196,0.00017085708110055388,0.08941451,232.2124014950241,0.0001708571,0.007994955,5.763593
0.195623,0.7649016,0.0007488477,0.000854287,0.09170004,0.1303801,3.045296e-13,6.421642e-05,0.0009796498,0.007230816,0.08411674,3.6633310816058287,1195.548,0.00017543769479763026,0.09170004,258.226596076719,0.0001754377,0.008408897,6.463895
0.2008662,0.7648225,0.0007836089,0.0009039722,0.09393464,0.1277979,3.58361e-13,7.066708e-05,0.001033005,0.007418435,0.08542496,3.7225078833410703,1212.29,0.0001799246266603781,0.09393464,285.95702513549,0.0001799246,0.008823717,7.215907
0.2060793,0.7647413,0.0008201835,0.0009537561,0.09612917,0.1252569,4.170787e-13,7.76856e-05,0.00109039,0.00760138,0.08671295,3.7803295842544733,1228.518,0.00018433911522142146,0.09612917,315.5714799839109,0.0001843391,0.009240817,8.024598
0.2112847,0.7646573,0.0008588656,0.00100347,0.09829132,0.1227489,4.806473e-13,8.535215e-05,0.001152487,0.007780025,0.08798609,3.8370320403686464,1244.301,0.00018869606523875355,0.09829132,347.23321212149114,0.0001886961,0.009661184,8.894899
