Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.008385574,0.7670063,3.832674e-05,4.417057e-07,0.003859945,0.2286245,3.820517e-26,1.061203e-08,7.717708e-05,0.0002170244,0.0279201,0.9697910100373369,339.9328,1.9808757212820638e-05,0.003859945,0.0023649750278814914,1.980876e-05,1.489918e-05,9.413032e-06
0.01641298,0.7668993,7.501702e-05,1.553346e-06,0.0075549,0.2245485,4.967596e-24,4.019269e-08,0.0001510453,0.0004261536,0.03073682,1.0982433597460861,383.7742,2.4471937136550086e-05,0.0075549,0.014971648847668153,2.447194e-05,5.707651e-05,0.0001029911
0.02377761,0.7668012,0.0001086798,3.404257e-06,0.01094458,0.2208088,1.2230560000000001e-22,1.055965e-07,0.0002188039,0.0006196807,0.03322719,1.2152150760554508,423.4539,2.901714862906727e-05,0.01094458,0.048008882250033906,2.901715e-05,0.0001197838,0.0004323819
0.03043671,0.7667123,0.0001391216,5.88488e-06,0.01400923,0.2174271,1.231674e-21,2.185909e-07,0.0002800691,0.0007963575,0.03542071,1.3202088728861971,458.8714,3.332879181481061e-05,0.01400923,0.11103111085411047,3.332879e-05,0.0001962585,0.001178193
0.0365421,0.7666306,0.0001670389,8.894504e-06,0.01681868,0.2143264,7.349704999999999e-21,3.872303e-07,0.0003362494,0.0009599772,0.03739425,1.4157886771167916,490.9483,3.743777077843318e-05,0.01681868,0.21322811003113176,3.743777e-05,0.000282868,0.002533016
0.04224085,0.7665542,0.000193107,1.237242e-05,0.01944055,0.211432,3.144684e-20,6.183878e-07,0.0003887103,0.00111428,0.03921072,1.5043821901006538,520.5391,4.139828112299724e-05,0.01944055,0.36440755097561445,4.139828e-05,0.000377935,0.004709098
0.04763406,0.7664816,0.000217792,1.628124e-05,0.0219213,0.2086928,1.0704899999999999e-19,9.183595e-07,0.0004383946,0.001261852,0.04091144,1.587649610176453,548.2257,4.525045887042858e-05,0.0219213,0.5751187680982133,4.525046e-05,0.0004805434,0.00794089
0.05279542,0.766412,0.0002414353,2.060298e-05,0.02429475,0.2060713,3.0877549999999997e-19,1.293543e-06,0.0004859937,0.001404597,0.04252534,1.6667916760423698,574.4272,4.9025626922019146e-05,0.02429475,0.8570022751706379,4.902563e-05,0.0005902349,0.01249146
0.05778169,0.7663444,0.0002643018,2.533575e-05,0.02658691,0.2035388,7.864252999999999e-19,1.750955e-06,0.0005320446,0.001544001,0.04407383,1.7427237796751007,599.461,5.274979157023595e-05,0.02658691,1.2232127670549922,5.274979e-05,0.0007068638,0.01866128
0.06263746,0.7662783,0.0002866022,3.048956e-05,0.02881819,0.2010728,1.819182e-18,2.298432e-06,0.000576974,0.001681249,0.04557318,1.8161566384248256,623.5722,5.644458642753454e-05,0.02881819,1.6887585170935755,5.644459e-05,0.0008304881,0.02679668
0.06739631,0.7662133,0.0003084977,3.608134e-05,0.03100389,0.1986563,3.898708e-18,2.944559e-06,0.0006211099,0.001817243,0.04703533,1.8876190875287084,646.9421,6.012663281410595e-05,0.03100389,2.2706075622928457,6.012663e-05,0.0009612412,0.03729442
0.07208066,0.7661488,0.0003301001,4.212904e-05,0.03315416,0.1962781,7.850582e-18,3.698234e-06,0.0006646798,0.001952582,0.04846819,1.9574604690858266,669.6911,6.38060078376717e-05,0.03315416,2.987370465053458,6.380601e-05,0.001099198,0.05059809
0.07670148,0.7660849,0.0003514697,4.86427e-05,0.03527387,0.1939327,1.49932e-17,4.567306e-06,0.0007078078,0.002087536,0.04987575,2.0258531272689555,691.88,6.748519911705217e-05,0.03527387,3.858164350171144,6.74852e-05,0.001244246,0.06717782
0.08126104,0.7660214,0.0003726281,5.562337e-05,0.03736388,0.1916192,2.733976e-17,5.558195e-06,0.0007505391,0.002222113,0.05125907,2.0928391833071798,713.5268,7.116052955528423e-05,0.03736388,4.901799799840861,7.116053e-05,0.00139606,0.08751282
0.08576189,0.7659583,0.0003935989,6.307236e-05,0.03942516,0.1893364,4.786243e-17,6.676893e-06,0.0007929237,0.002356314,0.05261906,2.158463139709117,734.65,7.482890941923096e-05,0.03942516,6.137628790099389,7.482891e-05,0.001554343,0.1121062
0.09021382,0.7658953,0.0004144408,7.100373e-05,0.041462,0.1870794,8.087553000000001e-17,7.930974e-06,0.000835082,0.002490345,0.05395867,2.2228742653400553,755.3013,7.849373594032026e-05,0.041462,7.587939128811119,7.849374e-05,0.001719097,0.1415335
0.09463211,0.7658323,0.0004352403,7.944655e-05,0.04348114,0.1848409,1.325818e-16,9.330517e-06,0.0008771917,0.002624579,0.0552823,2.286296964826464,775.5555,8.2163477091876e-05,0.04348114,9.279436930783502,8.216348e-05,0.00189061,0.1764777
0.09903188,0.7657691,0.0004560856,8.843601e-05,0.04548922,0.1826132,2.117448e-16,1.088692e-05,0.000919435,0.00275939,0.0565941,2.3489463096644108,795.4831,8.584717567393618e-05,0.04548922,11.242648972523906,8.584718e-05,0.002069269,0.2177229
0.1034236,0.7657053,0.0004770462,9.800474e-05,0.04749067,0.1803913,3.304743e-16,1.261146e-05,0.0009619573,0.002895012,0.0578967,2.41096487537602,815.1308,8.955034781784775e-05,0.04749067,13.510338337933856,8.955035e-05,0.002255364,0.2661238
0.1078125,0.7656409,0.0004981701,0.0001081791,0.04948755,0.1781729,5.050948e-16,1.45143e-05,0.001004862,0.003031522,0.05919103,2.4724195419051624,834.5208,9.327449963791416e-05,0.04948755,16.116323383575374,9.32745e-05,0.002449018,0.3225817
