Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01381091,0.765657,0.0001748155,8.483817000000001e-17,0.002349342,0.2297188,1.489141e-36,4.261295e-16,0.00202827,3.40945e-06,0.02703663,0.9244331376000237,323.337,1.818217618956056e-05,0.002349342,2.147580203819018e-12,1.818218e-05,5.519408e-06,5.457832e-15
0.02735033,0.7642249,0.0003461946,5.487057e-16,0.004652502,0.2266177,8.476622e-36,3.903343e-15,0.004016669,6.75187e-06,0.02915307,1.0119703954132644,352.103,2.115418866690306e-05,0.004652502,3.1522604585116425e-11,2.115419e-05,2.164577e-05,1.449242e-13
0.04037239,0.7628474,0.000511025,2.4158e-15,0.006867654,0.2236351,5.658817e-35,2.295003e-14,0.005929087,9.966546e-06,0.03114981,1.0956621530133832,379.3141,2.4133679109699998e-05,0.006867654,2.3018623736578276e-10,2.413368e-05,4.716467e-05,1.442817e-12
0.05278515,0.7615345,0.000668143,7.992577e-15,0.00897916,0.220792,2.57463e-34,9.712302e-14,0.007752025,1.303076e-05,0.03302534,1.1749582096738775,404.8343,2.7075642987068056e-05,0.00897916,1.1018893210515735e-09,2.707564e-05,8.062531e-05,8.42076e-12
0.06463844,0.7602807,0.0008181794,2.147876e-14,0.01099549,0.2180771,0.0,3.229679e-13,0.009492798,1.595679e-05,0.03479633,1.2502256657326647,428.8231,2.9970984762749674e-05,0.01099549,3.964518095516241e-09,2.997098e-05,0.0001209008,3.486716e-11
0.07601331,0.7590775,0.00096216,4.955859e-14,0.01293045,0.2154717,2.631095e-35,8.982149e-13,0.01116331,1.876461e-05,0.03648126,1.3220250833107157,451.494,3.282296114317095e-05,0.01293045,1.1646487055457497e-08,3.282296e-05,0.0001671965,1.139118e-10
0.08698661,0.7579168,0.001101058,1.021324e-13,0.01479709,0.2129583,1.034181e-33,2.18401e-12,0.01277485,2.147318e-05,0.03809593,1.3908801656593912,473.0406,3.5637938315021e-05,0.01479709,2.949734147165136e-08,3.563794e-05,0.0002189539,3.138119e-10
0.09763285,0.7567906,0.001235816,1.935271e-13,0.0166081,0.2105199,3.311302e-36,4.796646e-12,0.01433836,2.410086e-05,0.03965446,1.4572910969569284,493.6423,3.842491897825824e-05,0.0166081,6.691726244369939e-08,3.842492e-05,0.000275829,7.626263e-10
0.1080143,0.7556925,0.001367221,3.44602e-13,0.01837405,0.2081421,6.813484e-34,9.750388e-12,0.01586297,2.666301e-05,0.04116822,1.5216725737995982,513.4459,4.119225480833317e-05,0.01837405,1.3980248081323053e-07,4.119225e-05,0.0003376057,1.688102e-09
