Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.007689533,0.7672208,1.441036e-06,4.099429e-07,0.003954969,0.2287388,7.966586999999999e-26,8.530055e-16,2.339917e-12,5.80135e-05,0.02800532,0.9753671037936903,342.035,2.0014728043267283e-05,0.003954969,0.000520344011977508,2.001473e-05,1.564178e-05,2.109918e-06
0.01515703,0.7673207,2.840516e-06,1.423794e-06,0.007795656,0.2247149,3.9535609999999996e-24,6.872396e-15,4.595294e-12,0.0001152917,0.0309269,1.1110316106269729,388.5563,2.4981212455464297e-05,0.007795656,0.0029634501708988826,2.498121e-05,6.077225e-05,2.079332e-05
0.02219616,0.7674149,4.159915e-06,3.162056e-06,0.01141589,0.2209218,5.461752e-23,2.418309e-14,6.702993e-12,0.000170394,0.03357015,1.2379281885285403,431.8346,2.997591115537942e-05,0.01141589,0.00845031321440062,2.997591e-05,0.0001303225,7.792685e-05
0.02874289,0.7675025,5.387504e-06,5.603082e-06,0.01478272,0.2173938,3.9347070000000003e-22,5.497559e-14,8.65012e-12,0.0002227493,0.03595714,1.3550267699088663,471.5673,3.4870868658881225e-05,0.01478272,0.01771976637170444,3.487087e-05,0.0002185288,0.0001933145
0.03487012,0.7675844,6.53735e-06,8.69655e-06,0.0179336,0.2140916,1.917898e-21,1.002604e-13,1.046494e-11,0.0002727874,0.03814421,1.463768152005882,508.2872,3.965314257116439e-05,0.0179336,0.031460476137432025,3.965314e-05,0.000321614,0.0003854433
0.04067221,0.7676621,7.627694e-06,1.24078e-05,0.02091706,0.2109645,7.247332e-21,1.613141e-13,1.218033e-11,0.0003211297,0.04018306,1.565940665255441,542.6323,4.434773716876048e-05,0.02091706,0.050544931692102245,4.434774e-05,0.0004375234,0.0006751542
0.04621264,0.7677362,8.671141e-06,1.671343e-05,0.02376571,0.2079781,2.290192e-20,2.396362e-13,1.381883e-11,0.0003681828,0.04210709,1.6627506118506563,575.0334,4.897091533257257e-05,0.02376571,0.07604832684888306,4.897092e-05,0.000564809,0.001086959
0.05152088,0.7678072,9.674054e-06,2.158471e-05,0.02649468,0.2051167,6.318931e-20,3.36537e-13,1.539221e-11,0.0004140908,0.04393369,1.754789874441275,605.7088,5.3520301515015384e-05,0.02649468,0.10913340053008694,5.35203e-05,0.0007019681,0.00164775
0.05661962,0.7678754,1.064164e-05,2.699943e-05,0.02911561,0.2023678,1.5664039999999999e-19,4.53266e-13,1.690979e-11,0.0004589532,0.04567543,1.8425218670495183,634.8309,5.7993486316695605e-05,0.02911561,0.1510636878738477,5.799349e-05,0.0008477187,0.002387115
0.06155809,0.7679415,1.158427e-05,3.298185e-05,0.0316538,0.199705,3.5758929999999994e-19,5.919686e-13,1.838859e-11,0.0005031214,0.04735222,1.9268542985999861,662.7147,6.241655275746337e-05,0.0316538,0.20353940012401234,6.241655e-05,0.001001963,0.003343686
0.0663919,0.7680062,1.25139e-05,3.959844e-05,0.03413779,0.1970983,7.669667999999999e-19,7.55936e-13,1.984764e-11,0.0005470343,0.04898477,2.0087783614394907,689.6985,6.682677299800126e-05,0.03413779,0.2688458563924349,6.682677e-05,0.001165389,0.004568848
0.07115721,0.76807,1.34391e-05,4.692213e-05,0.03658612,0.1945282,1.565086e-18,9.488835e-13,2.130055e-11,0.0005909783,0.05058629,2.08893428839409,715.9997,7.124811734797259e-05,0.03658612,0.3496433144702567,7.124812e-05,0.001338544,0.006123741
0.07588009,0.7681331,1.436697e-05,5.503635e-05,0.0390121,0.1919805,3.064292e-18,1.175031e-12,2.275825e-11,0.0006351597,0.05216593,2.167777291232208,741.7726,7.569785086559348e-05,0.0390121,0.44902645121850765,7.569785e-05,0.001521944,0.008080842
0.08058333,0.7681961,1.53045e-05,6.404683e-05,0.04142739,0.1894429,5.795281e-18,1.439475e-12,2.423135e-11,0.0006797649,0.05373128,2.2456977483960663,767.1481,8.019213740795727e-05,0.04142739,0.5707041093349388,8.019214e-05,0.001716229,0.01052803
0.08528451,0.768259,1.625831e-05,7.407446e-05,0.04384091,0.1869058,1.0636590000000001e-17,1.747949e-12,2.572955e-11,0.0007249343,0.05528777,2.322989911022517,792.2238,8.474355469026762e-05,0.04384091,0.7189690942453267,8.474355e-05,0.001922025,0.01356883
