Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01280364,0.7658064,0.0001410215,7.183582e-15,0.002410515,0.2297553,0.0,3.575073e-14,0.001852323,4.192825e-06,0.02705025,0.9264766648322429,324.2198,1.8261457273675648e-05,0.002410515,1.7950837442257342e-10,1.826146e-05,5.810583e-06,4.670464e-13
0.02538719,0.7645175,0.0002796188,4.870974e-14,0.004779595,0.2266822,0.0,3.458517e-13,0.003672805,8.313482e-06,0.02917868,1.0162288701882451,353.942,2.1328804610996224e-05,0.004779595,2.7634819781464047e-09,2.13288e-05,2.284453e-05,1.299739e-11
0.03756801,0.7632699,0.0004137804,2.149321e-13,0.007072853,0.2237074,0.0,2.055275e-12,0.005435023,1.230206e-05,0.03119467,1.1025862815112268,382.2646,2.4429419868715055e-05,0.007072853,2.028708039011708e-08,2.442942e-05,5.002525e-05,1.301372e-10
0.04928224,0.76207,0.000542803,6.980115e-13,0.009278268,0.2208466,0.0,8.606708e-12,0.00712974,1.613756e-05,0.03310122,1.1851259113321977,409.0833,2.7523778958847926e-05,0.009278268,9.572443310094595e-08,2.752378e-05,8.608626e-05,7.494199e-10
0.06056098,0.7609148,0.0006670289,1.809491e-12,0.01140169,0.2180922,1.379613e-35,2.780711e-11,0.008761453,1.983008e-05,0.03491338,1.2641045626842906,434.5148,3.0599724071256054e-05,0.01140169,3.3363461158743974e-07,3.059972e-05,0.0001299985,3.009243e-09
0.07145348,0.7597991,0.0007870008,3.958386e-12,0.0134524,0.2154321,2.8867869999999998e-36,7.377359e-11,0.01033729,2.339583e-05,0.03664617,1.3399042236460936,458.7113,3.3654012611178554e-05,0.0134524,9.327138956107417e-07,3.365401e-05,0.0001809671,9.364282e-09
0.08200054,0.7587188,0.000903168,7.588653e-12,0.01543807,0.2128563,4.880286e-35,1.676878e-10,0.01186315,2.684844e-05,0.03831121,1.4128436530259438,481.7995,3.668449957925516e-05,0.01543807,2.203904704260741e-06,3.66845e-05,0.000238334,2.408195e-08
0.09224141,0.7576698,0.001015963,1.3112e-11,0.01736609,0.2103553,1.8495670000000003e-33,3.370263e-10,0.01334472,3.020131e-05,0.0399184,1.483225974965222,503.8967,3.969129024492659e-05,0.01736609,4.567477215053379e-06,3.969129e-05,0.0003015811,5.34775e-08
0.1022258,0.7566472,0.001125933,2.086165e-11,0.01924582,0.207917,3.201686e-34,6.136391e-10,0.01478919,3.347165e-05,0.04147828,1.5514213967695063,525.1373,4.2679819824124666e-05,0.01924582,8.534559928460858e-06,4.267982e-05,0.0003704016,1.058736e-07
0.1120026,0.7556457,0.001233617,3.108101e-11,0.02108646,0.2055294,2.187654e-32,1.031515e-09,0.01620363,3.667684e-05,0.04300047,1.6177865929171686,545.6473,4.565733500396762e-05,0.02108646,1.4684991874666838e-05,4.565734e-05,0.0004446388,1.914063e-07
0.1216065,0.754662,0.001339395,4.393495e-11,0.02289451,0.203184,1.375796e-31,1.624481e-09,0.01759305,3.98301e-05,0.04449187,1.6825759834488365,565.5174,4.862833040677284e-05,0.02289451,2.364589650004004e-05,4.862833e-05,0.0005241586,3.217455e-07
0.1310569,0.753694,0.001443485,5.955544e-11,0.02467366,0.2008761,6.770946e-31,2.425004e-09,0.01896028,4.294029e-05,0.04595661,1.7459383798983827,584.8037,5.1593753661014536e-05,0.02467366,3.608837171866158e-05,5.159375e-05,0.0006087895,5.100021e-07
0.1403582,0.7527413,0.001545932,7.811156e-11,0.02642471,0.1986047,2.940786e-30,3.464684e-09,0.02030595,4.601185e-05,0.04739622,1.8079184296131254,603.5295,5.4550431251822614e-05,0.02642471,5.2752094789886436e-05,5.455043e-05,0.0006982653,7.710297e-07
0.1495035,0.7518045,0.001646662,9.990359e-11,0.02814636,0.1963714,1.114727e-29,4.777346e-09,0.02162908,4.904624e-05,0.0488103,1.868488667335959,621.6956,5.7492088351860324e-05,0.02814636,7.451428169970435e-05,5.749209e-05,0.0007922176,1.122461e-06
