Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
5.652860e-03,7.671239e-01,7.645701e-06,2.154847e-06,2.839975e-03,2.298032e-01,6.311388e-24,3.724892e-12,1.038169e-06,1.523375e-04,2.711215e-02,1.990302e-05,3.280279e+02,1.069795e+00,2.839975e-03,1.083244e-02,1.860452e-05,8.065458e-06,3.076386e-05
1.127003e-02,7.671299e-01,1.524332e-05,5.890543e-06,5.661756e-03,2.267434e-01,1.825546e-22,3.350016e-11,2.069384e-06,3.063026e-04,2.928999e-02,2.137658e-05,3.619920e+02,9.674192e-01,5.661756e-03,4.672702e-02,2.209650e-05,3.205548e-05,2.645570e-04
1.678298e-02,7.671358e-01,2.270050e-05,1.140960e-05,8.430822e-03,2.237400e-01,1.874687e-21,2.139493e-10,3.080905e-06,4.602886e-04,3.135299e-02,2.274509e-05,3.949789e+02,8.848282e-01,8.430822e-03,1.114108e-01,2.570566e-05,7.107876e-05,9.392846e-04
2.211682e-02,7.671415e-01,2.991650e-05,1.867633e-05,1.110948e-02,2.208336e-01,1.166164e-20,9.436854e-10,4.058616e-06,6.121630e-04,3.329278e-02,2.400566e-05,4.265564e+02,8.177195e-01,1.110948e-02,2.063053e-01,2.935684e-05,1.234205e-04,2.291945e-03
2.724935e-02,7.671470e-01,3.686213e-05,2.755939e-05,1.368651e-02,2.180363e-01,5.323247e-20,2.878262e-09,4.997925e-06,7.610645e-04,3.511730e-02,2.516672e-05,4.566198e+02,7.624414e-01,1.368651e-02,3.321472e-01,3.300807e-05,1.873206e-04,4.545936e-03
3.218442e-02,7.671523e-01,4.354371e-05,3.790031e-05,1.616382e-02,2.153461e-01,1.953788e-19,6.636146e-09,5.899211e-06,9.068015e-04,3.683997e-02,2.624012e-05,4.852206e+02,7.161992e-01,1.616382e-02,4.896178e-01,3.663802e-05,2.612691e-04,7.914094e-03
3.696492e-02,7.671574e-01,5.002066e-05,4.963469e-05,1.856289e-02,2.127395e-01,6.112697e-19,1.270702e-08,6.770261e-06,1.050364e-03,3.848433e-02,2.724343e-05,5.126327e+02,6.767115e-01,1.856289e-02,6.809039e-01,4.025856e-05,3.445809e-04,1.263954e-02
4.167147e-02,7.671624e-01,5.640407e-05,6.285724e-05,2.092412e-02,2.101727e-01,1.703310e-18,2.157348e-08,7.625913e-06,1.193970e-03,4.008381e-02,2.819905e-05,5.393326e+02,6.420984e-01,2.092412e-02,9.109758e-01,4.391702e-05,4.378188e-04,1.906137e-02
4.635351e-02,7.671674e-01,6.276346e-05,7.766516e-05,2.327221e-02,2.076186e-01,4.336051e-18,3.372072e-08,8.475431e-06,1.339007e-03,4.165889e-02,2.912037e-05,5.656038e+02,6.112208e-01,2.327221e-02,1.185279e+00,4.764296e-05,5.415958e-04,2.758406e-02
