Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.292724e-02,7.657024e-01,2.966072e-04,2.118196e-23,1.014568e-03,2.309528e-01,0.000000e+00,6.758448e-21,1.898174e-03,1.170085e-07,2.601123e-02,1.886493e-05,3.056552e+02,1.143657e+00,1.014568e-03,9.628465e-18,1.649527e-05,1.029348e-06,9.768732e-21
2.573157e-02,7.643004e-01,5.903946e-04,4.866383e-23,2.019491e-03,2.290417e-01,0.000000e+00,1.868516e-20,3.778302e-03,2.496441e-07,2.718476e-02,1.937961e-05,3.175154e+02,1.094497e+00,2.019491e-03,7.042045e-17,1.770641e-05,4.078344e-06,1.422135e-19
3.828702e-02,7.629257e-01,8.784714e-04,9.998563e-23,3.004881e-03,2.271679e-01,1.763242e-33,3.739019e-20,5.621885e-03,4.001523e-07,2.833286e-02,1.986651e-05,3.289734e+02,1.050350e+00,3.004881e-03,2.879853e-16,1.891418e-05,9.029310e-06,8.653616e-19
5.053960e-02,7.615841e-01,1.159599e-03,1.887934e-22,3.966500e-03,2.253392e-01,2.793838e-32,6.461540e-20,7.420996e-03,5.705506e-07,2.945098e-02,2.032578e-05,3.399931e+02,1.010680e+00,3.966500e-03,9.014651e-16,2.011099e-05,1.573312e-05,3.575661e-18
6.251231e-02,7.602732e-01,1.434305e-03,3.361577e-22,4.906154e-03,2.235524e-01,0.000000e+00,1.030384e-19,9.179011e-03,7.635992e-07,3.054157e-02,2.076031e-05,3.506082e+02,9.748071e-01,4.906154e-03,2.388934e-15,2.129684e-05,2.407035e-05,1.172048e-17
7.424098e-02,7.589890e-01,1.703412e-03,5.806444e-22,5.826655e-03,2.218019e-01,2.815354e-33,1.580418e-19,1.090119e-02,9.826399e-07,3.160814e-02,2.117311e-05,3.608624e+02,9.421415e-01,5.826655e-03,5.622451e-15,2.247339e-05,3.394991e-05,3.276008e-17
8.574810e-02,7.577290e-01,1.967436e-03,1.006412e-21,6.729768e-03,2.200846e-01,0.000000e+00,2.420301e-19,1.259085e-02,1.231279e-06,3.265292e-02,2.156640e-05,3.707855e+02,9.122350e-01,6.729768e-03,1.207909e-14,2.364128e-05,4.528978e-05,8.128947e-17
9.704803e-02,7.564918e-01,2.226705e-03,1.814910e-21,7.616620e-03,2.183982e-01,0.000000e+00,3.843199e-19,1.425007e-02,1.513405e-06,3.367736e-02,2.194190e-05,3.803992e+02,8.847340e-01,7.616620e-03,2.412238e-14,2.480056e-05,5.801290e-05,1.837310e-16
1.081528e-01,7.552759e-01,2.481497e-03,3.490498e-21,8.488155e-03,2.167410e-01,2.664890e-32,6.519016e-19,1.588065e-02,1.833390e-06,3.468268e-02,2.230109e-05,3.897224e+02,8.593459e-01,8.488155e-03,4.538360e-14,2.595124e-05,7.204878e-05,3.852230e-16
1.190729e-01,7.540802e-01,2.732053e-03,7.151840e-21,9.345198e-03,2.151113e-01,0.000000e+00,1.190103e-18,1.748411e-02,2.196196e-06,3.566992e-02,2.264525e-05,3.987717e+02,8.358254e-01,9.345198e-03,8.129306e-14,2.709328e-05,8.733273e-05,7.596997e-16
1.298156e-01,7.529039e-01,2.978536e-03,1.524442e-20,1.018831e-02,2.135081e-01,1.389554e-32,2.297524e-18,1.906151e-02,2.607289e-06,3.663980e-02,2.297544e-05,4.075606e+02,8.139690e-01,1.018831e-02,1.398422e-13,2.822643e-05,1.038017e-04,1.424756e-15
1.403813e-01,7.517470e-01,3.220960e-03,3.281304e-20,1.101753e-02,2.119314e-01,0.000000e+00,4.555939e-18,2.061293e-02,3.072466e-06,3.759247e-02,2.329245e-05,4.160965e+02,7.936133e-01,1.101753e-02,2.326936e-13,2.934987e-05,1.213860e-04,2.563709e-15
1.507577e-01,7.506109e-01,3.459040e-03,6.965823e-20,1.183189e-02,2.103830e-01,0.000000e+00,9.038667e-18,2.213655e-02,3.597332e-06,3.852684e-02,2.359659e-05,4.243764e+02,7.746392e-01,1.183189e-02,3.767303e-13,3.046139e-05,1.399936e-04,4.457431e-15
1.609122e-01,7.494990e-01,3.692028e-03,1.436230e-19,1.262884e-02,2.088677e-01,0.000000e+00,1.761045e-17,2.362759e-02,4.186337e-06,3.944007e-02,2.388760e-05,4.323817e+02,7.569746e-01,1.262884e-02,5.960343e-13,3.155667e-05,1.594876e-04,7.527222e-15
1.707931e-01,7.484172e-01,3.918740e-03,2.849759e-19,1.340430e-02,2.073933e-01,0.000000e+00,3.330220e-17,2.507846e-02,4.841671e-06,4.032759e-02,2.416473e-05,4.400798e+02,7.405838e-01,1.340430e-02,9.242130e-13,3.262930e-05,1.796753e-04,1.238843e-14
1.803461e-01,7.473712e-01,4.137927e-03,5.416412e-19,1.415402e-02,2.059679e-01,1.251603e-32,6.073044e-17,2.648118e-02,5.563152e-06,4.118459e-02,2.442718e-05,4.474379e+02,7.254351e-01,1.415402e-02,1.407350e-12,3.367245e-05,2.003363e-04,1.991966e-14
