Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.117372e-02,7.659794e-01,1.210219e-04,8.526259e-15,2.132159e-03,2.301287e-01,7.017040e-35,4.099130e-14,1.610091e-03,3.859803e-06,2.679146e-02,1.955561e-05,3.206945e+02,1.091909e+00,2.132159e-03,2.037531e-10,1.790956e-05,4.546102e-06,4.344340e-13
2.223167e-02,7.648528e-01,2.407899e-04,5.117918e-14,4.242228e-03,2.274039e-01,4.140503e-33,3.412038e-13,3.203501e-03,7.679553e-06,2.868994e-02,2.070581e-05,3.472408e+02,1.004237e+00,4.242228e-03,2.529341e-09,2.061845e-05,1.799650e-05,1.073004e-11
3.305435e-02,7.637501e-01,3.580096e-04,2.111573e-13,6.307402e-03,2.247370e-01,4.116876e-33,1.857598e-12,4.763009e-03,1.141790e-05,3.050999e-02,2.177482e-05,3.728657e+02,9.314286e-01,6.307402e-03,1.602216e-08,2.337787e-05,3.978332e-05,1.010582e-10
4.356134e-02,7.626795e-01,4.718102e-04,6.640353e-13,8.312336e-03,2.221479e-01,5.541290e-35,7.425782e-12,6.277027e-03,1.504702e-05,3.224799e-02,2.276508e-05,3.974029e+02,8.704908e-01,8.312336e-03,6.824262e-08,2.615201e-05,6.909493e-05,5.672556e-10
5.373266e-02,7.616432e-01,5.819751e-04,1.699830e-12,1.025322e-02,2.196415e-01,0.000000e+00,2.344857e-11,7.742676e-03,1.855996e-05,3.390852e-02,2.368367e-05,4.208351e+02,8.189121e-01,1.025322e-02,2.205808e-07,2.892089e-05,1.051285e-04,2.261663e-09
6.357936e-02,7.606400e-01,6.886242e-04,3.712736e-12,1.213216e-02,2.172151e-01,4.142511e-35,6.164204e-11,9.161550e-03,2.196059e-05,3.549942e-02,2.453890e-05,4.432176e+02,7.747200e-01,1.213216e-02,5.816494e-07,3.167454e-05,1.471893e-04,7.056664e-09
7.312540e-02,7.596673e-01,7.920168e-04,7.155049e-12,1.395372e-02,2.148628e-01,2.379761e-32,1.400603e-10,1.053710e-02,2.525736e-05,3.702906e-02,2.533875e-05,4.646327e+02,7.364080e-01,1.395372e-02,1.311666e-06,3.440858e-05,1.947063e-04,1.830262e-08
8.241666e-02,7.587207e-01,8.926499e-04,1.249399e-11,1.572667e-02,2.125732e-01,0.000000e+00,2.834515e-10,1.187594e-02,2.846649e-05,3.850816e-02,2.609170e-05,4.852078e+02,7.027700e-01,1.572667e-02,2.619979e-06,3.712694e-05,2.473281e-04,4.120355e-08
9.150039e-02,7.577951e-01,9.910353e-04,2.015770e-11,1.746001e-02,2.103348e-01,7.539641e-33,5.223749e-10,1.318487e-02,3.160489e-05,3.994674e-02,2.680515e-05,5.050674e+02,6.728874e-01,1.746001e-02,4.752915e-06,3.983601e-05,3.048519e-04,8.298594e-08
1.004099e-01,7.568874e-01,1.087534e-03,3.048725e-11,1.916010e-02,2.081394e-01,4.522771e-32,8.910878e-10,1.446871e-02,3.468497e-05,4.135195e-02,2.748455e-05,5.243010e+02,6.460919e-01,1.916010e-02,7.973922e-06,4.253969e-05,3.671094e-04,1.527811e-07
