Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
9.044983e-03,7.670056e-01,3.687832e-05,7.392243e-07,4.231017e-03,2.282144e-01,2.825580e-25,6.904830e-09,6.488826e-05,2.563472e-04,2.820144e-02,2.061861e-05,3.443580e+02,1.017666e+00,4.231017e-03,3.734481e-03,2.026068e-05,1.790150e-05,1.580065e-05
1.761771e-02,7.668992e-01,7.183194e-05,2.602539e-06,8.240957e-03,2.237901e-01,2.922540e-23,3.461159e-08,1.263604e-04,5.015025e-04,3.123194e-02,2.261380e-05,3.918418e+02,8.914286e-01,8.240957e-03,2.166663e-02,2.536804e-05,6.791337e-05,1.785538e-04
2.540068e-02,7.668025e-01,1.035682e-04,5.643024e-06,1.188119e-02,2.197729e-01,6.119529e-22,1.041470e-07,1.821433e-04,7.266217e-04,3.387932e-02,2.430377e-05,4.343206e+02,8.018670e-01,1.188119e-02,6.279904e-02,3.030898e-05,1.411627e-04,7.461273e-04
3.241304e-02,7.667152e-01,1.321681e-04,9.657723e-06,1.516059e-02,2.161532e-01,5.622346e-21,2.291322e-07,2.323897e-04,9.319541e-04,3.620194e-02,2.574310e-05,4.720610e+02,7.357993e-01,1.516059e-02,1.328372e-01,3.498658e-05,2.298435e-04,2.013890e-03
3.886559e-02,7.666347e-01,1.584950e-04,1.450065e-05,1.817764e-02,2.128221e-01,3.195963e-20,4.192155e-07,2.786271e-04,1.123265e-03,3.829925e-02,2.700673e-05,5.063289e+02,6.843265e-01,1.817764e-02,2.369072e-01,3.946469e-05,3.304266e-04,4.306414e-03
4.493567e-02,7.665589e-01,1.832773e-04,2.010414e-05,2.101521e-02,2.096882e-01,1.336123e-19,6.837900e-07,3.221434e-04,1.305507e-03,4.024504e-02,2.814791e-05,5.381531e+02,6.423818e-01,2.101521e-02,3.808629e-01,4.381804e-05,4.416391e-04,8.003914e-03
5.073795e-02,7.664861e-01,2.069890e-04,2.643800e-05,2.372677e-02,2.066926e-01,4.512870e-19,1.032450e-06,3.637780e-04,1.481918e-03,4.208533e-02,2.919953e-05,5.681905e+02,6.070901e-01,2.372677e-02,5.711394e-01,4.809752e-05,5.629596e-04,1.355129e-02
5.635279e-02,7.664154e-01,2.299660e-04,3.350206e-05,2.634974e-02,2.037937e-01,1.304804e-18,1.475717e-06,4.041264e-04,1.654805e-03,4.385126e-02,3.018353e-05,5.968939e+02,5.766732e-01,2.634974e-02,8.149740e-01,5.234079e-05,6.943088e-04,2.147435e-02
6.183961e-02,7.663460e-01,2.524613e-04,4.131713e-05,2.891172e-02,2.009611e-01,3.354020e-18,2.025259e-06,4.436375e-04,1.825899e-03,4.556505e-02,3.111530e-05,6.245903e+02,5.499626e-01,2.891172e-02,1.120507e+00,5.657712e-05,8.358876e-04,3.239578e-02
6.723833e-02,7.662774e-01,2.746503e-04,4.991140e-05,3.143113e-02,1.981744e-01,7.862876e-18,2.693513e-06,4.826242e-04,1.996374e-03,4.724138e-02,3.200512e-05,6.514957e+02,5.261789e-01,3.143113e-02,1.496531e+00,6.082555e-05,9.879159e-04,4.703766e-02
