Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.396574e-02,7.656224e-01,1.852815e-04,8.862402e-18,2.285129e-03,2.297577e-01,2.171882e-36,5.413505e-17,2.060245e-03,3.199834e-06,2.699307e-02,1.962899e-05,3.224697e+02,1.084533e+00,2.285129e-03,2.596697e-13,1.809903e-05,5.221815e-06,5.933788e-16
2.762574e-02,7.641596e-01,3.665069e-04,5.530726e-17,4.520232e-03,2.267017e-01,9.145649e-36,4.743841e-16,4.075386e-03,6.329622e-06,2.906624e-02,2.082670e-05,3.503334e+02,9.929571e-01,4.520232e-03,3.353023e-12,2.097442e-05,2.043250e-05,1.515644e-14
4.073518e-02,7.627557e-01,5.404279e-04,2.396625e-16,6.665248e-03,2.237689e-01,0.000000e+00,2.662158e-15,6.009308e-03,9.333267e-06,3.102015e-02,2.191360e-05,3.766327e+02,9.189243e-01,6.665248e-03,2.202178e-11,2.384701e-05,4.442553e-05,1.467806e-13
5.321959e-02,7.614188e-01,7.060568e-04,7.941768e-16,8.707996e-03,2.209759e-01,6.604588e-36,1.095557e-14,7.851024e-03,1.219370e-05,3.285529e-02,2.289842e-05,4.012750e+02,8.583360e-01,8.707996e-03,9.747232e-11,2.667769e-05,7.582919e-05,8.487886e-13
6.513446e-02,7.601429e-01,8.641298e-04,2.171454e-15,1.065755e-02,2.183103e-01,0.000000e+00,3.613751e-14,9.608722e-03,1.492363e-05,3.458821e-02,2.379733e-05,4.244263e+02,8.078002e-01,1.065755e-02,3.325245e-10,2.945943e-05,1.135834e-04,3.543896e-12
7.655887e-02,7.589196e-01,1.015696e-03,5.172533e-15,1.252686e-02,2.157545e-01,0.000000e+00,1.015205e-13,1.129407e-02,1.754117e-05,3.623623e-02,2.462512e-05,4.462887e+02,7.648702e-01,1.252686e-02,9.470003e-10,3.219516e-05,1.569222e-04,1.186294e-11
8.756892e-02,7.577405e-01,1.161765e-03,1.116029e-14,1.432837e-02,2.132913e-01,3.694315e-34,2.535458e-13,1.291828e-02,2.006374e-05,3.781443e-02,2.539392e-05,4.670481e+02,7.278071e-01,1.432837e-02,2.372331e-09,3.489100e-05,2.053022e-04,3.399164e-11
9.823823e-02,7.565980e-01,1.303313e-03,2.244245e-14,1.607412e-02,2.109044e-01,2.000262e-34,5.809777e-13,1.449223e-02,2.250821e-05,3.933626e-02,2.611382e-05,4.868760e+02,6.953405e-01,1.607412e-02,5.422185e-09,3.755544e-05,2.583773e-04,8.715685e-11
1.086292e-01,7.554853e-01,1.441168e-03,4.295954e-14,1.777433e-02,2.085797e-01,0.000000e+00,1.250335e-12,1.602512e-02,2.488885e-05,4.081272e-02,2.679281e-05,5.059147e+02,6.665450e-01,1.777433e-02,1.160765e-08,4.019655e-05,3.159268e-04,2.063182e-10
1.187806e-01,7.543982e-01,1.575845e-03,7.944274e-14,1.943534e-02,2.063087e-01,1.192893e-33,2.569191e-12,1.752267e-02,2.721454e-05,4.225087e-02,2.743639e-05,5.242571e+02,6.407657e-01,1.943534e-02,2.370040e-08,4.281813e-05,3.777324e-04,4.606253e-10
1.287017e-01,7.533358e-01,1.707467e-03,1.432806e-13,2.105867e-02,2.040891e-01,1.412849e-33,5.094565e-12,1.898624e-02,2.948742e-05,4.365323e-02,2.804759e-05,5.419394e+02,6.175519e-01,2.105867e-02,4.669875e-08,4.541738e-05,4.434676e-04,9.834136e-10
1.383833e-01,7.522991e-01,1.835912e-03,2.534883e-13,2.264280e-02,2.019232e-01,3.291459e-36,9.813508e-12,2.041448e-02,3.170540e-05,4.501941e-02,2.862802e-05,5.589641e+02,5.965760e-01,2.264280e-02,8.944659e-08,4.798721e-05,5.126964e-04,2.025321e-09
1.478201e-01,7.512885e-01,1.961108e-03,4.416296e-13,2.418689e-02,1.998120e-01,1.102231e-33,1.844892e-11,2.180662e-02,3.386731e-05,4.634941e-02,2.917931e-05,5.753411e+02,5.775573e-01,2.418689e-02,1.674033e-07,5.052193e-05,5.850056e-04,4.048965e-09
1.570229e-01,7.503031e-01,2.083201e-03,7.598789e-13,2.569269e-02,1.977532e-01,4.662491e-35,3.397270e-11,2.316423e-02,3.597577e-05,4.764529e-02,2.970382e-05,5.911072e+02,5.602323e-01,2.569269e-02,3.073551e-07,5.302054e-05,6.601143e-04,7.896779e-09
1.660101e-01,7.493407e-01,2.202433e-03,1.293584e-12,2.716320e-02,1.957426e-01,1.825244e-34,6.142772e-11,2.449004e-02,3.803520e-05,4.891006e-02,3.020411e-05,6.063105e+02,5.443683e-01,2.716320e-02,5.551045e-07,5.548470e-05,7.378394e-04,1.507841e-08
1.747951e-01,7.483999e-01,2.318983e-03,2.179724e-12,2.860061e-02,1.937772e-01,1.111206e-32,1.091660e-10,2.578602e-02,4.004912e-05,5.014590e-02,3.068222e-05,6.209890e+02,5.297791e-01,2.860061e-02,9.873621e-07,5.791512e-05,8.179949e-04,2.823916e-08
1.833838e-01,7.474802e-01,2.432929e-03,3.632793e-12,3.000591e-02,1.918558e-01,5.922924e-32,1.906125e-10,2.705305e-02,4.201964e-05,5.135386e-02,3.113961e-05,6.351666e+02,5.163186e-01,3.000591e-02,1.729293e-06,6.031084e-05,9.003546e-04,5.188901e-08
1.917730e-01,7.465818e-01,2.544229e-03,5.976978e-12,3.137855e-02,1.899790e-01,2.721767e-31,3.264920e-10,2.829066e-02,4.394724e-05,5.253365e-02,3.157717e-05,6.488515e+02,5.038750e-01,3.137855e-02,2.977917e-06,6.266866e-05,9.846134e-04,9.344272e-08
1.999456e-01,7.457066e-01,2.652654e-03,9.681198e-12,3.271571e-02,1.881507e-01,1.199154e-30,5.472569e-10,2.949631e-02,4.582994e-05,5.368293e-02,3.199496e-05,6.620291e+02,4.923708e-01,3.271571e-02,5.029844e-06,6.498143e-05,1.070318e-03,1.645549e-07
2.078733e-01,7.448577e-01,2.757834e-03,1.538482e-11,3.401278e-02,1.863772e-01,4.815294e-30,8.948671e-10,3.066587e-02,4.766422e-05,5.479780e-02,3.239252e-05,6.746684e+02,4.817512e-01,3.401278e-02,8.306388e-06,6.723911e-05,1.156869e-03,2.825233e-07
2.155283e-01,7.440379e-01,2.859397e-03,2.391423e-11,3.526516e-02,1.846648e-01,1.774868e-29,1.423752e-09,3.179521e-02,4.944783e-05,5.587433e-02,3.276943e-05,6.867398e+02,4.719667e-01,3.526516e-02,1.337441e-05,6.943166e-05,1.243632e-03,4.716507e-07
2.228912e-01,7.432494e-01,2.957087e-03,3.628009e-11,3.646966e-02,1.830179e-01,5.986008e-29,2.200240e-09,3.288149e-02,5.118189e-05,5.690978e-02,3.312566e-05,6.982284e+02,4.629626e-01,3.646966e-02,2.095565e-05,7.155148e-05,1.330036e-03,7.642454e-07
