Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
9.615133e-03,7.672627e-01,1.917960e-07,9.916168e-09,4.962672e-03,2.277121e-01,8.724756e-30,3.772754e-17,6.455923e-14,4.775748e-05,2.878766e-02,2.105294e-05,3.543650e+02,9.888957e-01,4.962672e-03,5.049923e-06,2.128934e-05,2.462811e-05,2.506111e-08
1.921485e-02,7.674073e-01,3.832859e-07,8.594831e-08,9.917382e-03,2.225504e-01,2.626090e-27,1.461331e-16,1.290104e-13,9.553415e-05,3.249078e-02,2.351750e-05,4.141344e+02,8.432441e-01,9.917382e-03,5.739961e-05,2.788931e-05,9.835447e-05,5.692539e-07
2.878937e-02,7.675515e-01,5.742884e-07,3.606674e-07,1.485906e-02,2.174021e-01,1.384678e-25,4.181670e-16,1.933149e-13,1.434501e-04,3.601670e-02,2.577756e-05,4.727068e+02,7.362156e-01,1.485906e-02,2.559759e-04,3.501360e-05,2.207917e-04,3.803561e-06
3.832863e-02,7.676951e-01,7.646742e-07,1.020353e-06,1.978250e-02,2.122728e-01,2.892866e-24,1.040669e-15,2.575015e-13,1.916820e-04,3.941988e-02,2.787145e-05,5.299838e+02,6.544054e-01,1.978250e-02,7.270095e-04,4.259050e-05,3.913473e-04,1.438207e-05
4.769680e-02,7.678362e-01,9.519550e-07,2.243514e-06,2.461752e-02,2.072354e-01,3.288734e-23,2.310878e-15,3.208795e-13,2.397592e-04,4.269131e-02,2.980016e-05,5.851458e+02,5.907302e-01,2.461752e-02,1.587979e-03,5.044631e-05,6.060223e-04,3.909210e-05
5.660925e-02,7.679704e-01,1.130906e-06,4.116844e-06,2.921718e-02,2.024429e-01,2.345159e-22,4.566143e-15,3.818857e-13,2.863453e-04,4.575920e-02,3.153436e-05,6.365987e+02,5.412605e-01,2.921718e-02,2.921304e-03,5.826097e-05,8.536436e-04,8.535226e-05
6.489701e-02,7.680952e-01,1.298808e-06,6.630244e-06,3.349423e-02,1.979862e-01,1.164337e-21,8.093948e-15,4.397796e-13,3.305494e-04,4.858341e-02,3.306954e-05,6.835363e+02,5.026081e-01,3.349423e-02,4.787901e-03,6.579588e-05,1.121863e-03,1.603671e-04
7.265184e-02,7.682120e-01,1.458343e-06,9.791158e-06,3.749598e-02,1.938160e-01,4.478768e-21,1.320169e-14,4.956174e-13,3.727861e-04,5.120512e-02,3.444538e-05,7.266613e+02,4.714800e-01,3.749598e-02,7.295839e-03,7.305799e-05,1.405949e-03,2.735646e-04
8.009894e-02,7.683242e-01,1.615226e-06,1.369940e-05,4.133859e-02,1.898111e-01,1.458379e-20,2.035437e-14,5.515110e-13,4.142218e-04,5.370453e-02,3.571643e-05,7.673572e+02,4.452994e-01,4.133859e-02,1.065077e-02,8.020768e-05,1.708879e-03,4.402878e-04
8.742931e-02,7.684346e-01,1.775112e-06,1.853659e-05,4.512055e-02,1.858687e-01,4.254853e-20,3.023036e-14,6.095996e-13,4.559081e-04,5.614603e-02,3.692349e-05,8.067384e+02,4.224659e-01,4.512055e-02,1.515981e-02,8.739993e-05,2.035864e-03,6.840190e-04
9.473065e-02,7.685446e-01,1.942355e-06,2.452003e-05,4.888697e-02,1.819416e-01,1.143802e-19,4.366807e-14,6.715795e-13,4.983666e-04,5.855665e-02,3.808567e-05,8.453099e+02,4.021516e-01,4.888697e-02,2.119523e-02,9.470476e-05,2.389936e-03,1.036171e-03
1.020104e-01,7.686542e-01,2.120548e-06,3.187920e-05,5.264153e-02,1.780257e-01,2.866352e-19,6.159896e-14,7.388093e-13,5.416651e-04,6.093519e-02,3.920754e-05,8.831352e+02,3.839419e-01,5.264153e-02,2.915298e-02,1.021184e-04,2.771131e-03,1.534657e-03
