Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
1.919264e-01,7.473786e-01,2.158710e-03,1.988284e-10,3.562611e-02,1.864425e-01,9.358865e-28,1.192574e-08,2.783350e-02,6.039227e-05,5.506906e-02,3.316913e-05,6.972133e+02,4.699229e-01,3.562611e-02,1.011420e-04,7.058420e-05,1.269220e-03,3.603296e-06
1.995115e-01,7.465983e-01,2.244035e-03,2.462693e-10,3.703371e-02,1.846076e-01,2.304128e-27,1.513809e-08,2.893368e-02,6.293818e-05,5.622876e-02,3.359729e-05,7.110113e+02,4.595629e-01,3.703371e-02,1.298481e-04,7.310705e-05,1.371496e-03,4.808757e-06
2.069890e-01,7.458291e-01,2.328154e-03,3.063639e-10,3.842123e-02,1.827989e-01,5.529713e-27,1.919288e-08,3.001828e-02,6.549979e-05,5.737176e-02,3.401158e-05,7.244630e+02,4.498360e-01,3.842123e-02,1.670067e-04,7.560884e-05,1.476191e-03,6.416603e-06
2.143697e-01,7.450698e-01,2.411189e-03,3.830284e-10,3.979065e-02,1.810137e-01,1.298811e-26,2.433077e-08,3.108890e-02,6.809158e-05,5.849968e-02,3.441316e-05,7.375953e+02,4.406757e-01,3.979065e-02,2.153975e-04,7.809180e-05,1.583296e-03,8.570807e-06
2.216648e-01,7.443192e-01,2.493269e-03,4.812941e-10,4.114402e-02,1.792494e-01,2.993009e-26,3.085510e-08,3.214716e-02,7.073034e-05,5.961411e-02,3.480311e-05,7.504347e+02,4.320233e-01,4.114402e-02,2.786795e-04,8.055841e-05,1.692830e-03,1.146599e-05
2.288857e-01,7.435763e-01,2.574522e-03,6.076165e-10,4.248341e-02,1.775033e-01,6.777690e-26,3.914654e-08,3.319472e-02,7.343559e-05,6.071669e-02,3.518244e-05,7.630071e+02,4.238268e-01,4.248341e-02,3.616569e-04,8.301136e-05,1.804840e-03,1.536442e-05
2.360434e-01,7.428397e-01,2.655079e-03,7.701618e-10,4.381083e-02,1.757727e-01,1.509228e-25,4.967456e-08,3.423322e-02,7.622966e-05,6.180898e-02,3.555211e-05,7.753368e+02,4.160408e-01,4.381083e-02,4.705587e-04,8.545342e-05,1.919389e-03,2.061557e-05
2.431484e-01,7.421085e-01,2.735058e-03,9.792114e-10,4.512813e-02,1.740553e-01,3.305214e-25,6.301473e-08,3.526416e-02,7.913778e-05,6.289238e-02,3.591295e-05,7.874457e+02,4.086257e-01,4.512813e-02,6.134170e-04,8.788715e-05,2.036548e-03,2.768236e-05
2.502094e-01,7.413817e-01,2.814564e-03,1.247572e-09,4.643686e-02,1.723489e-01,7.117197e-25,7.986456e-08,3.628885e-02,8.218778e-05,6.396803e-02,3.626567e-05,7.993520e+02,4.015480e-01,4.643686e-02,8.004847e-04,9.031466e-05,2.156382e-03,3.717200e-05
2.572324e-01,7.406587e-01,2.893672e-03,1.591010e-09,4.773803e-02,1.706523e-01,1.506086e-24,1.010596e-07,3.730818e-02,8.540927e-05,6.503666e-02,3.661080e-05,8.110685e+02,3.947804e-01,4.773803e-02,1.044702e-03,9.273713e-05,2.278920e-03,4.987202e-05
2.642188e-01,7.399394e-01,2.972407e-03,2.028662e-09,4.903173e-02,1.689652e-01,3.129545e-24,1.275884e-07,3.832240e-02,8.883197e-05,6.609820e-02,3.694859e-05,8.225998e+02,3.883023e-01,4.903173e-02,1.362173e-03,9.515419e-05,2.404111e-03,6.678970e-05
2.711628e-01,7.392242e-01,3.050716e-03,2.583133e-09,5.031671e-02,1.672892e-01,6.377788e-24,1.605892e-07,3.933070e-02,9.248254e-05,6.715151e-02,3.727894e-05,8.339378e+02,3.821019e-01,5.031671e-02,1.772444e-03,9.756282e-05,2.531771e-03,8.918355e-05
2.780512e-01,7.385145e-01,3.128467e-03,3.280513e-09,5.159033e-02,1.656278e-01,1.272843e-23,2.013477e-07,4.033122e-02,9.638196e-05,6.819430e-02,3.760140e-05,8.450632e+02,3.761739e-01,5.159033e-02,2.298700e-03,9.995749e-05,2.661562e-03,1.185907e-04
2.848677e-01,7.378119e-01,3.205494e-03,4.150504e-09,5.284924e-02,1.639851e-01,2.484402e-23,2.513061e-07,4.132163e-02,1.005442e-04,6.922375e-02,3.791538e-05,8.559511e+02,3.705158e-01,5.284924e-02,2.968037e-03,1.023313e-04,2.793042e-03,1.568585e-04
