Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
7.814469e-03,7.672386e-01,2.461522e-08,1.762198e-11,4.035173e-03,2.286841e-01,1.983611e-36,6.838325e-20,8.610638e-15,3.508486e-05,2.806929e-02,2.056518e-05,3.430653e+02,1.022133e+00,4.035173e-03,4.317469e-09,2.011987e-05,1.628262e-05,1.742173e-11
1.554485e-02,7.673580e-01,4.896558e-08,3.525746e-10,8.026926e-03,2.245312e-01,1.890470e-33,3.787234e-19,1.712861e-14,6.979281e-05,3.110145e-02,2.260344e-05,3.914529e+02,8.932839e-01,8.026926e-03,1.196597e-07,2.530376e-05,6.443154e-05,9.604996e-10
2.310167e-02,7.674747e-01,7.276924e-08,2.974665e-09,1.192906e-02,2.204715e-01,3.570954e-31,1.319423e-18,2.545535e-14,1.037247e-04,3.394235e-02,2.445912e-05,4.381123e+02,7.959743e-01,1.192906e-02,1.111775e-06,3.072853e-05,1.423025e-04,1.326243e-08
3.044866e-02,7.675882e-01,9.591215e-08,1.466066e-08,1.572284e-02,2.165246e-01,1.961502e-29,3.719585e-18,3.355125e-14,1.367266e-04,3.662025e-02,2.615592e-05,4.828459e+02,7.203233e-01,1.572284e-02,5.607485e-06,3.631136e-05,2.472077e-04,8.816559e-08
3.761052e-02,7.676989e-01,1.184731e-07,5.043218e-08,1.942101e-02,2.126771e-01,4.806942e-28,9.357494e-18,4.144495e-14,1.689281e-04,3.917282e-02,2.772319e-05,5.258349e+02,6.597356e-01,1.942101e-02,1.915066e-05,4.202167e-05,3.771756e-04,3.719252e-07
4.462654e-02,7.678073e-01,1.405795e-07,1.356498e-07,2.304388e-02,2.089079e-01,6.774858e-27,2.181461e-17,4.918400e-14,2.005367e-04,4.163291e-02,2.918618e-05,5.673419e+02,6.099347e-01,2.304388e-02,5.041719e-05,4.785132e-05,5.310204e-04,1.161808e-06
5.153088e-02,7.679139e-01,1.623489e-07,3.061120e-07,2.660907e-02,2.051988e-01,6.411072e-26,4.757953e-17,5.681583e-14,2.317487e-04,4.402476e-02,3.056382e-05,6.075902e+02,5.681280e-01,2.660907e-02,1.106020e-04,5.379742e-05,7.080426e-04,2.943016e-06
5.835500e-02,7.680193e-01,1.839032e-07,6.079687e-07,3.013281e-02,2.015327e-01,4.522155e-25,9.749595e-17,6.439475e-14,2.627591e-04,4.636711e-02,3.187104e-05,6.467803e+02,5.324072e-01,3.013281e-02,2.129920e-04,5.986215e-05,9.079862e-04,6.418047e-06
6.512850e-02,7.681240e-01,2.053821e-07,1.097365e-06,3.363038e-02,1.978938e-01,2.550645e-24,1.884281e-16,7.198851e-14,2.937647e-04,4.867484e-02,3.311993e-05,6.850953e+02,5.014224e-01,3.363038e-02,3.729252e-04,6.605196e-05,1.131002e-03,1.254162e-05
7.187575e-02,7.682282e-01,2.269467e-07,1.840654e-06,3.711434e-02,1.942690e-01,1.207139e-23,3.452007e-16,7.968225e-14,3.249474e-04,5.095864e-02,3.431985e-05,7.226833e+02,4.742061e-01,3.711434e-02,6.085591e-04,7.237328e-05,1.377474e-03,2.258627e-05
7.861239e-02,7.683323e-01,2.487904e-07,2.914596e-06,4.059274e-02,1.906499e-01,4.953270e-23,6.026692e-16,8.758396e-14,3.564576e-04,5.322447e-02,3.547740e-05,7.596398e+02,4.500614e-01,4.059274e-02,9.421348e-04,7.882791e-05,1.647771e-03,3.824383e-05
8.534576e-02,7.684363e-01,2.711664e-07,4.406425e-06,4.406933e-02,1.870324e-01,1.801770e-22,1.007818e-15,9.583564e-14,3.884135e-04,5.547407e-02,3.659699e-05,7.960143e+02,4.284751e-01,4.406933e-02,1.401322e-03,8.541217e-05,1.942106e-03,6.175532e-05
9.207909e-02,7.685403e-01,2.944373e-07,6.415440e-06,4.754574e-02,1.834150e-01,5.904624e-22,1.622544e-15,1.046313e-13,4.209174e-04,5.770668e-02,3.768190e-05,8.318356e+02,4.090517e-01,4.754574e-02,2.020772e-03,9.212014e-05,2.260597e-03,9.607910e-05
9.881549e-02,7.686444e-01,3.191302e-07,9.052896e-06,5.102352e-02,1.797958e-01,1.763833e-21,2.526494e-15,1.142353e-13,4.540689e-04,5.992055e-02,3.873505e-05,8.671335e+02,3.914718e-01,5.102352e-02,2.842137e-03,9.894723e-05,2.603400e-03,1.450158e-04
1.055594e-01,7.687485e-01,3.459965e-07,1.244170e-05,5.450491e-02,1.761724e-01,4.846254e-21,3.820795e-15,1.250004e-13,4.879631e-04,6.211356e-02,3.975932e-05,9.019472e+02,3.754716e-01,5.450491e-02,3.912033e-03,1.058917e-04,2.970785e-03,2.132250e-04
1.123161e-01,7.688529e-01,3.760774e-07,1.671560e-05,5.799246e-02,1.725420e-01,1.233818e-20,5.632922e-15,1.373871e-13,5.226756e-04,6.428305e-02,4.075746e-05,9.363203e+02,3.608325e-01,5.799246e-02,5.277043e-03,1.129540e-04,3.363125e-03,3.060287e-04
1.190899e-01,7.689575e-01,4.107833e-07,2.201909e-05,6.148842e-02,1.689022e-01,2.929655e-20,8.123147e-15,1.519859e-13,5.582399e-04,6.642545e-02,4.173192e-05,9.702944e+02,3.473744e-01,6.148842e-02,6.976612e-03,1.201353e-04,3.780826e-03,4.289808e-04
1.258855e-01,7.690625e-01,4.519752e-07,2.850859e-05,6.499500e-02,1.652503e-01,6.525527e-20,1.149188e-14,1.695388e-13,5.946327e-04,6.853585e-02,4.268500e-05,1.003913e+03,3.349464e-01,6.499500e-02,9.035427e-03,1.274383e-04,4.224350e-03,5.872576e-04
1.327103e-01,7.691680e-01,5.020995e-07,3.636680e-05,6.851586e-02,1.615824e-01,1.372053e-19,1.599690e-14,1.909847e-13,6.317814e-04,7.062207e-02,4.361919e-05,1.037230e+03,3.234176e-01,6.851586e-02,1.146442e-02,1.348696e-04,4.694423e-03,7.854946e-04
1.395780e-01,7.692740e-01,5.643554e-07,4.582203e-05,7.205790e-02,1.578907e-01,2.742136e-19,2.198083e-14,2.175215e-13,6.695892e-04,7.270490e-02,4.453733e-05,1.070322e+03,3.126709e-01,7.205790e-02,1.426931e-02,1.424416e-04,5.192341e-03,1.028217e-03
1.465093e-01,7.693811e-01,6.429261e-07,5.717080e-05,7.563156e-02,1.541641e-01,5.248624e-19,2.991519e-14,2.506984e-13,7.079641e-04,7.479100e-02,4.544279e-05,1.103287e+03,3.026001e-01,7.563156e-02,1.746358e-02,1.501744e-04,5.720133e-03,1.320798e-03
1.535293e-01,7.694896e-01,7.433047e-07,7.080064e-05,7.924952e-02,1.503889e-01,9.697981e-19,4.046576e-14,2.925500e-13,7.468419e-04,7.688812e-02,4.633916e-05,1.136238e+03,2.931112e-01,7.924952e-02,2.108133e-02,1.580941e-04,6.280486e-03,1.670685e-03
1.606635e-01,7.695998e-01,8.726469e-07,8.720272e-05,8.292467e-02,1.465510e-01,1.742958e-18,5.457295e-14,3.457447e-13,7.862006e-04,7.900383e-02,4.722977e-05,1.169284e+03,2.841260e-01,8.292467e-02,2.517991e-02,1.662283e-04,6.876501e-03,2.088036e-03
1.679358e-01,7.697121e-01,1.040356e-06,1.069908e-04,8.666889e-02,1.426374e-01,3.068702e-18,7.357459e-14,4.138335e-13,8.260671e-04,8.114489e-02,4.811739e-05,1.202519e+03,2.755812e-01,8.666889e-02,2.984817e-02,1.746033e-04,7.511496e-03,2.586908e-03
1.753665e-01,7.698269e-01,1.258693e-06,1.308991e-04,9.049215e-02,1.386367e-01,5.324300e-18,9.935427e-14,5.015231e-13,8.665038e-04,8.331681e-02,4.900410e-05,1.236013e+03,2.674282e-01,9.049215e-02,3.519562e-02,1.832421e-04,8.188829e-03,3.184927e-03
1.829693e-01,7.699443e-01,1.543714e-06,1.597794e-04,9.440103e-02,1.345413e-01,9.145661e-18,1.345666e-13,6.151004e-13,9.075694e-04,8.552297e-02,4.989102e-05,1.269802e+03,2.596323e-01,9.440103e-02,4.135596e-02,1.921603e-04,8.911554e-03,3.904045e-03
