Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
8.241849e-03,7.666117e-01,9.050253e-05,9.622699e-11,2.273958e-03,2.302065e-01,0.000000e+00,1.711809e-10,7.380905e-04,1.536881e-05,2.680053e-02,1.960309e-05,3.215271e+02,1.090090e+00,2.273958e-03,1.929045e-06,1.798300e-05,5.170885e-06,4.386567e-09
1.648370e-02,7.661055e-01,1.810051e-04,3.083821e-10,4.547916e-03,2.275309e-01,2.809217e-36,7.260022e-10,1.476181e-03,3.074000e-05,2.872093e-02,2.081216e-05,3.492369e+02,1.000296e+00,4.547916e-03,1.239506e-05,2.080600e-05,2.068354e-05,5.637169e-08
2.472555e-02,7.655993e-01,2.715076e-04,6.873109e-10,6.821870e-03,2.248552e-01,6.455905e-33,2.080966e-09,2.214273e-03,4.611590e-05,3.059552e-02,2.196140e-05,3.766255e+02,9.245123e-01,6.821870e-03,4.159166e-05,2.375458e-05,4.653791e-05,2.837329e-07
3.295334e-02,7.650940e-01,3.618559e-04,1.278303e-09,9.091941e-03,2.221842e-01,8.417793e-32,4.858404e-09,2.951107e-03,6.147384e-05,3.243008e-02,2.305612e-05,4.036437e+02,8.598149e-01,9.091941e-03,1.035510e-04,2.681521e-05,8.266339e-05,9.414796e-07
4.115236e-02,7.645904e-01,4.518882e-04,2.120382e-09,1.135406e-02,2.195224e-01,1.324390e-30,9.909597e-09,3.685367e-03,7.679132e-05,3.422878e-02,2.410056e-05,4.302425e+02,8.040445e-01,1.135406e-02,2.155586e-04,2.997416e-05,1.289147e-04,2.447465e-06
4.933600e-02,7.640878e-01,5.417519e-04,3.250439e-09,1.361193e-02,2.168657e-01,1.367259e-29,1.835364e-08,4.418253e-03,9.210007e-05,3.600060e-02,2.510150e-05,4.564655e+02,7.554103e-01,1.361193e-02,3.981719e-04,3.322896e-05,1.852846e-04,5.419888e-06
5.747724e-02,7.635878e-01,6.311500e-04,4.697603e-09,1.585808e-02,2.142228e-01,1.080952e-28,3.153763e-08,5.147347e-03,1.073581e-04,3.774466e-02,2.605995e-05,4.822274e+02,7.127680e-01,1.585808e-02,6.737498e-04,3.656162e-05,2.514787e-04,1.068438e-05
6.553381e-02,7.630929e-01,7.196187e-04,6.482935e-09,1.808085e-02,2.116073e-01,6.799066e-28,5.097587e-08,5.868867e-03,1.224962e-04,3.945613e-02,2.697498e-05,5.074005e+02,6.752696e-01,1.808085e-02,1.065069e-03,3.994698e-05,3.269171e-04,1.925735e-05
7.352472e-02,7.626020e-01,8.073668e-04,8.639620e-09,2.028547e-02,2.090132e-01,3.577297e-27,7.853567e-08,6.584517e-03,1.375619e-04,4.114248e-02,2.785229e-05,5.320521e+02,6.419739e-01,2.028547e-02,1.599121e-03,4.338539e-05,4.115003e-04,3.243892e-05
