Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
8.942952e-03,7.670132e-01,3.344658e-05,9.484341e-07,4.227228e-03,2.282184e-01,8.653435e-25,3.356588e-09,5.272662e-05,2.676227e-04,2.819415e-02,2.061702e-05,3.443168e+02,1.017844e+00,4.227228e-03,4.591238e-03,2.025558e-05,1.786946e-05,1.940821e-05
1.750313e-02,7.669130e-01,6.546242e-05,3.303400e-06,8.273337e-03,2.237538e-01,6.406842e-23,2.411110e-08,1.031629e-04,5.264574e-04,3.124655e-02,2.263008e-05,3.922318e+02,8.906097e-01,8.273337e-03,2.648729e-02,2.540965e-05,6.844811e-05,2.191383e-04
2.535378e-02,7.668210e-01,9.482745e-05,7.154250e-06,1.198374e-02,2.196589e-01,1.198387e-21,8.397980e-08,1.493840e-04,7.669312e-04,3.393824e-02,2.435107e-05,4.355235e+02,7.997027e-01,1.198374e-02,7.650213e-02,3.045015e-05,1.436100e-04,9.167816e-04
3.246661e-02,7.667376e-01,1.214391e-04,1.225194e-05,1.534496e-02,2.159484e-01,1.057569e-20,1.974731e-07,1.912378e-04,9.878277e-04,3.631139e-02,2.582342e-05,4.741880e+02,7.325255e-01,1.534496e-02,1.614286e-01,3.525259e-05,2.354678e-04,2.477115e-03
3.903803e-02,7.666604e-01,1.460365e-04,1.841647e-05,1.844973e-02,2.125200e-01,5.928118e-20,3.747035e-07,2.298986e-04,1.194753e-03,3.846197e-02,2.711988e-05,5.094225e+02,6.801719e-01,1.844973e-02,2.875545e-01,3.987210e-05,3.403925e-04,5.305303e-03
4.524964e-02,7.665872e-01,1.693049e-04,2.557616e-05,2.138373e-02,2.092790e-01,2.473440e-19,6.258411e-07,2.664526e-04,1.393058e-03,4.046606e-02,2.829509e-05,5.422861e+02,6.374586e-01,2.138373e-02,4.624603e-01,4.438734e-05,4.572639e-04,9.889126e-03
5.121484e-02,7.665167e-01,1.916762e-04,3.370187e-05,2.420041e-02,2.061664e-01,8.384725e-19,9.614060e-07,3.015858e-04,1.586118e-03,4.236978e-02,2.938190e-05,5.734319e+02,6.014833e-01,2.420041e-02,6.945378e-01,4.884907e-05,5.856598e-04,1.680810e-02
5.700066e-02,7.664481e-01,2.134111e-04,4.277860e-05,2.693123e-02,2.031475e-01,2.434202e-18,1.391843e-06,3.357136e-04,1.775929e-03,4.420034e-02,3.040004e-05,6.032446e+02,5.705149e-01,2.693123e-02,9.924683e-01,5.328527e-05,7.252911e-04,2.672839e-02
6.264443e-02,7.663809e-01,2.346608e-04,5.278815e-05,2.959362e-02,2.002028e-01,6.258385e-18,1.926711e-06,3.690791e-04,1.963561e-03,4.597329e-02,3.136138e-05,6.319415e+02,5.434535e-01,2.959362e-02,1.364589e+00,5.770757e-05,8.757823e-04,4.038313e-02
