Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.292346e-02,7.657214e-01,1.802258e-04,8.134546e-19,2.032145e-03,2.300583e-01,1.475324e-36,9.633266e-18,1.909132e-03,2.819918e-06,2.677067e-02,1.948425e-05,3.192117e+02,1.095988e+00,2.032145e-03,2.975078e-14,1.777780e-05,4.129613e-06,6.045790e-17
2.570341e-02,7.643404e-01,3.584503e-04,4.516044e-18,4.041724e-03,2.272659e-01,2.428425e-36,7.446909e-17,3.797065e-03,5.608535e-06,2.865740e-02,2.056673e-05,3.442461e+02,1.011162e+00,4.041724e-03,3.471407e-13,2.033970e-05,1.633553e-05,1.403047e-15
3.818356e-02,7.629919e-01,5.324940e-04,1.862328e-17,6.004162e-03,2.245389e-01,0.000000e+00,3.713585e-16,5.640711e-03,8.331749e-06,3.046996e-02,2.157016e-05,3.683152e+02,9.404528e-01,6.004162e-03,2.116583e-12,2.293593e-05,3.604996e-05,1.270831e-14
5.027922e-02,7.616848e-01,7.011756e-04,6.140941e-17,7.906140e-03,2.218960e-01,2.267867e-34,1.409615e-15,7.427556e-03,1.097107e-05,3.220405e-02,2.249762e-05,3.912858e+02,8.810597e-01,7.906140e-03,9.043918e-12,2.553473e-05,6.250705e-05,7.150248e-14
6.199744e-02,7.604186e-01,8.645936e-04,1.717195e-16,9.748767e-03,2.193355e-01,2.083393e-34,4.422428e-15,9.158643e-03,1.352805e-05,3.386689e-02,2.335808e-05,4.132045e+02,8.305209e-01,9.748767e-03,3.065990e-11,2.812461e-05,9.503846e-05,2.988962e-13
7.338047e-02,7.591886e-01,1.023337e-03,4.259565e-16,1.153869e-02,2.168483e-01,1.773010e-34,1.209102e-14,1.084021e-02,1.601189e-05,3.546911e-02,2.416128e-05,4.341812e+02,7.869120e-01,1.153869e-02,8.859496e-11,3.070392e-05,1.331414e-04,1.022270e-12
8.447620e-02,7.579896e-01,1.178074e-03,9.696446e-16,1.328343e-02,2.144239e-01,5.407113e-34,2.990659e-14,1.247934e-02,1.843304e-05,3.702088e-02,2.491578e-05,4.543307e+02,7.487954e-01,1.328343e-02,2.287392e-10,3.327448e-05,1.764495e-04,3.038441e-12
9.533317e-02,7.568164e-01,1.329482e-03,2.080233e-15,1.499063e-02,2.120516e-01,0.000000e+00,6.888059e-14,1.408320e-02,2.080210e-05,3.853152e-02,2.562895e-05,4.737636e+02,7.150880e-01,1.499063e-02,5.460275e-10,3.584027e-05,2.247190e-04,8.185296e-12
1.059935e-01,7.556645e-01,1.478146e-03,4.296826e-15,1.666691e-02,2.097223e-01,3.368637e-34,1.512245e-13,1.565801e-02,2.312823e-05,4.000882e-02,2.630670e-05,4.925736e+02,6.849772e-01,1.666691e-02,1.237243e-09,3.840522e-05,2.777859e-04,2.062102e-11
1.164816e-01,7.545312e-01,1.624410e-03,8.691102e-15,1.831611e-02,2.074306e-01,5.014935e-34,3.226010e-13,1.720738e-02,2.541678e-05,4.145765e-02,2.695316e-05,5.108198e+02,6.578719e-01,1.831611e-02,2.716012e-09,4.097023e-05,3.354799e-04,4.974677e-11
1.267995e-01,7.534163e-01,1.768300e-03,1.742858e-14,1.993855e-02,2.051761e-01,5.613563e-34,6.787557e-13,1.873161e-02,2.766818e-05,4.287946e-02,2.757061e-05,5.285202e+02,6.333507e-01,1.993855e-02,5.863604e-09,4.353135e-05,3.975458e-04,1.169118e-10
1.369354e-01,7.523210e-01,1.909651e-03,3.490909e-14,2.153236e-02,2.029614e-01,1.260533e-33,1.422850e-12,2.022894e-02,2.987982e-05,4.427355e-02,2.816029e-05,5.456690e+02,6.110964e-01,2.153236e-02,1.256862e-08,4.608158e-05,4.636425e-04,2.706321e-10
1.468789e-01,7.512466e-01,2.048319e-03,7.001960e-14,2.309592e-02,2.007887e-01,1.808210e-34,2.985730e-12,2.169785e-02,3.204945e-05,4.563927e-02,2.872337e-05,5.622643e+02,5.908397e-01,2.309592e-02,2.685876e-08,4.861449e-05,5.334215e-04,6.203278e-10
1.566277e-01,7.501931e-01,2.184272e-03,1.403931e-13,2.462886e-02,1.986586e-01,0.000000e+00,6.266818e-12,2.313800e-02,3.417658e-05,4.697690e-02,2.926135e-05,5.783173e+02,5.723384e-01,2.462886e-02,5.717560e-08,5.112596e-05,6.065807e-04,1.408170e-09
