Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
6.753100e-03,7.672341e-01,2.991576e-11,3.408795e-24,3.487875e-03,2.292692e-01,4.290713e-37,1.164457e-30,8.772451e-18,8.272032e-06,2.760252e-02,2.024572e-05,3.357722e+02,1.044733e+00,3.487875e-03,8.376782e-19,1.937885e-05,1.216527e-05,2.921717e-21
1.335615e-02,7.673478e-01,5.916680e-11,2.945868e-22,6.898250e-03,2.257366e-01,1.178208e-36,2.781673e-29,1.734998e-17,1.636029e-05,3.018605e-02,2.199224e-05,3.766443e+02,9.291363e-01,6.898250e-03,2.884429e-17,2.366955e-05,4.758585e-05,1.989751e-19
1.965782e-02,7.674562e-01,8.708277e-11,3.801256e-20,1.015297e-02,2.223652e-01,4.182348e-35,2.869750e-28,2.553601e-17,2.407941e-05,3.255838e-02,2.355913e-05,4.152135e+02,8.409105e-01,1.015297e-02,3.322816e-16,2.801622e-05,1.030828e-04,3.373645e-18
2.560178e-02,7.675585e-01,1.134141e-10,2.615552e-18,1.322294e-02,2.191852e-01,0.000000e+00,1.731694e-27,3.325737e-17,3.136039e-05,3.473231e-02,2.496117e-05,4.511903e+02,7.722006e-01,1.322294e-02,2.129242e-15,3.232472e-05,1.748461e-04,2.815484e-17
3.122690e-02,7.676554e-01,1.383330e-10,9.240532e-17,1.612823e-02,2.161758e-01,4.267452e-34,7.448061e-27,4.056455e-17,3.825082e-05,3.674553e-02,2.622895e-05,4.848672e+02,7.171128e-01,1.612823e-02,1.062690e-14,3.657577e-05,2.601198e-04,1.713931e-16
3.658299e-02,7.677475e-01,1.620601e-10,1.876656e-15,1.889457e-02,2.133103e-01,0.000000e+00,2.532336e-26,4.752225e-17,4.481173e-05,3.863128e-02,2.738870e-05,5.165914e+02,6.717803e-01,1.889457e-02,6.421741e-14,4.077032e-05,3.570048e-04,1.213360e-15
4.170120e-02,7.678356e-01,1.847334e-10,2.442318e-14,2.153805e-02,2.105721e-01,2.180946e-33,7.487751e-26,5.417093e-17,5.108126e-05,4.041073e-02,2.845797e-05,5.465886e+02,6.337480e-01,2.153805e-02,5.284346e-13,4.490424e-05,4.638876e-04,1.138145e-14
4.660260e-02,7.679200e-01,2.064463e-10,2.212627e-13,2.406955e-02,2.079499e-01,1.666096e-35,2.196636e-25,6.053798e-17,5.708522e-05,4.209822e-02,2.944929e-05,5.750196e+02,6.013572e-01,2.406955e-02,4.185165e-12,4.897138e-05,5.793432e-04,1.007350e-13
5.130641e-02,7.680010e-01,2.272838e-10,1.490264e-12,2.649899e-02,2.054333e-01,2.065716e-33,7.473362e-25,6.664835e-17,6.284715e-05,4.370522e-02,3.037289e-05,6.020292e+02,5.734129e-01,2.649899e-02,2.682093e-11,5.296862e-05,7.021965e-04,7.107276e-13
