Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.895563e-02,7.655788e-01,2.032499e-04,1.102809e-11,4.459598e-03,2.274442e-01,1.727756e-32,5.552511e-11,2.211154e-03,1.716974e-05,2.873950e-02,2.079105e-05,3.489444e+02,1.000379e+00,4.459598e-03,5.660523e-07,2.078317e-05,1.988801e-05,2.524366e-09
3.639613e-02,7.641628e-01,3.902540e-04,5.887242e-11,8.562738e-03,2.224409e-01,6.617366e-32,4.634173e-10,4.245570e-03,3.296921e-05,3.218345e-02,2.284292e-05,3.987274e+02,8.696121e-01,8.562738e-03,5.898167e-06,2.626794e-05,7.332048e-05,5.050446e-08
5.185130e-02,7.629079e-01,5.559706e-04,1.735513e-10,1.219879e-02,2.180071e-01,6.138287e-31,1.892044e-09,6.048401e-03,4.697672e-05,3.515052e-02,2.452294e-05,4.418419e+02,7.801253e-01,1.219879e-02,2.496668e-05,3.143462e-05,1.488105e-04,3.045633e-07
6.571156e-02,7.617825e-01,7.045860e-04,3.757530e-10,1.545962e-02,2.140309e-01,3.863001e-31,5.235730e-09,7.665192e-03,5.955230e-05,3.776499e-02,2.593704e-05,4.796990e+02,7.147763e-01,1.545962e-02,6.861660e-05,3.628693e-05,2.389999e-04,1.060787e-06
7.842270e-02,7.607505e-01,8.408802e-04,6.791734e-10,1.845007e-02,2.103844e-01,1.961632e-30,1.147513e-08,9.147943e-03,7.110790e-05,4.013570e-02,2.716701e-05,5.137425e+02,6.642045e-01,1.845007e-02,1.477086e-04,4.090157e-05,3.404051e-04,2.725234e-06
9.030797e-02,7.597854e-01,9.683194e-04,1.093948e-09,2.124621e-02,2.069748e-01,2.689991e-29,2.160974e-08,1.053437e-02,8.194609e-05,4.233591e-02,2.826541e-05,5.449893e+02,6.233223e-01,2.124621e-02,2.727843e-04,4.534638e-05,4.514014e-04,5.795633e-06
1.015911e-01,7.588692e-01,1.089302e-03,1.630044e-09,2.390064e-02,2.037380e-01,2.356694e-28,3.665599e-08,1.185056e-02,9.228096e-05,4.441429e-02,2.926622e-05,5.741312e+02,5.891820e-01,2.390064e-02,4.545936e-04,4.967263e-05,5.712406e-04,1.086508e-05
1.123887e-01,7.579925e-01,1.205081e-03,2.295683e-09,2.644081e-02,2.006404e-01,1.542294e-27,5.755638e-08,1.311014e-02,1.022306e-04,4.639667e-02,3.018880e-05,6.015453e+02,5.600653e-01,2.644081e-02,7.034655e-04,5.390229e-05,6.991164e-04,1.860020e-05
1.227871e-01,7.571480e-01,1.316579e-03,3.100610e-09,2.888699e-02,1.976575e-01,8.155409e-27,8.522929e-08,1.432318e-02,1.118864e-04,4.830157e-02,3.104706e-05,6.275103e+02,5.348156e-01,2.888699e-02,1.030283e-03,5.805190e-05,8.344582e-04,2.976177e-05
