Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.794946e-02,7.658336e-01,1.954042e-04,7.275113e-11,4.569467e-03,2.274119e-01,1.786887e-33,2.627193e-10,1.858505e-03,2.309696e-05,2.878510e-02,2.083516e-05,3.498744e+02,9.979970e-01,4.569467e-03,3.417171e-06,2.087698e-05,2.088003e-05,1.561465e-08
3.579636e-02,7.645566e-01,3.896918e-04,3.352307e-10,9.112818e-03,2.219729e-01,7.016887e-33,1.952694e-09,3.706391e-03,4.607036e-05,3.253977e-02,2.308415e-05,4.045615e+02,8.570805e-01,9.112818e-03,3.173264e-05,2.693347e-05,8.304345e-05,2.891738e-07
5.329223e-02,7.633048e-01,5.801582e-04,9.351754e-10,1.356679e-02,2.166410e-01,4.462257e-31,7.984923e-09,5.517937e-03,6.861824e-05,3.610581e-02,2.510242e-05,4.568265e+02,7.538759e-01,1.356679e-02,1.327047e-04,3.329781e-05,1.840578e-04,1.800377e-06
7.009758e-02,7.621023e-01,7.631077e-04,1.995198e-09,1.784494e-02,2.115194e-01,2.611266e-29,2.305261e-08,7.257999e-03,9.033561e-05,3.946284e-02,2.689936e-05,5.057581e+02,6.765325e-01,1.784494e-02,3.730789e-04,3.976063e-05,3.184419e-04,6.657571e-06
8.599724e-02,7.609646e-01,9.361984e-04,3.585490e-09,2.189244e-02,2.066739e-01,6.698577e-28,5.258217e-08,8.904309e-03,1.109880e-04,4.260022e-02,2.849148e-05,5.509002e+02,6.173161e-01,2.189244e-02,8.206489e-04,4.615379e-05,4.792789e-04,1.796601e-05
1.009810e-01,7.598923e-01,1.099320e-03,5.748422e-09,2.570667e-02,2.021076e-01,9.644981e-27,1.019437e-07,1.045582e-02,1.306095e-04,4.553569e-02,2.990827e-05,5.924169e+02,5.707810e-01,2.570667e-02,1.537650e-03,5.239885e-05,6.608329e-04,3.952786e-05
1.151079e-01,7.588812e-01,1.253116e-03,8.526165e-09,2.930263e-02,1.978025e-01,9.115842e-26,1.763566e-07,1.191867e-02,1.493238e-04,4.829198e-02,3.117789e-05,6.306537e+02,5.333072e-01,2.930263e-02,2.584326e-03,5.846141e-05,8.586441e-04,7.572755e-05
1.284049e-01,7.579294e-01,1.397881e-03,1.197235e-08,3.268710e-02,1.937504e-01,6.243815e-25,2.810028e-07,1.329565e-02,1.672062e-04,5.088034e-02,3.231980e-05,6.658483e+02,5.025886e-01,3.268710e-02,4.022373e-03,6.430667e-05,1.068447e-03,1.314797e-04
1.408684e-01,7.570370e-01,1.533580e-03,1.616638e-08,3.585916e-02,1.899525e-01,3.312429e-24,4.214209e-07,1.458641e-02,1.842806e-04,5.330305e-02,3.334719e-05,6.981450e+02,4.770989e-01,3.585916e-02,5.920488e-03,6.989576e-05,1.285879e-03,2.123037e-04
1.524549e-01,7.562072e-01,1.659738e-03,2.121342e-08,3.880770e-02,1.864220e-01,1.422866e-23,6.034259e-07,1.578643e-02,2.004993e-04,5.555286e-02,3.426771e-05,7.275771e+02,4.558192e-01,3.880770e-02,8.353997e-03,7.517829e-05,1.506038e-03,3.241994e-04
1.631697e-01,7.554397e-01,1.776416e-03,2.727857e-08,4.153401e-02,1.831575e-01,5.139713e-23,8.341044e-07,1.689627e-02,2.158638e-04,5.763114e-02,3.509122e-05,7.542951e+02,4.379221e-01,4.153401e-02,1.142154e-02,8.013119e-05,1.725074e-03,4.743824e-04
1.731278e-01,7.547261e-01,1.884870e-03,3.466093e-08,4.406739e-02,1.801238e-01,1.624282e-22,1.124503e-06,1.792784e-02,2.305226e-04,5.956012e-02,3.583401e-05,7.787025e+02,4.226311e-01,4.406739e-02,1.528732e-02,8.478792e-05,1.941935e-03,6.736723e-04
1.824713e-01,7.540562e-01,1.986647e-03,4.382503e-08,4.644394e-02,1.772777e-01,4.643460e-22,1.490631e-06,1.889585e-02,2.446690e-04,6.136705e-02,3.651218e-05,8.012381e+02,4.093274e-01,4.644394e-02,2.020487e-02,8.920043e-05,2.157040e-03,9.383938e-04
1.913731e-01,7.534178e-01,2.083637e-03,5.550844e-08,4.870761e-02,1.745667e-01,1.237172e-21,1.956877e-06,1.981819e-02,2.585578e-04,6.308496e-02,3.714215e-05,8.223840e+02,3.974960e-01,4.870761e-02,2.658107e-02,9.344031e-05,2.372431e-03,1.294700e-03
2.000286e-01,7.527967e-01,2.177972e-03,7.091328e-08,5.090798e-02,1.719312e-01,3.157522e-21,2.561782e-06,2.071511e-02,2.725055e-04,6.475099e-02,3.774020e-05,8.426452e+02,3.867064e-01,5.090798e-02,3.508860e-02,9.759394e-05,2.591622e-03,1.786290e-03
2.085826e-01,7.521824e-01,2.271244e-03,9.185564e-08,5.308179e-02,1.693273e-01,7.860997e-21,3.360274e-06,2.160165e-02,2.867813e-04,6.639223e-02,3.831775e-05,8.623826e+02,3.766736e-01,5.308179e-02,4.676005e-02,1.017267e-04,2.817676e-03,2.482107e-03
2.171120e-01,7.515695e-01,2.364301e-03,1.209730e-07,5.524829e-02,1.667318e-01,1.925427e-20,4.426116e-06,2.248573e-02,3.015701e-04,6.802228e-02,3.888072e-05,8.817820e+02,3.672407e-01,5.524829e-02,6.312016e-02,1.058726e-04,3.052374e-03,3.487281e-03
2.256514e-01,7.509552e-01,2.457548e-03,1.620318e-07,5.741597e-02,1.641345e-01,4.649030e-20,5.856241e-06,2.337099e-02,3.170055e-04,6.964642e-02,3.943186e-05,9.009249e+02,3.583214e-01,5.741597e-02,8.638946e-02,1.100461e-04,3.296594e-03,4.960135e-03
2.342833e-01,7.503334e-01,2.551920e-03,2.208547e-07,5.960529e-02,1.615106e-01,1.112107e-19,7.793454e-06,2.426600e-02,3.333318e-04,7.127862e-02,3.997658e-05,9.199913e+02,3.497970e-01,5.960529e-02,1.200661e-01,1.142851e-04,3.552791e-03,7.156575e-03
2.431908e-01,7.496908e-01,2.649477e-03,3.073087e-07,6.186183e-02,1.588052e-01,2.668497e-19,1.047384e-05,2.518979e-02,3.510393e-04,7.295095e-02,4.052590e-05,9.393650e+02,3.414792e-01,6.186183e-02,1.701825e-01,1.186775e-04,3.826886e-03,1.052780e-02
2.525271e-01,7.490156e-01,2.752001e-03,4.369976e-07,6.422294e-02,1.559731e-01,6.463804e-19,1.424874e-05,2.615835e-02,3.706575e-04,7.468829e-02,4.108789e-05,9.593365e+02,3.332444e-01,6.422294e-02,2.465203e-01,1.232966e-04,4.124586e-03,1.583226e-02
2.621303e-01,7.483191e-01,2.857880e-03,6.274555e-07,6.664534e-02,1.530653e-01,1.542050e-18,1.945202e-05,2.715511e-02,3.921155e-04,7.645569e-02,4.165122e-05,9.795086e+02,3.252539e-01,6.664534e-02,3.606692e-01,1.280576e-04,4.441601e-03,2.403692e-02
2.714801e-01,7.476381e-01,2.961575e-03,8.866283e-07,6.899517e-02,1.502415e-01,3.439262e-18,2.612248e-05,2.812643e-02,4.144227e-04,7.815393e-02,4.218511e-05,9.987679e+02,3.179112e-01,6.899517e-02,5.191049e-01,1.326946e-04,4.760333e-03,3.581573e-02
