Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.356652e-02,7.656578e-01,1.844281e-04,2.637586e-18,2.176659e-03,2.298823e-01,2.372255e-37,2.095978e-17,2.003568e-03,3.023937e-06,2.689907e-02,1.956661e-05,3.210663e+02,1.089413e+00,2.176659e-03,8.326582e-14,1.796069e-05,4.737844e-06,1.812413e-16
2.699378e-02,7.642128e-01,3.669630e-04,1.584339e-17,4.330974e-03,2.269133e-01,4.747115e-37,1.759908e-16,3.986570e-03,6.016844e-06,2.890854e-02,2.072300e-05,3.479069e+02,1.000074e+00,4.330974e-03,1.042943e-12,2.072147e-05,1.875734e-05,4.516959e-15
4.012550e-02,7.627995e-01,5.454801e-04,6.896371e-17,6.437871e-03,2.240096e-01,0.000000e+00,9.627613e-16,5.925924e-03,8.943882e-06,3.083968e-02,2.179338e-05,3.737284e+02,9.262089e-01,6.437871e-03,6.843893e-12,2.352966e-05,4.144618e-05,4.406010e-14
5.287313e-02,7.614276e-01,7.187760e-04,2.358520e-16,8.483145e-03,2.211909e-01,0.000000e+00,3.968157e-15,7.808556e-03,1.178532e-05,3.268885e-02,2.278182e-05,3.983884e+02,8.645782e-01,8.483145e-03,3.107853e-11,2.635021e-05,7.196375e-05,2.636437e-13
6.524069e-02,7.600966e-01,8.869050e-04,6.762785e-16,1.046744e-02,2.184562e-01,4.019164e-36,1.337067e-14,9.635056e-03,1.454203e-05,3.446383e-02,2.369809e-05,4.219309e+02,8.124377e-01,1.046744e-02,1.106549e-10,2.916912e-05,1.095673e-04,1.158274e-12
7.727466e-02,7.588015e-01,1.050499e-03,1.709106e-15,1.239821e-02,2.157952e-01,1.211201e-38,3.895262e-14,1.141229e-02,1.722439e-05,3.617662e-02,2.455311e-05,4.444777e+02,7.676573e-01,1.239821e-02,3.331182e-10,3.198447e-05,1.537156e-04,4.130069e-12
8.904005e-02,7.575353e-01,1.210442e-03,3.955922e-15,1.428589e-02,2.131937e-01,0.000000e+00,1.022909e-13,1.314986e-02,1.984687e-05,3.784033e-02,2.535720e-05,4.661788e+02,7.286262e-01,1.428589e-02,8.928478e-10,3.480138e-05,2.040867e-04,1.275513e-11
1.006115e-01,7.562900e-01,1.367748e-03,8.642230e-15,1.614245e-02,2.106350e-01,5.468337e-35,2.501617e-13,1.485878e-02,2.242610e-05,3.946835e-02,2.611974e-05,4.871935e+02,6.941233e-01,1.614245e-02,2.213209e-09,3.762983e-05,2.605787e-04,3.572662e-11
1.120495e-01,7.550590e-01,1.523240e-03,1.823172e-14,1.797760e-02,2.081058e-01,1.353444e-35,5.842065e-13,1.654800e-02,2.497556e-05,4.107129e-02,2.684790e-05,5.076479e+02,6.632645e-01,1.797760e-02,5.217673e-09,4.047842e-05,3.231941e-04,9.380124e-11
1.233734e-01,7.538403e-01,1.677182e-03,3.772367e-14,1.979445e-02,2.056019e-01,0.000000e+00,1.325614e-12,1.822037e-02,2.749954e-05,4.265346e-02,2.754542e-05,5.275892e+02,6.354650e-01,1.979445e-02,1.192158e-08,4.334687e-05,3.918203e-04,2.359811e-10
1.345647e-01,7.526359e-01,1.829320e-03,7.727197e-14,2.159002e-02,2.031273e-01,0.000000e+00,2.954033e-12,1.987316e-02,2.999392e-05,4.421359e-02,2.821337e-05,5.469974e+02,6.103375e-01,2.159002e-02,2.670382e-08,4.622585e-05,4.661290e-04,5.765360e-10
1.456010e-01,7.514482e-01,1.979351e-03,1.574816e-13,2.336071e-02,2.006870e-01,2.884378e-36,6.504208e-12,2.150304e-02,3.245371e-05,4.574957e-02,2.885245e-05,5.658481e+02,5.875653e-01,2.336071e-02,5.902894e-08,4.910510e-05,5.457228e-04,1.378958e-09
1.564727e-01,7.502782e-01,2.127146e-03,3.198726e-13,2.510501e-02,1.982830e-01,5.474875e-36,1.418269e-11,2.310864e-02,3.487685e-05,4.726094e-02,2.946402e-05,5.841403e+02,5.668571e-01,2.510501e-02,1.291447e-07,5.197786e-05,6.302615e-04,3.242179e-09
1.671813e-01,7.491257e-01,2.272721e-03,6.467334e-13,2.682312e-02,1.959152e-01,6.225992e-34,3.059315e-11,2.469013e-02,3.726377e-05,4.874848e-02,3.004985e-05,6.018918e+02,5.479496e-01,2.682312e-02,2.795496e-07,5.484054e-05,7.194798e-04,7.498392e-09
1.777441e-01,7.479889e-01,2.416316e-03,1.298096e-12,2.851784e-02,1.935796e-01,4.864560e-33,6.509598e-11,2.625010e-02,3.961874e-05,5.021511e-02,3.061242e-05,6.191460e+02,5.305966e-01,2.851784e-02,5.975241e-07,5.769434e-05,8.132672e-04,1.704010e-08
1.881927e-01,7.468644e-01,2.558359e-03,2.578959e-12,3.019423e-02,1.912692e-01,3.868066e-32,1.361977e-10,2.779321e-02,4.194961e-05,5.166554e-02,3.115465e-05,6.359668e+02,5.145725e-01,3.019423e-02,1.258224e-06,6.054472e-05,9.116915e-04,3.799110e-08
1.985518e-01,7.457496e-01,2.699185e-03,5.052653e-12,3.185623e-02,1.889787e-01,2.804449e-31,2.790910e-10,2.932311e-02,4.426368e-05,5.310342e-02,3.167886e-05,6.524042e+02,4.996990e-01,3.185623e-02,2.601711e-06,6.339588e-05,1.014819e-03,8.288070e-08
2.088088e-01,7.446457e-01,2.838626e-03,9.706726e-12,3.350181e-02,1.867107e-01,1.844512e-30,5.568216e-10,3.083796e-02,4.656185e-05,5.452714e-02,3.218533e-05,6.684478e+02,4.858749e-01,3.350181e-02,5.254344e-06,6.624201e-05,1.122371e-03,1.760300e-07
2.189135e-01,7.435581e-01,2.975998e-03,1.815930e-11,3.512286e-02,1.844766e-01,1.091913e-29,1.074052e-09,3.233034e-02,4.884000e-05,5.592976e-02,3.267253e-05,6.840301e+02,4.730573e-01,3.512286e-02,1.029414e-05,6.906675e-05,1.233615e-03,3.615596e-07
2.288181e-01,7.424921e-01,3.110657e-03,3.289159e-11,3.671166e-02,1.822868e-01,5.777426e-29,1.991741e-09,3.379323e-02,5.110030e-05,5.730464e-02,3.313919e-05,6.990915e+02,4.612000e-01,3.671166e-02,1.945579e-05,7.185427e-05,1.347746e-03,7.142543e-07
2.385152e-01,7.414483e-01,3.242508e-03,5.754129e-11,3.826690e-02,1.801432e-01,2.734596e-28,3.543870e-09,3.522560e-02,5.336276e-05,5.865061e-02,3.358596e-05,7.136352e+02,4.502147e-01,3.826690e-02,3.540108e-05,7.459987e-05,1.464356e-03,1.354690e-06
2.480491e-01,7.404220e-01,3.372160e-03,9.733325e-11,3.979547e-02,1.780362e-01,1.168067e-27,6.060056e-09,3.663402e-02,5.567239e-05,5.997360e-02,3.401575e-05,7.277396e+02,4.399703e-01,3.979547e-02,6.211810e-05,7.731374e-05,1.583679e-03,2.472019e-06
2.574897e-01,7.394056e-01,3.500584e-03,1.595942e-10,4.130827e-02,1.759507e-01,4.553281e-27,9.989292e-09,3.802895e-02,5.809943e-05,6.128301e-02,3.443228e-05,7.415154e+02,4.303306e-01,4.130827e-02,1.054396e-04,8.001355e-05,1.706373e-03,4.355527e-06
2.668953e-01,7.383927e-01,3.628601e-03,2.541348e-10,4.281412e-02,1.738742e-01,1.633374e-26,1.590962e-08,3.941916e-02,6.073629e-05,6.258645e-02,3.483845e-05,7.550490e+02,4.211925e-01,4.281412e-02,1.735433e-04,8.271384e-05,1.833049e-03,7.430104e-06
2.762862e-01,7.373809e-01,3.756535e-03,3.930787e-10,4.431547e-02,1.718030e-01,5.408076e-26,2.449870e-08,4.080789e-02,6.369074e-05,6.388607e-02,3.523523e-05,7.683656e+02,4.125039e-01,4.431547e-02,2.771082e-04,8.541793e-05,1.963861e-03,1.228018e-05
2.856355e-01,7.363731e-01,3.884097e-03,5.898940e-10,4.580678e-02,1.697444e-01,1.650576e-25,3.645873e-08,4.219150e-02,6.707055e-05,6.517721e-02,3.562145e-05,7.814196e+02,4.042618e-01,4.580678e-02,4.288440e-04,8.811481e-05,2.098261e-03,1.964396e-05
2.948959e-01,7.353739e-01,4.010751e-03,8.582343e-10,4.727883e-02,1.677103e-01,4.639233e-25,5.244585e-08,4.356344e-02,7.096391e-05,6.645214e-02,3.599509e-05,7.941354e+02,3.964799e-01,4.727883e-02,6.427335e-04,9.078667e-05,2.235288e-03,3.038769e-05
3.040384e-01,7.343862e-01,4.136249e-03,1.211815e-09,4.872478e-02,1.657092e-01,1.204988e-24,7.308081e-08,4.491995e-02,7.542522e-05,6.770536e-02,3.635481e-05,8.064604e+02,3.891554e-01,4.872478e-02,9.339447e-04,9.341978e-05,2.374104e-03,4.550625e-05
3.130495e-01,7.334112e-01,4.260608e-03,1.664176e-09,5.013964e-02,1.637467e-01,2.909546e-24,9.896101e-08,4.625970e-02,8.045564e-05,6.893318e-02,3.669981e-05,8.183590e+02,3.822748e-01,5.013964e-02,1.318596e-03,9.600374e-05,2.513983e-03,6.611393e-05
3.219035e-01,7.324509e-01,4.383726e-03,2.226927e-09,5.151587e-02,1.618315e-01,6.561454e-24,1.305873e-07,4.757965e-02,8.598180e-05,7.012994e-02,3.702866e-05,8.297752e+02,3.758363e-01,5.151587e-02,1.812108e-03,9.852337e-05,2.653885e-03,9.335232e-05
3.305378e-01,7.315118e-01,4.505031e-03,2.905945e-09,5.283978e-02,1.599810e-01,1.383545e-23,1.681761e-07,4.887129e-02,9.184331e-05,7.128481e-02,3.733855e-05,8.406038e+02,3.698643e-01,5.283978e-02,2.425398e-03,1.009520e-04,2.792042e-03,1.281575e-04
3.388493e-01,7.306045e-01,4.623379e-03,3.696857e-09,5.409160e-02,1.582205e-01,2.722057e-23,2.114329e-07,5.011996e-02,9.780886e-05,7.238176e-02,3.762543e-05,8.506951e+02,3.644047e-01,5.409160e-02,3.159872e-03,1.032518e-04,2.925901e-03,1.709225e-04
3.467367e-01,7.297396e-01,4.737588e-03,4.585012e-09,5.525299e-02,1.565744e-01,4.989803e-23,2.595599e-07,5.131095e-02,1.036415e-04,7.340580e-02,3.788587e-05,8.599173e+02,3.594921e-01,5.525299e-02,4.006255e-03,1.053872e-04,3.052893e-03,2.213576e-04
3.541472e-01,7.289229e-01,4.847054e-03,5.550511e-09,5.631438e-02,1.550552e-01,8.541472e-23,3.115200e-07,5.243646e-02,1.091683e-04,7.434928e-02,3.811857e-05,8.682138e+02,3.551230e-01,5.631438e-02,4.948656e-03,1.073391e-04,3.171309e-03,2.786805e-04
3.610691e-01,7.281554e-01,4.951674e-03,6.570815e-09,5.727370e-02,1.536654e-01,1.371695e-22,3.661600e-07,5.349460e-02,1.142909e-04,7.521079e-02,3.832397e-05,8.755888e+02,3.512667e-01,5.727370e-02,5.967042e-03,1.091022e-04,3.280277e-03,3.417546e-04
3.675109e-01,7.274365e-01,5.051546e-03,7.621147e-09,5.813301e-02,1.524024e-01,2.077394e-22,4.222208e-07,5.448633e-02,1.189641e-04,7.599222e-02,3.850337e-05,8.820788e+02,3.478822e-01,5.813301e-02,7.037746e-03,1.106793e-04,3.379447e-03,4.091254e-04
3.734923e-01,7.267644e-01,5.146857e-03,8.675767e-09,5.889689e-02,1.512606e-01,2.982559e-22,4.783981e-07,5.541408e-02,1.231782e-04,7.669736e-02,3.865856e-05,8.877383e+02,3.449247e-01,5.889689e-02,8.134836e-03,1.120783e-04,3.468844e-03,4.791165e-04
3.790413e-01,7.261362e-01,5.237864e-03,9.710150e-09,5.957178e-02,1.502319e-01,4.080711e-22,5.334526e-07,5.628150e-02,1.269459e-04,7.733140e-02,3.879164e-05,8.926343e+02,3.423483e-01,5.957178e-02,9.232448e-03,1.133105e-04,3.548797e-03,5.499934e-04
3.842056e-01,7.255471e-01,5.325118e-03,1.070560e-08,6.016678e-02,1.493044e-01,5.351751e-22,5.864499e-07,5.709527e-02,1.303022e-04,7.790193e-02,3.890512e-05,8.968513e+02,3.401023e-01,6.016678e-02,1.030993e-02,1.143924e-04,3.620041e-03,6.203153e-04
3.890447e-01,7.249908e-01,5.409386e-03,1.164935e-08,6.069203e-02,1.484646e-01,6.766850e-22,6.367620e-07,5.786403e-02,1.332917e-04,7.841756e-02,3.900160e-05,9.004773e+02,3.381366e-01,6.069203e-02,1.135244e-02,1.153427e-04,3.683523e-03,6.890026e-04
3.936184e-01,7.244608e-01,5.491502e-03,1.253244e-08,6.115690e-02,1.476993e-01,8.291117e-22,6.839558e-07,5.859664e-02,1.359580e-04,7.888645e-02,3.908332e-05,9.035910e+02,3.364072e-01,6.115690e-02,1.234910e-02,1.161786e-04,3.740166e-03,7.552327e-04
3.979869e-01,7.239504e-01,5.572382e-03,1.334892e-08,6.156980e-02,1.469964e-01,9.886810e-22,7.277479e-07,5.930224e-02,1.383408e-04,7.931618e-02,3.915221e-05,9.062598e+02,3.348765e-01,6.156980e-02,1.329231e-02,1.169154e-04,3.790840e-03,8.184049e-04
4.022052e-01,7.234536e-01,5.652930e-03,1.409349e-08,6.193749e-02,1.463457e-01,1.151258e-21,7.678879e-07,5.998934e-02,1.404717e-04,7.971310e-02,3.920972e-05,9.085360e+02,3.335147e-01,6.193749e-02,1.417540e-02,1.175652e-04,3.836253e-03,8.779887e-04
4.063244e-01,7.229643e-01,5.734073e-03,1.476082e-08,6.226524e-02,1.457384e-01,1.312350e-21,8.041169e-07,6.066611e-02,1.423751e-04,8.008254e-02,3.925689e-05,9.104579e+02,3.322982e-01,6.226524e-02,1.499184e-02,1.181375e-04,3.876960e-03,9.334705e-04
4.103920e-01,7.224770e-01,5.816752e-03,1.534432e-08,6.255682e-02,1.451677e-01,1.466929e-21,8.361077e-07,6.134024e-02,1.440667e-04,8.042876e-02,3.929437e-05,9.120503e+02,3.312099e-01,6.255682e-02,1.573388e-02,1.186389e-04,3.913356e-03,9.842615e-04
4.144402e-01,7.219877e-01,5.901686e-03,1.583423e-08,6.281387e-02,1.446296e-01,1.608909e-21,8.633590e-07,6.201717e-02,1.455505e-04,8.075412e-02,3.932236e-05,9.133218e+02,3.302406e-01,6.281387e-02,1.639001e-02,1.190719e-04,3.945582e-03,1.029520e-03
4.184864e-01,7.214942e-01,5.989336e-03,1.621877e-08,6.303644e-02,1.441226e-01,1.731363e-21,8.852479e-07,6.269998e-02,1.468212e-04,8.105939e-02,3.934075e-05,9.142703e+02,3.293872e-01,6.303644e-02,1.694574e-02,1.194362e-04,3.973593e-03,1.068199e-03
4.225456e-01,7.209947e-01,6.080132e-03,1.648669e-08,6.322409e-02,1.436461e-01,1.827448e-21,9.011712e-07,6.339132e-02,1.478706e-04,8.134493e-02,3.934935e-05,9.148897e+02,3.286486e-01,6.322409e-02,1.738668e-02,1.197308e-04,3.997286e-03,1.099257e-03
4.266376e-01,7.204864e-01,6.174647e-03,1.662826e-08,6.337628e-02,1.431991e-01,1.891085e-21,9.105952e-07,6.409483e-02,1.486902e-04,8.161122e-02,3.934785e-05,9.151715e+02,3.280242e-01,6.337628e-02,1.769975e-02,1.199541e-04,4.016553e-03,1.121744e-03
4.307230e-01,7.199742e-01,6.272053e-03,1.663581e-08,6.349059e-02,1.427866e-01,1.917155e-21,9.130515e-07,6.480383e-02,1.492620e-04,8.185505e-02,3.933608e-05,9.151065e+02,3.275213e-01,6.349059e-02,1.787125e-02,1.201024e-04,4.031055e-03,1.134656e-03
4.346131e-01,7.194820e-01,6.367658e-03,1.651808e-08,6.356423e-02,1.424256e-01,1.905582e-21,9.088486e-07,6.548510e-02,1.495730e-04,8.206654e-02,3.931532e-05,9.147224e+02,3.271541e-01,6.356423e-02,1.789904e-02,1.201737e-04,4.040411e-03,1.137739e-03
4.380816e-01,7.190396e-01,6.455255e-03,1.631296e-08,6.360094e-02,1.421297e-01,1.865900e-21,8.998123e-07,6.609759e-02,1.496565e-04,8.223799e-02,3.928899e-05,9.141164e+02,3.269179e-01,6.360094e-02,1.781220e-02,1.201800e-04,4.045080e-03,1.132873e-03
4.411205e-01,7.186492e-01,6.533817e-03,1.605938e-08,6.361084e-02,1.418906e-01,1.809947e-21,8.879621e-07,6.663807e-02,1.495797e-04,8.237496e-02,3.925992e-05,9.133836e+02,3.267806e-01,6.361084e-02,1.765170e-02,1.201415e-04,4.046339e-03,1.122839e-03
4.438651e-01,7.182945e-01,6.606212e-03,1.577484e-08,6.360210e-02,1.416905e-01,1.744173e-21,8.742773e-07,6.712927e-02,1.493905e-04,8.248809e-02,3.922893e-05,9.125623e+02,3.267119e-01,6.360210e-02,1.744174e-02,1.200719e-04,4.045227e-03,1.109331e-03
4.463731e-01,7.179685e-01,6.673548e-03,1.547218e-08,6.357964e-02,1.415207e-01,1.673088e-21,8.594618e-07,6.758061e-02,1.491194e-04,8.258276e-02,3.919674e-05,9.116816e+02,3.266943e-01,6.357964e-02,1.719879e-02,1.199799e-04,4.042371e-03,1.093493e-03
4.487233e-01,7.176616e-01,6.737658e-03,1.515470e-08,6.354624e-02,1.413727e-01,1.598462e-21,8.437268e-07,6.800567e-02,1.487813e-04,8.266399e-02,3.916327e-05,9.107457e+02,3.267162e-01,6.354624e-02,1.692961e-02,1.198694e-04,4.038125e-03,1.075813e-03
4.509801e-01,7.173655e-01,6.800123e-03,1.482188e-08,6.350312e-02,1.412406e-01,1.520878e-21,8.270730e-07,6.841571e-02,1.483813e-04,8.273526e-02,3.912819e-05,9.097482e+02,3.267718e-01,6.350312e-02,1.663599e-02,1.197416e-04,4.032646e-03,1.056437e-03
4.531342e-01,7.170816e-01,6.860558e-03,1.448130e-08,6.345206e-02,1.411234e-01,1.442637e-21,8.098976e-07,6.880880e-02,1.479317e-04,8.279722e-02,3.909208e-05,9.087079e+02,3.268558e-01,6.345206e-02,1.632619e-02,1.196004e-04,4.026164e-03,1.035930e-03
4.552313e-01,7.168042e-01,6.920141e-03,1.413069e-08,6.339324e-02,1.410175e-01,1.363641e-21,7.921002e-07,6.919303e-02,1.474316e-04,8.285192e-02,3.905449e-05,9.076142e+02,3.269660e-01,6.339324e-02,1.599931e-02,1.194451e-04,4.018703e-03,1.014248e-03
4.573066e-01,7.165286e-01,6.979815e-03,1.376759e-08,6.332637e-02,1.409205e-01,1.283732e-21,7.735618e-07,6.957474e-02,1.468774e-04,8.290068e-02,3.901501e-05,9.064552e+02,3.271023e-01,6.332637e-02,1.565368e-02,1.192746e-04,4.010229e-03,9.912907e-04
4.593579e-01,7.162552e-01,7.039477e-03,1.339520e-08,6.325201e-02,1.408321e-01,1.203976e-21,7.544491e-07,6.995343e-02,1.462727e-04,8.294370e-02,3.897379e-05,9.052367e+02,3.272630e-01,6.325201e-02,1.529278e-02,1.190901e-04,4.000817e-03,9.672991e-04
4.613955e-01,7.159827e-01,7.099395e-03,1.301420e-08,6.317021e-02,1.407514e-01,1.124830e-21,7.347996e-07,7.033094e-02,1.456174e-04,8.298145e-02,3.893075e-05,9.039563e+02,3.274477e-01,6.317021e-02,1.491764e-02,1.188915e-04,3.990475e-03,9.423505e-04
4.634243e-01,7.157105e-01,7.159682e-03,1.262599e-08,6.308111e-02,1.406779e-01,1.046857e-21,7.146878e-07,7.070810e-02,1.449121e-04,8.301418e-02,3.888587e-05,9.026144e+02,3.276558e-01,6.308111e-02,1.452993e-02,1.186790e-04,3.979226e-03,9.165641e-04
4.654489e-01,7.154379e-01,7.220454e-03,1.223177e-08,6.298480e-02,1.406113e-01,9.705308e-22,6.941775e-07,7.108574e-02,1.441569e-04,8.304212e-02,3.883913e-05,9.012104e+02,3.278872e-01,6.298480e-02,1.413113e-02,1.184527e-04,3.967085e-03,8.900464e-04
4.674735e-01,7.151645e-01,7.281817e-03,1.183268e-08,6.288130e-02,1.405512e-01,8.962627e-22,6.733294e-07,7.146458e-02,1.433517e-04,8.306544e-02,3.879050e-05,8.997438e+02,3.281415e-01,6.288130e-02,1.372263e-02,1.182127e-04,3.954058e-03,8.628968e-04
4.694994e-01,7.148900e-01,7.343794e-03,1.143030e-08,6.277076e-02,1.404973e-01,8.244940e-22,6.522266e-07,7.184483e-02,1.424974e-04,8.308425e-02,3.874001e-05,8.982157e+02,3.284184e-01,6.277076e-02,1.330624e-02,1.179593e-04,3.940168e-03,8.352428e-04
4.715280e-01,7.146144e-01,7.406410e-03,1.102607e-08,6.265332e-02,1.404494e-01,7.555814e-22,6.309458e-07,7.222672e-02,1.415945e-04,8.309866e-02,3.868767e-05,8.966269e+02,3.287177e-01,6.265332e-02,1.288366e-02,1.176927e-04,3.925439e-03,8.072041e-04
4.735621e-01,7.143373e-01,7.469737e-03,1.062103e-08,6.252899e-02,1.404074e-01,6.897632e-22,6.095434e-07,7.261074e-02,1.406429e-04,8.310878e-02,3.863346e-05,8.949771e+02,3.290392e-01,6.252899e-02,1.245620e-02,1.174129e-04,3.909875e-03,7.788736e-04
4.756046e-01,7.140583e-01,7.533852e-03,1.021613e-08,6.239776e-02,1.403709e-01,6.272146e-22,5.880696e-07,7.299742e-02,1.396420e-04,8.311468e-02,3.857735e-05,8.932655e+02,3.293830e-01,6.239776e-02,1.202502e-02,1.171200e-04,3.893480e-03,7.503343e-04
4.776605e-01,7.137768e-01,7.598903e-03,9.811788e-09,6.225944e-02,1.403398e-01,5.680015e-22,5.665484e-07,7.338768e-02,1.385902e-04,8.311643e-02,3.851924e-05,8.914892e+02,3.297498e-01,6.225944e-02,1.159076e-02,1.168135e-04,3.876238e-03,7.216342e-04
4.797360e-01,7.134918e-01,7.665075e-03,9.408176e-09,6.211371e-02,1.403139e-01,5.121290e-22,5.449887e-07,7.378266e-02,1.374846e-04,8.311406e-02,3.845898e-05,8.896440e+02,3.301405e-01,6.211371e-02,1.115373e-02,1.164928e-04,3.858113e-03,6.927996e-04
4.818361e-01,7.132028e-01,7.732527e-03,9.005650e-09,6.196025e-02,1.402931e-01,4.596148e-22,5.234098e-07,7.418333e-02,1.363228e-04,8.310754e-02,3.839643e-05,8.877260e+02,3.305562e-01,6.196025e-02,1.071446e-02,1.161570e-04,3.839073e-03,6.638706e-04
4.839683e-01,7.129087e-01,7.801500e-03,8.604103e-09,6.179854e-02,1.402774e-01,4.104027e-22,5.018056e-07,7.459112e-02,1.351003e-04,8.309682e-02,3.833138e-05,8.857285e+02,3.309984e-01,6.179854e-02,1.027293e-02,1.158053e-04,3.819060e-03,6.348521e-04
4.861381e-01,7.126087e-01,7.872171e-03,8.203862e-09,6.162812e-02,1.402667e-01,3.644816e-22,4.801929e-07,7.500706e-02,1.338137e-04,8.308179e-02,3.826366e-05,8.836465e+02,3.314687e-01,6.162812e-02,9.829605e-03,1.154367e-04,3.798025e-03,6.057801e-04
4.883543e-01,7.123016e-01,7.944833e-03,7.804696e-09,6.144823e-02,1.402610e-01,3.217658e-22,4.585581e-07,7.543286e-02,1.324573e-04,8.306230e-02,3.819296e-05,8.814712e+02,3.319695e-01,6.144823e-02,9.384302e-03,1.150496e-04,3.775885e-03,5.766487e-04
4.906224e-01,7.119867e-01,8.019678e-03,7.407059e-09,6.125833e-02,1.402604e-01,2.822370e-22,4.369241e-07,7.586961e-02,1.310267e-04,8.303817e-02,3.811910e-05,8.791964e+02,3.325026e-01,6.125833e-02,8.937594e-03,1.146430e-04,3.752583e-03,5.475021e-04
4.929520e-01,7.116626e-01,8.097032e-03,7.010819e-09,6.105746e-02,1.402651e-01,2.458055e-22,4.152818e-07,7.631917e-02,1.295152e-04,8.300915e-02,3.804171e-05,8.768118e+02,3.330712e-01,6.105746e-02,8.489388e-03,1.142149e-04,3.728013e-03,5.183405e-04
4.953537e-01,7.113278e-01,8.177262e-03,6.615830e-09,6.084454e-02,1.402752e-01,2.123793e-22,3.936204e-07,7.678361e-02,1.279149e-04,8.297488e-02,3.796041e-05,8.743053e+02,3.336789e-01,6.084454e-02,8.039565e-03,1.137633e-04,3.702058e-03,4.891636e-04
4.978318e-01,7.109817e-01,8.260527e-03,6.223169e-09,6.061897e-02,1.402909e-01,1.819550e-22,3.719958e-07,7.726378e-02,1.262221e-04,8.293510e-02,3.787500e-05,8.716710e+02,3.343279e-01,6.061897e-02,7.589389e-03,1.132870e-04,3.674660e-03,4.600609e-04
5.004027e-01,7.106220e-01,8.347403e-03,5.832143e-09,6.037900e-02,1.403127e-01,1.543758e-22,3.503663e-07,7.776294e-02,1.244249e-04,8.288927e-02,3.778483e-05,8.688897e+02,3.350239e-01,6.037900e-02,7.138105e-03,1.127825e-04,3.645624e-03,4.309916e-04
5.030687e-01,7.102482e-01,8.437989e-03,5.444475e-09,6.012415e-02,1.403407e-01,1.296451e-22,3.288229e-07,7.828156e-02,1.225214e-04,8.283705e-02,3.768977e-05,8.659572e+02,3.357691e-01,6.012415e-02,6.687739e-03,1.122491e-04,3.614913e-03,4.020946e-04
5.058377e-01,7.098594e-01,8.532571e-03,5.061150e-09,5.985341e-02,1.403752e-01,1.076768e-22,3.074162e-07,7.882123e-02,1.205065e-04,8.277799e-02,3.758947e-05,8.628633e+02,3.365674e-01,5.985341e-02,6.239494e-03,1.116848e-04,3.582431e-03,3.734550e-04
5.087379e-01,7.094515e-01,8.632141e-03,4.680695e-09,5.956370e-02,1.404170e-01,8.824059e-23,2.860586e-07,7.938748e-02,1.183609e-04,8.271111e-02,3.748282e-05,8.595742e+02,3.374287e-01,5.956370e-02,5.791697e-03,1.110837e-04,3.547834e-03,3.449749e-04
5.117697e-01,7.090244e-01,8.736744e-03,4.305725e-09,5.925461e-02,1.404664e-01,7.131178e-23,2.648906e-07,7.998048e-02,1.160867e-04,8.263600e-02,3.736972e-05,8.560873e+02,3.383557e-01,5.925461e-02,5.347474e-03,1.104451e-04,3.511109e-03,3.168625e-04
5.149336e-01,7.085780e-01,8.846419e-03,3.938759e-09,5.892579e-02,1.405237e-01,5.680194e-23,2.440493e-07,8.060036e-02,1.136883e-04,8.255224e-02,3.725006e-05,8.524005e+02,3.393506e-01,5.892579e-02,4.909914e-03,1.097687e-04,3.472249e-03,2.893206e-04
