Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
8.649241e-03,1.532344e-24,7.672275e-01,1.463530e-11,2.214436e-06,1.000000e-60,5.041926e-07,7.576264e-07,4.442405e-03,2.138127e-07,9.137948e-07,2.282178e-01,4.521210e-25,3.320358e-20,2.257171e-19,2.291659e-15,1.569612e-11,6.530471e-20,4.737535e-16,1.204603e-18,1.091673e-17,4.824700e-19,7.568005e-05,3.503378e-08,8.823240e-06,6.761829e-09,4.192091e-14,1.616330e-05,2.437677e-13,2.510764e-14,1.080580e-13,2.847906e-10,3.690425e-06,6.741366e-10,3.294857e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.876523e+01,8.649241e-03,1.164573e+00,2.838253e-02,1.019527e+03,2.783893e-05,2.077611e-05,-0.000000e+00,1.344077e-03,-0.000000e+00,-1.063914e-06,4.444619e-03,1.343013e-03,-1.363135e-02,1.107712e-03,-1.473906e-02,-1.947549e+02,-8.777212e+03,1.478891e+05,3.479339e+02,1.007520e+00,4.442405e-03,1.344077e-03,2.062104e-05,1.973496e-05,5.970934e-06
1.690765e-02,2.989415e-24,7.673321e-01,1.166793e-10,4.328935e-06,1.000000e-60,1.213655e-06,2.555599e-06,8.683910e-03,6.113089e-07,1.769291e-06,2.237641e-01,2.318022e-23,4.017335e-19,1.961876e-17,2.745107e-14,3.061973e-11,2.330853e-18,9.455086e-16,2.379428e-18,2.202190e-17,1.023874e-18,1.495625e-04,6.848447e-08,1.708363e-05,1.400852e-08,1.256439e-13,2.977871e-05,5.637017e-13,5.033895e-14,2.175763e-13,6.180595e-10,6.855575e-06,1.834024e-09,6.051551e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.867923e+01,1.690765e-02,3.713280e+00,3.158097e-02,1.030228e+03,3.065434e-05,2.291583e-05,-0.000000e+00,6.385048e-03,-0.000000e+00,-1.232653e-05,8.688239e-03,6.372721e-03,-4.710623e-02,3.725993e-03,-5.083223e-02,-3.398728e+02,-1.271460e+04,5.469114e+05,3.991465e+02,8.756244e-01,8.683910e-03,6.385048e-03,2.617084e-05,7.541029e-05,5.544718e-05
2.456807e-02,4.360926e-24,7.674292e-01,4.568307e-10,6.290786e-06,1.000000e-60,2.133041e-06,5.488211e-06,1.261805e-02,1.213241e-06,2.535979e-06,2.196325e-01,3.175383e-22,2.593204e-18,2.565554e-16,1.147127e-13,4.438103e-11,2.612737e-17,1.406405e-15,3.581719e-18,3.311032e-17,1.593090e-18,2.198619e-04,9.951301e-08,2.452011e-05,2.166531e-08,2.726803e-13,4.052030e-05,9.514952e-13,7.507137e-14,3.255640e-13,1.034069e-09,9.364281e-06,3.355241e-09,8.163104e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.859986e+01,2.456807e-02,7.005779e+00,3.442479e-02,1.040996e+03,3.306909e-05,2.476149e-05,-0.000000e+00,1.569634e-02,-0.000000e+00,-5.706475e-05,1.262434e-02,1.563927e-02,-8.717739e-02,7.367740e-03,-9.454513e-02,-4.300206e+02,-1.636792e+04,1.097055e+06,4.459562e+02,7.815454e-01,1.261805e-02,1.569634e-02,3.168273e-05,1.592152e-04,1.980572e-04
3.167824e-02,5.611172e-24,7.675193e-01,1.290899e-09,8.112811e-06,1.000000e-60,3.271428e-06,9.479691e-06,1.626930e-02,2.028334e-06,3.215035e-06,2.157974e-01,2.280770e-21,1.102481e-17,1.196246e-15,2.795653e-13,5.709500e-11,1.614310e-16,1.860363e-15,4.834400e-18,4.431588e-17,2.185507e-18,2.867838e-04,1.283128e-07,3.109800e-05,2.994055e-08,5.059290e-13,4.882196e-05,1.399701e-12,9.943593e-14,4.303264e-13,1.576538e-09,1.127363e-05,5.103214e-09,9.708359e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.852651e+01,3.167824e-02,1.070463e+01,3.698807e-02,1.051745e+03,3.516828e-05,2.637512e-05,-0.000000e+00,2.939860e-02,-0.000000e+00,-1.697433e-04,1.627741e-02,2.922886e-02,-1.264454e-01,1.202719e-02,-1.384726e-01,-4.828466e+02,-1.975946e+04,1.742610e+06,4.887823e+02,7.112395e-01,1.626930e-02,2.939860e-02,3.708332e-05,2.646901e-04,4.782946e-04
3.840334e-02,6.817955e-24,7.676045e-01,3.044457e-09,9.838237e-06,1.000000e-60,4.662220e-06,1.449175e-05,1.972245e-02,3.074232e-06,3.821829e-06,2.121697e-01,1.132616e-20,3.638274e-17,3.621977e-15,5.288622e-13,6.909494e-11,7.041089e-16,2.319314e-15,6.168129e-18,5.596188e-17,2.816325e-18,3.516267e-04,1.555528e-07,3.688691e-05,3.919793e-08,8.508806e-13,5.524986e-05,1.909994e-12,1.241005e-13,5.317483e-13,2.306636e-09,1.269423e-05,6.991262e-09,1.080847e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.845743e+01,3.840334e-02,1.467683e+01,3.936277e-02,1.062573e+03,3.704476e-05,2.782562e-05,-0.000000e+00,4.799859e-02,-0.000000e+00,-3.934009e-04,1.973229e-02,4.760518e-02,-1.629484e-01,1.805044e-02,-1.809988e-01,-5.147471e+02,-2.296763e+04,2.489394e+06,5.287208e+02,6.559216e-01,1.972245e-02,4.799859e-02,4.242217e-05,3.889750e-04,9.466498e-04
4.489411e-02,7.982547e-24,7.676868e-01,6.430252e-09,1.150704e-05,1.000000e-60,6.360546e-06,2.055720e-05,2.305485e-02,4.377023e-06,4.370120e-06,2.086679e-01,4.470918e-20,1.037731e-16,9.112199e-15,8.730438e-13,8.068257e-11,2.460249e-15,2.796708e-15,7.623797e-18,6.839736e-17,3.510749e-18,4.156621e-04,1.818437e-07,4.193054e-05,4.985627e-08,1.336366e-12,6.022518e-05,2.489662e-12,1.499136e-13,6.300250e-13,3.311866e-09,1.371532e-05,8.961573e-09,1.155834e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.839102e+01,4.489411e-02,1.894004e+01,4.162025e-02,1.073603e+03,3.876689e-05,2.916403e-05,-0.000000e+00,7.253693e-02,-0.000000e+00,-7.812510e-04,2.306635e-02,7.175568e-02,-1.965805e-01,2.609026e-02,-2.226708e-01,-5.357015e+02,-2.606407e+04,3.379057e+06,5.667301e+02,6.105023e-01,2.305485e-02,7.253693e-02,4.777055e-05,5.315261e-04,1.672328e-03
5.125107e-02,9.123132e-24,7.677673e-01,1.260899e-08,1.314697e-05,1.000000e-60,8.436777e-06,2.774912e-05,2.631803e-02,5.961528e-06,4.868372e-06,2.052378e-01,1.510549e-19,2.705110e-16,2.100401e-14,1.326227e-12,9.206804e-11,7.372075e-15,3.305410e-15,9.251291e-18,8.193007e-17,4.300657e-18,4.797658e-04,2.075925e-07,4.621790e-05,6.233867e-08,1.992149e-12,6.402267e-05,3.147257e-12,1.777962e-13,7.250165e-13,4.715886e-09,1.439837e-05,1.096112e-08,1.202385e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.832622e+01,5.125107e-02,2.339160e+01,4.380594e-02,1.084912e+03,4.037743e-05,3.042227e-05,-0.000000e+00,1.044823e-01,-0.000000e+00,-1.398337e-03,2.633118e-02,1.030840e-01,-2.273134e-01,3.711310e-02,-2.644265e-01,-5.511574e+02,-2.909664e+04,4.472882e+06,6.034338e+02,5.720600e-01,2.631803e-02,1.044823e-01,5.318021e-05,6.926387e-04,2.749768e-03
5.753675e-02,1.025093e-23,7.678470e-01,2.341648e-08,1.477681e-05,1.000000e-60,1.097889e-05,3.617407e-05,2.954401e-02,7.845594e-06,5.321060e-06,2.018455e-01,4.557978e-19,6.643199e-16,4.624242e-14,1.906070e-12,1.033959e-10,1.970981e-14,3.858871e-15,1.111438e-17,9.683372e-17,5.227564e-18,5.445008e-04,2.330525e-07,4.969969e-05,7.707134e-08,2.847632e-12,6.682078e-05,3.891532e-12,2.088126e-13,8.162922e-13,6.696427e-09,1.478600e-05,1.293469e-08,1.225144e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.826238e+01,5.753675e-02,2.809093e+01,4.594764e-02,1.096528e+03,4.190282e-05,3.161990e-05,-0.000000e+00,1.457155e-01,-0.000000e+00,-2.323212e-03,2.955879e-02,1.433923e-01,-2.547096e-01,5.244629e-02,-3.071559e-01,-5.641055e+02,-3.209508e+04,5.849166e+06,6.392101e+02,5.388249e-01,2.954401e-02,1.457155e-01,5.868307e-05,8.728485e-04,4.305020e-03
6.379427e-02,1.137367e-23,7.679263e-01,4.164161e-08,1.641139e-05,1.000000e-60,1.409647e-05,4.597261e-05,3.275478e-02,1.003397e-05,5.730704e-06,1.984678e-01,1.260183e-18,1.561376e-15,9.883165e-14,2.633809e-12,1.147810e-10,4.816505e-14,4.472903e-15,1.329792e-17,1.133596e-16,6.347791e-18,6.102666e-04,2.583983e-07,5.231505e-05,9.447170e-08,3.930097e-12,6.874606e-05,4.730990e-12,2.442533e-13,9.033428e-13,9.505099e-09,1.491128e-05,1.482394e-08,1.227682e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.819905e+01,6.379427e-02,3.303233e+01,4.806372e-02,1.108456e+03,4.336094e-05,3.277001e-05,-0.000000e+00,1.985299e-01,-0.000000e+00,-3.650459e-03,3.277119e-02,1.948794e-01,-2.777213e-01,7.377289e-02,-3.514942e-01,-5.759683e+02,-3.507993e+04,7.600753e+06,6.743110e+02,5.096322e-01,3.275478e-02,1.985299e-01,6.430129e-05,1.072876e-03,6.502803e-03
