Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
1.292183e-02,1.000000e-60,7.657132e-01,7.330997e-25,2.067672e-04,1.000000e-60,2.504799e-28,3.481629e-20,1.822513e-03,2.279406e-18,3.335203e-06,2.302324e-01,9.375562e-36,2.773531e-33,2.422271e-30,1.410898e-18,1.891609e-03,1.025446e-25,1.588979e-10,1.670408e-19,9.200665e-09,2.642449e-31,2.779067e-06,1.172380e-04,5.368727e-06,5.633712e-13,1.702926e-29,4.764070e-06,1.417579e-15,9.748056e-20,9.351439e-09,3.214231e-10,3.141361e-09,3.401513e-18,4.345233e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.870265e+01,1.292183e-02,5.460212e-05,2.661348e-02,1.018248e+03,2.613655e-05,1.935394e-05,-0.000000e+00,3.323079e-15,-0.000000e+00,-4.897131e-16,2.029280e-03,2.833366e-15,-1.095520e-11,2.307776e-14,-1.097828e-11,-3.950346e-06,-1.081452e+04,2.113654e-05,3.163353e+02,1.105750e+00,1.822513e-03,3.323079e-15,1.750300e-05,3.321554e-06,6.056355e-18
2.568305e-02,1.000000e-60,7.643260e-01,1.323246e-23,4.109646e-04,1.000000e-60,1.198129e-26,1.832182e-19,3.622374e-03,1.427237e-17,6.628953e-06,2.276156e-01,2.731279e-35,1.468774e-33,1.178656e-28,9.770665e-18,3.759709e-03,1.528502e-24,3.158232e-10,7.596074e-19,1.828702e-08,3.719300e-30,5.523653e-06,2.330188e-04,1.067064e-05,1.196302e-12,4.477339e-28,9.468928e-06,6.830321e-15,3.474202e-19,1.858665e-08,6.388331e-10,6.243678e-09,7.232052e-18,8.636460e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.855299e+01,2.568305e-02,1.760981e-04,2.835321e-02,1.027485e+03,2.759477e-05,2.031729e-05,-0.000000e+00,3.779967e-14,-0.000000e+00,-5.180944e-15,4.033338e-03,3.261873e-14,-3.508972e-11,1.775887e-13,-3.526731e-11,-6.384779e-06,-1.689770e+04,6.900384e-05,3.385416e+02,1.027832e+00,3.622374e-03,3.779967e-14,1.976713e-05,1.312159e-05,1.369245e-16
3.811183e-02,1.000000e-60,7.629749e-01,1.181576e-22,6.098423e-04,1.000000e-60,2.853758e-25,7.264661e-19,5.375346e-03,6.759961e-17,9.836895e-06,2.250670e-01,1.108331e-35,3.200203e-33,2.261393e-27,4.286307e-17,5.579141e-03,1.058963e-23,4.686692e-10,2.299121e-18,2.713680e-08,2.923767e-29,8.196799e-06,3.457833e-04,1.583433e-05,1.948965e-12,4.532322e-27,1.405122e-05,2.222050e-14,9.880437e-19,2.758127e-08,9.479142e-10,9.265173e-09,1.138066e-17,1.281589e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.840872e+01,3.811183e-02,3.384650e-04,3.002576e-02,1.036764e+03,2.896104e-05,2.121092e-05,-0.000000e+00,2.145611e-13,-0.000000e+00,-2.635528e-14,5.985188e-03,1.882058e-13,-6.390649e-11,7.537443e-13,-6.466023e-11,-7.888474e-06,-2.282243e+04,1.308928e-04,3.598392e+02,9.621124e-01,5.375346e-03,2.145611e-13,2.204620e-05,2.889434e-05,1.153340e-15
5.011801e-02,1.000000e-60,7.616697e-01,7.154571e-22,8.019579e-04,1.000000e-60,4.200174e-24,2.346861e-18,7.068714e-03,2.590345e-16,1.293576e-05,2.226051e-01,1.265823e-36,1.453835e-33,2.525927e-26,1.443657e-16,7.336710e-03,4.924884e-23,6.163433e-10,5.598569e-18,3.568605e-08,1.599664e-28,1.077911e-05,4.547138e-04,2.082236e-05,2.876923e-12,2.854620e-26,1.847770e-05,5.834703e-14,2.428205e-18,3.627006e-08,1.246332e-09,1.218393e-08,1.582280e-17,1.685321e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.827074e+01,5.011801e-02,5.274660e-04,3.162472e-02,1.045980e+03,3.023454e-05,2.203653e-05,-0.000000e+00,8.545826e-13,-0.000000e+00,-9.324342e-14,7.870672e-03,7.613392e-13,-9.283469e-11,2.451281e-12,-9.528597e-11,-8.839872e-06,-2.854571e+04,2.062160e-04,3.801038e+02,9.063950e-01,7.068714e-03,8.545826e-13,2.431228e-05,4.996672e-05,6.040800e-15
6.171452e-02,1.000000e-60,7.604091e-01,3.341402e-21,9.875183e-04,1.000000e-60,4.292776e-23,6.499997e-18,8.704302e-03,8.421406e-16,1.592889e-05,2.202271e-01,1.074924e-34,1.154079e-32,1.943629e-25,4.058883e-16,9.034308e-03,1.771753e-22,7.590382e-10,1.180813e-17,4.394442e-08,6.959147e-28,1.327337e-05,5.599273e-04,2.564012e-05,4.034777e-12,1.334850e-25,2.275314e-05,1.328666e-13,5.361666e-18,4.466238e-08,1.534245e-09,1.500308e-08,2.087667e-17,2.075276e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.813873e+01,6.171452e-02,7.319461e-04,3.315631e-02,1.055107e+03,3.142460e-05,2.280209e-05,-0.000000e+00,2.716502e-12,-0.000000e+00,-2.628806e-13,9.691821e-03,2.453621e-12,-1.193328e-10,6.763875e-12,-1.260966e-10,-9.499975e-06,-3.407370e+04,3.066694e-04,3.993896e+02,8.585988e-01,8.704302e-03,2.716502e-12,2.655733e-05,7.576487e-05,2.364525e-14
7.295603e-02,1.000000e-60,7.591870e-01,1.292933e-20,1.167398e-03,1.000000e-60,3.304258e-22,1.598434e-17,1.028982e-02,2.403873e-15,1.883040e-05,2.179220e-01,9.719568e-38,8.993945e-32,1.138631e-24,1.000999e-15,1.067994e-02,5.324188e-22,8.974892e-10,2.246694e-17,5.195164e-08,2.559368e-27,1.569131e-05,6.619200e-04,3.031032e-05,5.472662e-12,5.071357e-25,2.689770e-05,2.733716e-13,1.090980e-17,5.279778e-08,1.812792e-09,1.773592e-08,2.789797e-17,2.453291e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.801193e+01,7.295603e-02,9.481177e-04,3.463108e-02,1.064157e+03,3.254321e-05,2.351678e-05,-0.000000e+00,7.374402e-12,-0.000000e+00,-6.342086e-13,1.145722e-02,6.740193e-12,-1.414597e-10,1.659283e-11,-1.580526e-10,-1.007262e-05,-3.943246e+04,4.592780e-04,4.178167e+02,8.170334e-01,1.028982e-02,7.374402e-12,2.878313e-05,1.058804e-04,7.588127e-14
8.390571e-02,1.000000e-60,7.579967e-01,4.338169e-20,1.342608e-03,1.000000e-60,2.030675e-21,3.579689e-17,1.183418e-02,6.179936e-15,2.165658e-05,2.156767e-01,4.712089e-36,3.165660e-32,5.425257e-24,2.237364e-15,1.228285e-02,1.401720e-21,1.032581e-09,3.956350e-17,5.975402e-08,8.308344e-27,1.804653e-05,7.612649e-04,3.485922e-05,7.239765e-12,1.651703e-24,3.093466e-05,5.218151e-13,2.083684e-17,6.072199e-08,2.083496e-09,2.039778e-08,4.105601e-17,2.821490e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.788952e+01,8.390571e-02,1.172052e-03,3.605980e-02,1.073157e+03,3.360160e-05,2.418895e-05,-0.000000e+00,1.781554e-11,-0.000000e+00,-1.367269e-12,1.317679e-02,1.644827e-11,-1.569197e-10,3.719033e-11,-1.941100e-10,-1.075608e-05,-4.465210e+04,7.140067e-04,4.355131e+02,7.804092e-01,1.183418e-02,1.781554e-11,3.099521e-05,1.400478e-04,2.108323e-13
9.462854e-02,1.000000e-60,7.568311e-01,1.305412e-19,1.514188e-03,1.000000e-60,1.042930e-20,7.460515e-17,1.334654e-02,1.461987e-14,2.442420e-05,2.134779e-01,7.670060e-35,7.385280e-33,2.204568e-23,4.641700e-15,1.385255e-02,3.341726e-21,1.165285e-09,6.562240e-17,6.739995e-08,2.462564e-26,2.035300e-05,8.585516e-04,3.931382e-05,9.405610e-12,4.787180e-24,3.488797e-05,9.424660e-13,3.800052e-17,6.848203e-08,2.348900e-09,2.300444e-08,7.128091e-17,3.182054e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.777068e+01,9.462854e-02,1.402531e-03,3.745276e-02,1.082142e+03,3.460985e-05,2.482587e-05,-0.000000e+00,3.941447e-11,-0.000000e+00,-2.712156e-12,1.486073e-02,3.670232e-11,-1.623124e-10,7.768654e-11,-2.399989e-10,-1.179182e-05,-4.976359e+04,1.159039e-03,4.526031e+02,7.477416e-01,1.334654e-02,3.941447e-11,3.320114e-05,1.781301e-04,5.260468e-13
1.051833e-01,1.000000e-60,7.556837e-01,3.627388e-19,1.683079e-03,1.000000e-60,4.655000e-20,1.479666e-16,1.483520e-02,3.249676e-14,2.714845e-05,2.113136e-01,1.000000e-60,1.146767e-32,7.925974e-23,9.116431e-15,1.539764e-02,7.401108e-21,1.296593e-09,1.038043e-16,7.493453e-08,6.896228e-26,2.262335e-05,9.543133e-04,4.369856e-05,1.210742e-11,1.273364e-23,3.877930e-05,1.638783e-12,6.748504e-17,7.612043e-08,2.614579e-09,2.557015e-08,1.441524e-16,3.536956e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.765468e+01,1.051833e-01,1.637323e-03,3.881895e-02,1.091144e+03,3.557637e-05,2.543356e-05,-0.000000e+00,8.171208e-11,-0.000000e+00,-5.057353e-12,1.651828e-02,7.665472e-11,-1.522177e-10,1.538737e-10,-3.060914e-10,-1.352989e-05,-5.479495e+04,1.949633e-03,4.691952e+02,7.182865e-01,1.483520e-02,8.171208e-11,3.540866e-05,2.200832e-04,1.212215e-12
