Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
1.274103e-02,1.228997e-22,7.657317e-01,5.229506e-28,2.851920e-04,1.000000e-60,1.016888e-31,2.419591e-23,1.087725e-03,7.924357e-21,2.550919e-09,2.309001e-01,3.879614e-37,2.130031e-36,5.219926e-33,6.305118e-21,1.855694e-03,6.795229e-29,6.454624e-20,6.011718e-35,5.118581e-24,3.634210e-38,4.646751e-07,1.333029e-04,4.574409e-06,7.885025e-16,2.356413e-33,1.245232e-06,6.328613e-18,9.380658e-26,9.693955e-12,5.791962e-12,1.748324e-09,2.786860e-18,8.789050e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.868813e+01,1.274103e-02,2.589826e-09,2.605984e-02,1.017460e+03,2.561266e-05,1.890854e-05,-0.000000e+00,1.880432e-17,-0.000000e+00,-2.621751e-21,1.372917e-03,1.880170e-17,-3.487584e-13,5.876851e-17,-3.488172e-13,-7.506691e-07,-1.072885e+04,6.657455e-07,3.065896e+02,1.140322e+00,1.087725e-03,1.880432e-17,1.658175e-05,1.183146e-06,2.045393e-20
2.535257e-02,2.445505e-22,7.643595e-01,3.696455e-27,5.674856e-04,1.000000e-60,1.001983e-30,6.004230e-23,2.164395e-03,2.111371e-20,5.075914e-09,2.289383e-01,1.000000e-60,1.000000e-60,6.524653e-32,1.783775e-20,3.692529e-03,4.204507e-28,1.303293e-19,3.401117e-34,1.041096e-23,1.000000e-60,9.623865e-07,2.652511e-04,9.044439e-06,1.430891e-15,2.854928e-32,2.477813e-06,1.459232e-17,1.830762e-25,1.928939e-11,1.152614e-11,3.478871e-09,5.712764e-18,1.748325e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.852408e+01,2.535257e-02,8.376217e-09,2.727938e-02,1.025777e+03,2.659386e-05,1.946384e-05,-0.000000e+00,1.548757e-16,-0.000000e+00,-1.639580e-20,2.731881e-03,1.548593e-16,-1.299308e-12,3.895380e-16,-1.299697e-12,-1.350494e-06,-1.674117e+04,2.484537e-06,3.193550e+02,1.088480e+00,2.164395e-03,1.548757e-16,1.788167e-05,4.684606e-06,3.352122e-19
3.773000e-02,3.639429e-22,7.630129e-01,1.526815e-26,8.445389e-04,1.000000e-60,7.019569e-30,1.277120e-22,3.221078e-03,4.868884e-20,7.554036e-09,2.270129e-01,1.246993e-36,1.204689e-34,4.055096e-31,3.639257e-20,5.495266e-03,1.396519e-27,1.997791e-19,1.630394e-33,1.614051e-23,3.493452e-35,1.494937e-06,3.947499e-04,1.336390e-05,1.940942e-15,1.542915e-31,3.687527e-06,2.480068e-17,3.151880e-25,2.870671e-11,1.715884e-11,5.177282e-09,8.717136e-18,2.600782e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.836488e+01,3.773000e-02,1.618134e-08,2.847255e-02,1.034077e+03,2.753427e-05,1.998911e-05,-0.000000e+00,6.913726e-16,-0.000000e+00,-6.352764e-20,4.065617e-03,6.913091e-16,-2.750391e-12,1.504485e-15,-2.751896e-12,-1.840811e-06,-2.264187e+04,5.267951e-06,3.317000e+02,1.042121e+00,3.221078e-03,6.913726e-16,1.918118e-05,1.037534e-05,2.226965e-18
4.982884e-02,4.806481e-22,7.616965e-01,4.940963e-26,1.115356e-03,1.000000e-60,3.923352e-29,2.459677e-22,4.253978e-03,1.013334e-19,9.976381e-09,2.251309e-01,2.707573e-38,5.758421e-36,1.791112e-30,6.400174e-20,7.257427e-03,3.530513e-27,2.785824e-19,6.954923e-33,2.284810e-23,2.706624e-35,2.063801e-06,5.213339e-04,1.751205e-05,2.349246e-15,5.898639e-31,4.870060e-06,3.703940e-17,5.042392e-25,3.791205e-11,2.268690e-11,6.837449e-09,1.176008e-17,3.432952e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.821098e+01,4.982884e-02,2.539499e-08,2.963572e-02,1.042312e+03,2.843268e-05,2.048496e-05,-0.000000e+00,2.312132e-15,-0.000000e+00,-1.948929e-19,5.369335e-03,2.311938e-15,-4.641028e-12,4.622641e-15,-4.645650e-12,-2.251017e-06,-2.840974e+04,8.903376e-06,3.435935e+02,1.000589e+00,4.253978e-03,2.312132e-15,2.047290e-05,1.809633e-05,9.835759e-18
6.165123e-02,5.946866e-22,7.604103e-01,1.408486e-25,1.379986e-03,1.000000e-60,1.899577e-28,4.448454e-22,5.263277e-03,1.967393e-19,1.234338e-08,2.232919e-01,1.948881e-38,6.691426e-36,6.417666e-30,1.038503e-19,8.979323e-03,7.679012e-27,3.779598e-19,2.644415e-32,3.154241e-23,9.462757e-35,2.671320e-06,6.450255e-04,2.148611e-05,2.702579e-15,1.888180e-30,6.025685e-06,5.188620e-17,7.745596e-25,4.690706e-11,2.817448e-11,8.459660e-09,1.483032e-17,4.244722e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.806219e+01,6.165123e-02,3.552126e-08,3.076960e-02,1.050468e+03,2.929132e-05,2.095373e-05,-0.000000e+00,6.439386e-15,-0.000000e+00,-5.277520e-19,6.643262e-03,6.438859e-15,-6.939668e-12,1.231851e-14,-6.951986e-12,-2.602454e-06,-3.404581e+04,1.333456e-05,3.550511e+02,9.631930e-01,5.263277e-03,6.439386e-15,2.175445e-05,2.770208e-05,3.389227e-17
7.322036e-02,7.062823e-22,7.591515e-01,3.828807e-25,1.638946e-03,1.000000e-60,8.515962e-28,7.845125e-22,6.250955e-03,3.697475e-19,1.465967e-08,2.214923e-01,3.152982e-38,1.000000e-60,2.020574e-29,1.628956e-19,1.066433e-02,1.543539e-26,5.191303e-19,9.176529e-32,4.408236e-23,6.755908e-36,3.320715e-06,7.660675e-04,2.529066e-05,3.080927e-15,5.600637e-30,7.156794e-06,7.125108e-17,1.182176e-24,5.570939e-11,3.382915e-11,1.004709e-08,1.795652e-17,5.037419e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.791810e+01,7.322036e-02,4.633948e-08,3.187684e-02,1.058548e+03,3.011373e-05,2.139830e-05,-0.000000e+00,1.573347e-14,-0.000000e+00,-1.363594e-18,7.889901e-03,1.573210e-14,-9.635970e-12,2.954469e-14,-9.665515e-12,-2.910672e-06,-3.956113e+04,1.854730e-05,3.661080e+02,9.293072e-01,6.250955e-03,1.573347e-14,2.302608e-05,3.907444e-05,9.834921e-17
8.456184e-02,8.156820e-22,7.579176e-01,1.056507e-24,1.892811e-03,1.000000e-60,3.751361e-27,1.412391e-21,7.219197e-03,7.039704e-19,1.693038e-08,2.197282e-01,1.677636e-38,1.346403e-36,5.980018e-29,2.588412e-19,1.231619e-02,3.045618e-26,7.425861e-19,3.037328e-31,6.396774e-23,6.537003e-35,4.015475e-06,8.847276e-04,2.893077e-05,3.632162e-15,1.656814e-29,8.266104e-06,1.003053e-16,1.871189e-24,6.433851e-11,4.017097e-11,1.160324e-08,2.123330e-17,5.812512e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.777828e+01,8.456184e-02,5.765134e-08,3.296020e-02,1.066559e+03,3.090332e-05,2.182129e-05,-0.000000e+00,3.478895e-14,-0.000000e+00,-3.568034e-18,9.112008e-03,3.478538e-14,-1.273184e-11,6.516321e-14,-1.279700e-11,-3.186921e-06,-4.496791e+04,2.455412e-05,3.768000e+02,8.984151e-01,7.219197e-03,3.478895e-14,2.428865e-05,5.211681e-05,2.511483e-16
9.568547e-02,9.229804e-22,7.567074e-01,3.052878e-24,2.141800e-03,1.000000e-60,1.674613e-26,2.715547e-21,8.168841e-03,1.419236e-18,1.915747e-08,2.179980e-01,1.000000e-60,1.000000e-60,1.767701e-28,4.368692e-19,1.393631e-02,6.234505e-26,1.128205e-18,1.008258e-30,9.803649e-23,3.287752e-34,4.758316e-06,1.001108e-03,3.240598e-05,4.628842e-15,5.073807e-29,9.354931e-06,1.515481e-16,3.206378e-24,7.280187e-11,4.826193e-11,1.312944e-08,2.486579e-17,6.570370e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.764250e+01,9.568547e-02,6.933086e-08,3.402087e-02,1.074497e+03,3.166214e-05,2.222447e-05,-0.000000e+00,7.101450e-14,-0.000000e+00,-9.708092e-18,1.031064e-02,7.100479e-14,-1.623110e-11,1.340588e-13,-1.636516e-11,-3.439275e-06,-5.027083e+04,3.137755e-05,3.871467e+02,8.701302e-01,8.168841e-03,7.101450e-14,2.554155e-05,6.672996e-05,5.801062e-16
1.065938e-01,1.028202e-21,7.555205e-01,9.147713e-24,2.385970e-03,1.000000e-60,7.508772e-26,5.687656e-21,9.100106e-03,3.088247e-18,2.134147e-08,2.163013e-01,2.542752e-38,1.300508e-35,5.425956e-28,8.066293e-19,1.552508e-02,1.370649e-25,1.839279e-18,3.474017e-30,1.602621e-22,9.653940e-34,5.551443e-06,1.115237e-03,3.571343e-05,6.552347e-15,1.598549e-28,1.042408e-05,2.527828e-16,6.060043e-24,8.110145e-11,5.979324e-11,1.462601e-08,2.924364e-17,7.310827e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.751062e+01,1.065938e-01,8.118509e-08,3.505931e-02,1.082356e+03,3.239167e-05,2.260919e-05,-0.000000e+00,1.357327e-13,-0.000000e+00,-2.714797e-17,1.148608e-02,1.357056e-13,-2.013533e-11,2.599997e-13,-2.039533e-11,-3.673879e-06,-5.547111e+04,3.904745e-05,3.971603e+02,8.441452e-01,9.100106e-03,1.357327e-13,2.678353e-05,8.281193e-05,1.235182e-15
1.172995e-01,1.131469e-21,7.543558e-01,2.753955e-23,2.625603e-03,1.000000e-60,3.283607e-25,1.274295e-20,1.001407e-02,7.125139e-18,2.348489e-08,2.146361e-01,1.000000e-60,1.000000e-60,1.731240e-27,1.618611e-18,1.708433e-02,3.226985e-25,3.218268e-18,1.241356e-29,2.806603e-22,3.753257e-33,6.397819e-06,1.227245e-03,3.885299e-05,1.021306e-14,5.031830e-28,1.147563e-05,4.619197e-16,1.239514e-23,8.924681e-11,7.672113e-11,1.609460e-08,3.504412e-17,8.034312e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.738241e+01,1.172995e-01,9.309279e-08,3.607689e-02,1.090137e+03,3.309389e-05,2.297700e-05,-0.000000e+00,2.457326e-13,-0.000000e+00,-7.578967e-17,1.263967e-02,2.456569e-13,-2.444614e-11,4.797723e-13,-2.492591e-11,-3.896002e-06,-6.057475e+04,4.761586e-05,4.068615e+02,8.201772e-01,1.001407e-02,2.457326e-13,2.801468e-05,1.002816e-04,2.460783e-15
1.278163e-01,1.232914e-21,7.532115e-01,8.090680e-23,2.861009e-03,1.000000e-60,1.363425e-24,2.938994e-20,1.091191e-02,1.679431e-17,2.559049e-08,2.130004e-01,1.442764e-39,8.575068e-34,5.583248e-27,3.411596e-18,1.861608e-02,7.884831e-25,5.983764e-18,4.469161e-29,5.263238e-22,1.466656e-32,7.300725e-06,1.337277e-03,4.182417e-05,1.691164e-14,1.539309e-27,1.251213e-05,8.928697e-16,2.638373e-23,9.724849e-11,1.005328e-10,1.753698e-08,4.335216e-17,8.741171e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.725763e+01,1.278163e-01,1.049818e-07,3.707507e-02,1.097845e+03,3.377077e-05,2.332933e-05,-0.000000e+00,4.253928e-13,-0.000000e+00,-2.059390e-16,1.377291e-02,4.251869e-13,-2.915932e-11,8.488558e-13,-3.000818e-11,-4.110301e-06,-6.558836e+04,5.716497e-05,4.162713e+02,7.979838e-01,1.091191e-02,4.253928e-13,2.923534e-05,1.190698e-04,4.641848e-15
1.381396e-01,1.332493e-21,7.520884e-01,2.276346e-22,3.092083e-03,1.000000e-60,5.284430e-24,6.738977e-20,1.179322e-02,3.909889e-17,2.765736e-08,2.113948e-01,1.000000e-60,1.000000e-60,1.760315e-26,7.274668e-18,2.011964e-02,1.929250e-24,1.160704e-17,1.567133e-28,1.050626e-21,5.499237e-32,8.261902e-06,1.445285e-03,4.462073e-05,2.862420e-14,4.495372e-27,1.353480e-05,1.757151e-15,5.640692e-23,1.051030e-10,1.318875e-10,1.895219e-08,5.577397e-17,9.430215e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.713623e+01,1.381396e-01,1.167918e-07,3.805353e-02,1.105469e+03,3.442296e-05,2.366690e-05,-0.000000e+00,7.092122e-13,-0.000000e+00,-5.360496e-16,1.488531e-02,7.086762e-13,-3.425021e-11,1.448095e-12,-3.569831e-11,-4.320834e-06,-7.050971e+04,6.781134e-05,4.253936e+02,7.773941e-01,1.179322e-02,7.092122e-13,3.044389e-05,1.390800e-04,8.363896e-15
1.482613e-01,1.430125e-21,7.509871e-01,6.081921e-22,3.318643e-03,1.000000e-60,1.898711e-23,1.504103e-19,1.265732e-02,8.809183e-17,2.968385e-08,2.098207e-01,1.042099e-36,1.000000e-60,5.305413e-26,1.529304e-17,2.159382e-02,4.612627e-24,2.300222e-17,5.232156e-28,2.208487e-21,1.949329e-31,9.282363e-06,1.551182e-03,4.723556e-05,4.822390e-14,1.243438e-26,1.454500e-05,3.428989e-15,1.185627e-22,1.128040e-10,1.710788e-10,2.033857e-08,7.454846e-17,1.009958e-07,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.701826e+01,1.482613e-01,1.284800e-07,3.901160e-02,1.112999e+03,3.505089e-05,2.399024e-05,-0.000000e+00,1.145831e-12,-0.000000e+00,-1.327444e-15,1.597596e-02,1.144504e-12,-3.967208e-11,2.393004e-12,-4.206508e-11,-4.531721e-06,-7.533489e+04,7.975734e-05,4.342289e+02,7.582653e-01,1.265732e-02,1.145831e-12,3.163832e-05,1.602077e-04,1.450315e-14
1.581922e-01,1.525919e-21,7.499067e-01,1.542782e-21,3.540935e-03,1.000000e-60,6.335903e-23,3.240885e-19,1.350514e-02,1.905983e-16,3.167216e-08,2.082762e-01,4.506677e-37,5.019190e-34,1.515293e-25,3.131218e-17,2.304024e-02,1.065936e-23,4.577657e-17,1.649108e-27,4.827039e-21,6.475349e-31,1.036469e-05,1.655084e-03,4.966644e-05,7.980990e-14,3.258374e-26,1.554666e-05,6.550849e-15,2.430777e-22,1.203599e-10,2.186021e-10,2.169657e-08,1.026830e-16,1.074798e-07,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.690350e+01,1.581922e-01,1.400392e-07,3.995043e-02,1.120437e+03,3.565612e-05,2.430043e-05,-0.000000e+00,1.805796e-12,-0.000000e+00,-3.128527e-15,1.704607e-02,1.802667e-12,-4.536195e-11,3.849694e-12,-4.921164e-11,-4.748007e-06,-8.006918e+04,9.339766e-05,4.427946e+02,7.404384e-01,1.350514e-02,1.805796e-12,3.281898e-05,1.823888e-04,2.438753e-14
