Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
5.388006e-03,5.179485e-23,7.670586e-01,8.604118e-12,1.858451e-05,1.000000e-60,6.700035e-07,5.502993e-07,2.569002e-03,1.594332e-07,6.002802e-07,2.300482e-01,2.017680e-25,5.663898e-16,1.322903e-14,4.444008e-10,2.622763e-05,2.038717e-15,2.152176e-09,7.040911e-10,1.377567e-08,2.275971e-10,1.675773e-04,6.775386e-05,1.246843e-05,1.435388e-07,1.294410e-12,2.373876e-05,8.770843e-08,7.519313e-09,5.500841e-08,8.100794e-10,2.898536e-06,5.015846e-10,2.642298e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.879699e+01,5.388006e-03,1.603934e+00,2.689575e-02,1.015267e+03,2.649132e-05,1.974398e-05,-0.000000e+00,1.858287e-03,-0.000000e+00,-4.903305e-06,2.587587e-03,1.853384e-03,-3.127032e-02,2.789939e-03,-3.406026e-02,-2.032511e+02,-7.222355e+03,3.107105e+05,3.244795e+02,1.081540e+00,2.569002e-03,1.858287e-03,1.825543e-05,6.599771e-06,4.773943e-06
1.077103e-02,1.035418e-22,7.669995e-01,5.789403e-11,3.715198e-05,1.000000e-60,1.502436e-06,1.661714e-06,5.135566e-03,4.578671e-07,1.195745e-06,2.272167e-01,6.232639e-24,5.105761e-15,3.096156e-13,2.933631e-09,5.242170e-05,2.828705e-14,4.269015e-09,1.348034e-09,2.787948e-08,4.686706e-10,3.360447e-04,1.354450e-04,2.470278e-05,2.970362e-07,2.964171e-12,4.624140e-05,1.904282e-07,1.508088e-08,1.108956e-07,1.660456e-09,5.659461e-06,1.252746e-09,5.134758e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.873844e+01,1.077103e-02,5.416960e+00,2.888819e-02,1.021595e+03,2.827755e-05,2.108360e-05,-0.000000e+00,9.477006e-03,-0.000000e+00,-4.378860e-05,5.172718e-03,9.433217e-03,-1.239861e-01,1.028178e-02,-1.342679e-01,-3.995535e+02,-9.787644e+03,1.246678e+06,3.551494e+02,9.861311e-01,5.135566e-03,9.477006e-03,2.138012e-05,2.637404e-05,4.866979e-05
1.613963e-02,1.551501e-22,7.669404e-01,2.281351e-10,5.567020e-05,1.000000e-60,2.520586e-06,3.512241e-06,7.695153e-03,9.614862e-07,1.782264e-06,2.243926e-01,7.436606e-23,2.855592e-14,3.860884e-12,1.242341e-08,7.853222e-05,1.911356e-13,6.352006e-09,1.919770e-09,4.238096e-08,7.179394e-10,5.054007e-04,2.029548e-04,3.662259e-05,4.647608e-07,5.143911e-12,6.714338e-05,3.098756e-07,2.262440e-08,1.678072e-07,2.576841e-09,8.228258e-06,2.245044e-09,7.420522e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.868025e+01,1.613963e-02,1.091760e+01,3.081236e-02,1.028211e+03,2.996697e-05,2.235291e-05,-0.000000e+00,2.671223e-02,-0.000000e+00,-1.926923e-04,7.750824e-03,2.651954e-02,-2.701036e-01,2.193306e-02,-2.920367e-01,-5.778320e+02,-1.234615e+04,2.787337e+06,3.854497e+02,9.067713e-01,7.695153e-03,2.671223e-02,2.465110e-05,5.921538e-05,2.055547e-04
2.148323e-02,2.065181e-22,7.668817e-01,7.316282e-10,7.410329e-05,1.000000e-60,3.743903e-06,6.227010e-06,1.024267e-02,1.743203e-06,2.355169e-06,2.215815e-01,5.796725e-22,1.196396e-13,2.481293e-11,3.615871e-08,1.045046e-04,7.837708e-13,8.403148e-09,2.402054e-09,5.734128e-08,9.697361e-10,6.755296e-04,2.701498e-04,4.811929e-05,6.513540e-07,8.027746e-12,8.620939e-05,4.469826e-07,3.007414e-08,2.257726e-07,3.590302e-09,1.056125e-05,3.450987e-09,9.458737e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.862251e+01,2.148323e-02,1.775934e+01,3.267694e-02,1.035119e+03,3.156831e-05,2.355851e-05,-0.000000e+00,5.819495e-02,-0.000000e+00,-5.998315e-04,1.031677e-02,5.759511e-02,-4.566553e-01,3.797968e-02,-4.946349e-01,-7.322180e+02,-1.489282e+04,4.891007e+06,4.153156e+02,8.398698e-01,1.024267e-02,5.819495e-02,2.805019e-05,1.049123e-04,5.960717e-04
2.679786e-02,2.576075e-22,7.668232e-01,2.042314e-09,9.243871e-05,1.000000e-60,5.194702e-06,9.890229e-06,1.277614e-02,2.879920e-06,2.910423e-06,2.187854e-01,3.401881e-21,4.037814e-13,9.965871e-11,8.229427e-08,1.303192e-04,2.330539e-12,1.042703e-08,2.791149e-09,7.281380e-08,1.219182e-09,8.464703e-04,3.369799e-04,5.906705e-05,8.618877e-07,1.187301e-11,1.033340e-04,6.024241e-07,3.735909e-08,2.847648e-07,4.739310e-09,1.263025e-05,4.833379e-09,1.122773e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.856526e+01,2.679786e-02,2.577273e+01,3.449073e-02,1.042320e+03,3.309036e-05,2.470701e-05,-0.000000e+00,1.092286e-01,-0.000000e+00,-1.502889e-03,1.286858e-02,1.077257e-01,-6.716988e-01,5.955028e-02,-7.312490e-01,-8.638803e+02,-1.742573e+04,7.554942e+06,4.447218e+02,7.827665e-01,1.277614e-02,1.092286e-01,3.156370e-05,1.632298e-04,1.395520e-03
3.206886e-02,3.082777e-22,7.667651e-01,5.084760e-09,1.106278e-04,1.000000e-60,6.894046e-06,1.453833e-05,1.528852e-02,4.441227e-06,3.443149e-06,2.160119e-01,1.600611e-20,1.148995e-12,2.926554e-10,1.591286e-07,1.559071e-04,5.593705e-12,1.242432e-08,3.097333e-09,8.878470e-08,1.462030e-09,1.017866e-03,4.032603e-04,6.929390e-05,1.100815e-06,1.698300e-11,1.184678e-04,7.760693e-07,4.439305e-08,3.444978e-07,6.065908e-09,1.441694e-05,6.344634e-09,1.271863e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.850865e+01,3.206886e-02,3.469746e+01,3.625704e-02,1.049792e+03,3.453736e-05,2.580157e-05,-0.000000e+00,1.855686e-01,-0.000000e+00,-3.229646e-03,1.539915e-02,1.823389e-01,-9.053443e-01,8.892881e-02,-9.942731e-01,-9.768214e+02,-1.993790e+04,1.083697e+07,4.735860e+02,7.336018e-01,1.528852e-02,1.855686e-01,3.517108e-05,2.337388e-04,2.837069e-03
3.726371e-02,3.582157e-22,7.667079e-01,1.143926e-08,1.285610e-04,1.000000e-60,8.857109e-06,2.015267e-05,1.776421e-02,6.473887e-06,3.947318e-06,2.132783e-01,6.255968e-20,2.855964e-12,6.959891e-10,2.743321e-07,1.811159e-04,1.152800e-11,1.438915e-08,3.340142e-09,1.051467e-07,1.694603e-09,1.188719e-03,4.685813e-04,7.858658e-05,1.371013e-06,2.367119e-11,1.315906e-04,9.664941e-07,5.107028e-08,4.043508e-07,7.611911e-09,1.591178e-05,7.927112e-09,1.393274e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.845302e+01,3.726371e-02,4.438633e+01,3.797192e-02,1.057475e+03,3.590809e-05,2.684109e-05,-0.000000e+00,2.929002e-01,-0.000000e+00,-6.172042e-03,1.789277e-02,2.867282e-01,-1.148747e+00,1.298046e-01,-1.278551e+00,-1.075571e+03,-2.241380e+04,1.484771e+07,5.017330e+02,6.910957e-01,1.776421e-02,2.929002e-01,3.883846e-05,3.155672e-04,5.203141e-03
4.235391e-02,4.071478e-22,7.666517e-01,2.348782e-08,1.461434e-04,1.000000e-60,1.109671e-05,2.667744e-05,2.018953e-02,8.993645e-06,4.418319e-06,2.105994e-01,2.084337e-19,6.373822e-12,1.428929e-09,4.344503e-07,2.058144e-04,2.120646e-11,1.631739e-08,3.543632e-09,1.217655e-07,1.914694e-09,1.358090e-03,5.325835e-04,8.675985e-05,1.674064e-06,3.222941e-11,1.427675e-04,1.171449e-06,5.730154e-08,4.636461e-07,9.420857e-09,1.712142e-05,9.522567e-09,1.488606e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.839866e+01,4.235391e-02,5.466879e+01,3.963178e-02,1.065303e+03,3.720235e-05,2.782517e-05,-0.000000e+00,4.364816e-01,-0.000000e+00,-1.074961e-02,2.033567e-02,4.257320e-01,-1.393349e+00,1.873498e-01,-1.580699e+00,-1.163913e+03,-2.483985e+04,1.973125e+07,5.290176e+02,6.541995e-01,2.018953e-02,4.364816e-01,4.253316e-05,4.076171e-04,8.812358e-03
4.732677e-02,4.549518e-22,7.665967e-01,4.447704e-08,1.633356e-04,1.000000e-60,1.362909e-05,3.404895e-05,2.255832e-02,1.198784e-05,4.853980e-06,2.079822e-01,6.058658e-19,1.305816e-11,2.638814e-09,6.450147e-07,2.299502e-04,3.576662e-11,1.821093e-08,3.730645e-09,1.385317e-07,2.121637e-09,1.525507e-03,5.951061e-04,9.369042e-05,2.010921e-06,4.290883e-11,1.521417e-04,1.388450e-06,6.303121e-08,5.218435e-07,1.154180e-08,1.806645e-05,1.108051e-08,1.560548e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.834569e+01,4.732677e-02,6.538152e+01,4.123719e-02,1.073224e+03,3.842366e-05,2.875618e-05,-0.000000e+00,6.211702e-01,-0.000000e+00,-1.738479e-02,2.272165e-02,6.037854e-01,-1.630556e+00,2.679500e-01,-1.898506e+00,-1.244508e+03,-2.720998e+04,2.564611e+07,5.553849e+02,6.219787e-01,2.255832e-02,6.211702e-01,4.623338e-05,5.088778e-04,1.401256e-02
