Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
5.819570e-03,1.000000e-60,7.670687e-01,4.135708e-11,1.572467e-05,1.708296e-27,1.058558e-06,1.101848e-06,2.832755e-03,3.578469e-07,9.748799e-07,2.297623e-01,1.663212e-24,9.988901e-16,1.282589e-15,1.010778e-10,1.507540e-05,5.996054e-16,7.384094e-10,2.122352e-10,4.842936e-09,8.182088e-11,1.927106e-04,5.413317e-05,1.497189e-05,1.222205e-07,1.876892e-12,3.200891e-05,4.354664e-08,5.445756e-09,3.505061e-08,7.008434e-10,4.071030e-06,8.465475e-10,3.753495e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.879296e+01,5.819570e-03,2.249332e+00,2.710059e-02,1.015831e+03,2.667823e-05,1.988734e-05,-0.000000e+00,4.784476e-03,-0.000000e+00,-8.395988e-06,2.848479e-03,4.776080e-03,-6.921210e-02,5.060743e-03,-7.427284e-02,-3.854112e+02,-7.427476e+03,6.753296e+05,3.276897e+02,1.070795e+00,2.832755e-03,4.784476e-03,1.857250e-05,8.024501e-06,1.355325e-05
1.161278e-02,1.000000e-60,7.670198e-01,2.659480e-10,3.137837e-05,3.408857e-27,2.380209e-06,3.264228e-06,5.652547e-03,9.700706e-07,1.931549e-06,2.266565e-01,5.168435e-23,8.685455e-15,4.963366e-14,8.719646e-10,3.007693e-05,1.009929e-14,1.458746e-09,3.927872e-10,9.793574e-09,1.678553e-10,3.864817e-04,1.080212e-04,2.943974e-05,2.549748e-07,4.383097e-12,6.167936e-05,9.647661e-08,1.084901e-08,7.089796e-08,1.456740e-09,7.862460e-06,2.115467e-09,7.204677e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.873062e+01,1.161278e-02,7.592388e+00,2.927390e-02,1.022760e+03,2.862246e-05,2.134945e-05,-0.000000e+00,2.284798e-02,-0.000000e+00,-7.674765e-05,5.683925e-03,2.277123e-02,-2.598985e-01,1.829841e-02,-2.781969e-01,-7.198189e+02,-1.018776e+04,2.606613e+06,3.613826e+02,9.688585e-01,5.652547e-03,2.284798e-02,2.203567e-05,3.195129e-05,1.291493e-04
1.734535e-02,1.000000e-60,7.669714e-01,9.456640e-10,4.686887e-05,5.091614e-27,3.996993e-06,6.740664e-06,8.442614e-03,1.926067e-06,2.856554e-06,2.235828e-01,5.714655e-22,4.708358e-14,1.128639e-12,5.146368e-09,4.491283e-05,9.315880e-14,2.159794e-09,5.554705e-10,1.482655e-08,2.560165e-10,5.805587e-04,1.613450e-04,4.321381e-05,4.014666e-07,7.763798e-12,8.843377e-05,1.596278e-07,1.614584e-08,1.075409e-07,2.299121e-09,1.127832e-05,3.758791e-09,1.025744e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.866912e+01,1.734535e-02,1.513453e+01,3.135136e-02,1.029984e+03,3.043869e-05,2.271859e-05,-0.000000e+00,5.991719e-02,-0.000000e+00,-3.363727e-04,8.489482e-03,5.958082e-02,-5.358965e-01,3.849354e-02,-5.743900e-01,-9.893745e+02,-1.291929e+04,5.602287e+06,3.943756e+02,8.859044e-01,8.442614e-03,5.991719e-02,2.564452e-05,7.127773e-05,5.058577e-04
2.296027e-02,1.000000e-60,7.669240e-01,2.679139e-09,6.204309e-05,6.739837e-27,5.923685e-06,1.163371e-05,1.117514e-02,3.308598e-06,3.733459e-06,2.205719e-01,3.956990e-21,1.941304e-13,1.167231e-11,1.911233e-08,5.943094e-05,4.831060e-13,2.837890e-09,6.965885e-10,1.990939e-08,3.436993e-10,7.731995e-04,2.135744e-04,5.602868e-05,5.647601e-07,1.232115e-11,1.118959e-04,2.329780e-07,2.124411e-08,1.447211e-07,3.260293e-09,1.424460e-05,5.684318e-09,1.284931e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.860906e+01,2.296027e-02,2.437052e+01,3.332993e-02,1.037438e+03,3.212716e-05,2.399478e-05,-0.000000e+00,1.216779e-01,-0.000000e+00,-1.022046e-03,1.123718e-02,1.206559e-01,-8.590148e-01,6.610380e-02,-9.251186e-01,-1.196481e+03,-1.559490e+04,9.474742e+06,4.263463e+02,8.177558e-01,1.117514e-02,1.216779e-01,2.934223e-05,1.248838e-04,1.359768e-03
2.840733e-02,1.000000e-60,7.668780e-01,6.640355e-09,7.676673e-05,8.338786e-27,8.164052e-06,1.790886e-05,1.382560e-02,5.174334e-06,4.549283e-06,2.176507e-01,2.035138e-20,6.462974e-13,6.233988e-11,4.954412e-08,7.349869e-05,1.619913e-12,3.490209e-09,8.123076e-10,2.500690e-08,4.285544e-10,9.626783e-04,2.642421e-04,6.763556e-05,7.471659e-07,1.837841e-11,1.319948e-04,3.157792e-07,2.605990e-08,1.820413e-07,4.373234e-09,1.673296e-05,7.779604e-09,1.496881e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.855095e+01,2.840733e-02,3.481232e+01,3.520667e-02,1.045038e+03,3.368939e-05,2.517885e-05,-0.000000e+00,2.132376e-01,-0.000000e+00,-2.457197e-03,1.390237e-02,2.107804e-01,-1.199498e+00,1.033552e-01,-1.302853e+00,-1.353363e+03,-1.819063e+04,1.413373e+07,4.570251e+02,7.613127e-01,1.382560e-02,2.132376e-01,3.307294e-05,1.911472e-04,2.948138e-03
3.367192e-02,1.000000e-60,7.668336e-01,1.480373e-08,9.100239e-05,9.884171e-27,1.072649e-05,2.547434e-05,1.638683e-02,7.551390e-06,5.299109e-06,2.148269e-01,8.363857e-20,1.802171e-12,2.133819e-10,1.018651e-07,8.707915e-05,4.086972e-12,4.117989e-09,9.055129e-10,3.010092e-08,5.092868e-10,1.148362e-03,3.132120e-04,7.788315e-05,9.506051e-07,2.627674e-11,1.489558e-04,4.071253e-07,3.054761e-08,2.191866e-07,5.676137e-09,1.876313e-05,9.942490e-09,1.665049e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.849493e+01,3.367192e-02,4.613148e+01,3.698827e-02,1.052729e+03,3.513559e-05,2.627816e-05,-0.000000e+00,3.392639e-01,-0.000000e+00,-5.021529e-03,1.647783e-02,3.342424e-01,-1.538325e+00,1.546086e-01,-1.692934e+00,-1.474216e+03,-2.069948e+04,1.963531e+07,4.863534e+02,7.140001e-01,1.638683e-02,3.392639e-01,3.680414e-05,2.685282e-04,5.559460e-03
3.875948e-02,1.000000e-60,7.667905e-01,3.010075e-08,1.047674e-04,1.137759e-26,1.362592e-05,3.422540e-05,1.886139e-02,1.043861e-05,5.982857e-06,2.120977e-01,2.869890e-19,4.358065e-12,5.495858e-10,1.802679e-07,1.001896e-04,8.549633e-12,4.724579e-09,9.831484e-10,3.518130e-08,5.854260e-10,1.330262e-03,3.605342e-04,8.668783e-05,1.176409e-06,3.634823e-11,1.631197e-04,5.060248e-07,3.468577e-08,2.558966e-07,7.212370e-09,2.037817e-05,1.208850e-08,1.794814e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.844093e+01,3.875948e-02,5.813091e+01,3.868536e-02,1.060481e+03,3.647907e-05,2.730234e-05,-0.000000e+00,5.041258e-01,-0.000000e+00,-9.119377e-03,1.896615e-02,4.950065e-01,-1.862742e+00,2.262549e-01,-2.088997e+00,-1.570366e+03,-2.312403e+04,2.613199e+07,5.143866e+02,6.738089e-01,1.886139e-02,5.041258e-01,4.051941e-05,3.557520e-04,9.508513e-03
4.368768e-02,1.000000e-60,7.667488e-01,5.647871e-08,1.181127e-04,1.282423e-26,1.688581e-05,4.407154e-05,2.125779e-02,1.381008e-05,6.603243e-06,2.094536e-01,8.495592e-19,9.430547e-12,1.175875e-09,2.881942e-07,1.128802e-04,1.572302e-11,5.314568e-09,1.052867e-09,4.024463e-08,6.570280e-10,1.508811e-03,4.063724e-04,9.401775e-05,1.425487e-06,4.889396e-11,1.748497e-04,6.114676e-07,3.846892e-08,2.919730e-07,9.032323e-09,2.162928e-05,1.415222e-08,1.891956e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.838873e+01,4.368768e-02,7.058538e+01,4.031031e-02,1.068278e+03,3.773392e-05,2.826168e-05,-0.000000e+00,7.120635e-01,-0.000000e+00,-1.516156e-02,2.137591e-02,6.969019e-01,-2.162581e+00,3.261588e-01,-2.488739e+00,-1.649471e+03,-2.547265e+04,3.381478e+07,5.412456e+02,6.391962e-01,2.125779e-02,7.120635e-01,4.421441e-05,4.518936e-04,1.513690e-02
4.849219e-02,1.000000e-60,7.667081e-01,9.905003e-08,1.311388e-04,1.423456e-26,2.054956e-05,5.497815e-05,2.359332e-02,1.763219e-05,7.165487e-06,2.068757e-01,2.233632e-18,1.876293e-11,2.221242e-09,4.291418e-07,1.252485e-04,2.639690e-11,5.894629e-09,1.121270e-09,4.530545e-08,7.245563e-10,1.685120e-03,4.510579e-04,9.988844e-05,1.699303e-06,6.421356e-11,1.845005e-04,7.227317e-07,4.190859e-08,3.273601e-07,1.120238e-08,2.256827e-05,1.608947e-08,1.961929e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.833795e+01,4.849219e-02,8.343615e+01,4.187944e-02,1.076138e+03,3.891643e-05,2.916819e-05,-0.000000e+00,9.681004e-01,-0.000000e+00,-2.358572e-02,2.372446e-02,9.445147e-01,-2.429182e+00,4.632370e-01,-2.892419e+00,-1.716447e+03,-2.776233e+04,4.290532e+07,5.671440e+02,6.089164e-01,2.359332e-02,9.681004e-01,4.790180e-05,5.566447e-04,2.284070e-02
