Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
1.292346e-02,2.013827e-24,7.657214e-01,1.081720e-23,1.802258e-04,1.000000e-60,4.952341e-27,8.134546e-19,2.032145e-03,5.696751e-17,4.974192e-06,2.300583e-01,1.475324e-36,1.000000e-60,1.994923e-29,9.633266e-18,1.909132e-03,6.914012e-25,3.655259e-10,8.522704e-19,3.664562e-08,9.994945e-29,2.819918e-06,8.241839e-05,5.348810e-06,1.267868e-11,2.455089e-28,3.156695e-06,1.928361e-14,5.786751e-18,1.727801e-08,3.237823e-10,2.307968e-09,3.425516e-18,3.172726e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.870794e+01,1.292346e-02,2.535318e-04,2.677067e-02,1.018443e+03,2.628588e-05,1.948425e-05,-0.000000e+00,2.975078e-14,-0.000000e+00,-2.278923e-15,2.212370e-03,2.747185e-14,-1.060176e-11,4.690494e-13,-1.107081e-11,-3.925933e-06,-1.081766e+04,2.353289e-05,3.192117e+02,1.095988e+00,2.032145e-03,2.975078e-14,1.777780e-05,4.129613e-06,6.045790e-17
2.570341e-02,4.005292e-24,7.643404e-01,2.206168e-22,3.584503e-04,1.000000e-60,3.053913e-25,4.516044e-18,4.041724e-03,3.904649e-16,9.893150e-06,2.272659e-01,2.428425e-36,1.000000e-60,1.245876e-27,7.446909e-17,3.797065e-03,1.159965e-23,7.269943e-10,4.222998e-18,7.288436e-08,1.462777e-27,5.608535e-06,1.639216e-04,1.063821e-05,2.567783e-11,7.048621e-27,6.278337e-06,8.653841e-14,2.051698e-17,3.436416e-08,6.439512e-10,4.590305e-09,7.350881e-18,6.310218e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.856321e+01,2.570341e-02,8.185811e-04,2.865740e-02,1.027943e+03,2.787841e-05,2.056673e-05,-0.000000e+00,3.471407e-13,-0.000000e+00,-2.685649e-14,4.400174e-03,3.202842e-13,-3.193042e-11,3.338490e-12,-3.526891e-11,-6.288436e-06,-1.691213e+04,8.655730e-05,3.442461e+02,1.011162e+00,4.041724e-03,3.471407e-13,2.033970e-05,1.633553e-05,1.403047e-15
3.818356e-02,5.950041e-24,7.629919e-01,2.251526e-21,5.324940e-04,1.000000e-60,9.293371e-24,1.862328e-17,6.004162e-03,1.963749e-15,1.469672e-05,2.245389e-01,1.000000e-60,1.000000e-60,3.014002e-26,3.713585e-16,5.640711e-03,9.178741e-23,1.079989e-09,1.367336e-17,1.082732e-07,1.181580e-26,8.331749e-06,2.435129e-04,1.580351e-05,3.932014e-11,7.940600e-26,9.326749e-06,2.794064e-13,5.634387e-17,5.104950e-08,9.565433e-10,6.819094e-09,1.167495e-17,9.374100e-09,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.842327e+01,3.818356e-02,1.576142e-03,3.046996e-02,1.037559e+03,2.936697e-05,2.157016e-05,-0.000000e+00,2.116583e-12,-0.000000e+00,-1.495292e-13,6.536656e-03,1.967054e-12,-5.295408e-11,1.290417e-11,-6.585825e-11,-7.904493e-06,-2.286367e+04,2.094359e-04,3.683152e+02,9.404528e-01,6.004162e-03,2.116583e-12,2.293593e-05,3.604996e-05,1.270831e-14
5.027922e-02,7.834874e-24,7.616848e-01,1.519728e-20,7.011756e-04,1.000000e-60,1.654347e-22,6.140941e-17,7.906140e-03,7.779774e-15,1.935230e-05,2.218960e-01,2.267867e-34,8.164676e-34,4.104158e-25,1.409615e-15,7.427556e-03,4.825665e-22,1.422127e-09,3.514683e-17,1.425721e-07,6.845268e-26,1.097107e-05,3.206521e-04,2.080966e-05,5.419771e-11,5.456158e-25,1.228124e-05,7.542328e-13,1.343241e-16,6.722079e-08,1.259318e-09,8.979197e-09,1.649404e-17,1.234356e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.828895e+01,5.027922e-02,2.461739e-03,3.220405e-02,1.047187e+03,3.075290e-05,2.249762e-05,-0.000000e+00,9.043918e-12,-0.000000e+00,-5.723817e-13,8.607316e-03,8.471537e-12,-6.589363e-11,3.855954e-11,-1.044532e-10,-9.520778e-06,-2.863188e+04,4.774570e-04,3.912858e+02,8.810597e-01,7.906140e-03,9.043918e-12,2.553473e-05,6.250705e-05,7.150248e-14
6.199744e-02,9.660892e-24,7.604186e-01,7.730638e-20,8.645936e-04,1.000000e-60,1.954256e-21,1.717195e-16,9.748767e-03,2.575874e-14,2.386259e-05,2.193355e-01,2.083393e-34,1.119274e-33,3.743175e-24,4.422428e-15,9.158643e-03,1.941023e-21,1.753636e-09,7.746912e-17,1.758019e-07,3.184867e-25,1.352805e-05,3.953841e-04,2.565958e-05,7.125083e-11,2.728087e-24,1.514352e-05,1.805501e-12,2.916558e-16,8.288745e-08,1.552214e-09,1.107185e-08,2.283353e-17,1.522032e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.816003e+01,6.199744e-02,3.422838e-03,3.386689e-02,1.056794e+03,3.204683e-05,2.335808e-05,-0.000000e+00,3.065990e-11,-0.000000e+00,-1.734499e-12,1.061336e-02,2.892540e-11,-6.378461e-11,1.000474e-10,-1.638320e-10,-1.211055e-05,-3.422011e+04,1.096766e-03,4.132045e+02,8.305209e-01,9.748767e-03,3.065990e-11,2.812461e-05,9.503846e-05,2.988962e-13
7.338047e-02,1.143468e-23,7.591886e-01,3.213623e-19,1.023337e-03,1.000000e-60,1.685111e-20,4.259565e-16,1.153869e-02,7.466261e-14,2.824389e-05,2.168483e-01,1.773010e-34,2.668639e-33,2.546731e-23,1.209102e-14,1.084021e-02,6.473179e-21,2.075765e-09,1.528138e-16,2.080834e-07,1.279540e-24,1.601189e-05,4.679786e-04,3.037078e-05,9.185717e-11,1.094854e-23,1.792393e-05,3.976963e-12,5.962581e-16,9.810600e-08,1.835910e-09,1.310455e-08,3.498194e-17,1.801469e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.803591e+01,7.338047e-02,4.440067e-03,3.546911e-02,1.066379e+03,3.326127e-05,2.416128e-05,-0.000000e+00,8.859496e-11,-0.000000e+00,-4.486822e-12,1.256203e-02,8.410814e-11,-3.872927e-11,2.374048e-10,-2.761341e-10,-1.724556e-05,-3.964850e+04,2.502471e-03,4.341812e+02,7.869120e-01,1.153869e-02,8.859496e-11,3.070392e-05,1.331414e-04,1.022270e-12
8.447620e-02,1.316370e-23,7.579896e-01,1.153663e-18,1.178074e-03,1.000000e-60,1.138639e-19,9.696446e-16,1.328343e-02,1.962659e-13,3.251459e-05,2.144239e-01,5.407113e-34,1.000000e-60,1.391333e-22,2.990659e-14,1.247934e-02,1.886463e-20,2.389967e-09,2.771297e-16,2.395545e-07,4.678913e-24,1.843304e-05,5.387408e-04,3.496308e-05,1.180368e-10,3.753016e-23,2.063412e-05,8.274058e-12,1.177423e-15,1.129404e-07,2.111256e-09,1.508579e-08,6.671407e-17,2.073837e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.791597e+01,8.447620e-02,5.497245e-03,3.702088e-02,1.075954e+03,3.440750e-05,2.491578e-05,-0.000000e+00,2.287392e-10,-0.000000e+00,-1.039074e-11,1.446151e-02,2.183485e-10,1.916233e-11,5.297957e-10,-5.106334e-10,-2.770207e-05,-4.493988e+04,5.568455e-03,4.543307e+02,7.487954e-01,1.328343e-02,2.287392e-10,3.327448e-05,1.764495e-04,3.038441e-12
9.533317e-02,1.485551e-23,7.568164e-01,3.724667e-18,1.329482e-03,1.000000e-60,6.367069e-19,2.080233e-15,1.499063e-02,4.810318e-13,3.669340e-05,2.120516e-01,1.000000e-60,8.375884e-32,6.444140e-22,6.888059e-14,1.408320e-02,4.990849e-20,2.697770e-09,4.706395e-16,2.703561e-07,1.625286e-23,2.080210e-05,6.079803e-04,3.945659e-05,1.528786e-10,1.147530e-22,2.328596e-05,1.659894e-11,2.295078e-15,1.274557e-07,2.379974e-09,1.702411e-08,1.553213e-16,2.340314e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.779960e+01,9.533317e-02,6.584238e-03,3.853152e-02,1.085537e+03,3.549535e-05,2.562895e-05,-0.000000e+00,5.460275e-10,-0.000000e+00,-2.229323e-11,1.632012e-02,5.237343e-10,1.219943e-10,1.132922e-09,-1.010928e-09,-4.859739e-05,-5.011739e+04,1.203306e-02,4.737636e+02,7.150880e-01,1.499063e-02,5.460275e-10,3.584027e-05,2.247190e-04,8.185296e-12
1.059935e-01,1.651668e-23,7.556645e-01,1.115589e-17,1.478146e-03,1.000000e-60,3.074435e-18,4.296826e-15,1.666691e-02,1.123579e-12,4.079652e-05,2.097223e-01,3.368637e-34,2.878007e-31,2.638269e-21,1.512245e-13,1.565801e-02,1.234520e-19,3.000611e-09,7.583025e-16,3.006125e-07,5.561921e-23,2.312823e-05,6.759657e-04,4.386876e-05,2.012540e-10,3.231555e-22,2.588968e-05,3.264876e-11,4.500143e-15,1.417080e-07,2.646871e-09,1.892686e-08,3.893388e-16,2.601918e-08,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.768629e+01,1.059935e-01,7.688114e-03,4.000882e-02,1.095145e+03,3.653288e-05,2.630670e-05,-0.000000e+00,1.237243e-09,-0.000000e+00,-4.554212e-11,1.814506e-02,1.191701e-09,2.823775e-10,2.356228e-09,-2.073851e-09,-8.966749e-05,-5.520112e+04,2.538114e-02,4.925736e+02,6.849772e-01,1.666691e-02,1.237243e-09,3.840522e-05,2.777859e-04,2.062102e-11
