Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
8.539707e-03,1.000000e-60,7.670551e-01,1.491148e-10,2.108301e-05,1.000000e-60,1.799677e-06,2.281349e-06,4.181734e-03,7.267979e-07,1.605029e-06,2.282819e-01,1.502829e-23,3.711649e-15,4.197519e-15,1.889991e-10,1.709631e-05,1.623932e-15,6.650417e-10,1.737525e-10,4.424157e-09,7.471716e-11,2.844177e-04,6.909348e-05,2.231226e-05,1.720831e-07,3.133734e-12,4.849174e-05,5.001421e-08,6.566877e-09,4.096701e-08,9.667735e-10,6.285300e-06,1.558476e-09,5.800640e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.876395e+01,8.539707e-03,4.686987e+00,2.815009e-02,1.019072e+03,2.762326e-05,2.059912e-05,-0.000000e+00,1.379222e-02,-0.000000e+00,-2.898076e-05,4.202817e-03,1.376324e-02,-1.691405e-01,1.154789e-02,-1.806884e-01,-6.352923e+02,-8.723658e+03,1.675934e+06,3.438871e+02,1.019331e+00,4.181734e-03,1.379222e-02,2.020847e-05,1.748690e-05,5.767540e-05
1.646022e-02,1.000000e-60,7.669968e-01,1.047987e-09,4.063812e-05,1.000000e-60,4.082951e-06,7.022265e-06,8.059882e-03,2.050012e-06,3.050292e-06,2.240148e-01,5.995314e-22,3.979430e-14,4.290362e-13,2.678142e-09,3.294289e-05,4.592639e-14,1.265250e-09,3.075098e-10,8.680174e-09,1.485732e-10,5.528285e-04,1.331771e-04,4.194862e-05,3.553575e-07,7.624798e-12,8.829992e-05,1.117540e-07,1.257913e-08,8.076872e-08,2.010671e-09,1.145973e-05,3.894021e-09,1.046750e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.867915e+01,1.646022e-02,1.462316e+01,3.106824e-02,1.028913e+03,3.019520e-05,2.253796e-05,-0.000000e+00,6.321058e-02,-0.000000e+00,-2.904034e-04,8.100520e-03,6.292018e-02,-5.615227e-01,3.888590e-02,-6.004086e-01,-1.086067e+03,-1.249854e+04,5.879415e+06,3.899374e+02,8.963010e-01,8.059882e-03,6.321058e-02,2.514553e-05,6.496170e-05,5.094698e-04
2.355028e-02,1.000000e-60,7.669447e-01,3.844903e-09,5.814528e-05,1.000000e-60,6.743705e-06,1.396444e-05,1.153090e-02,4.009588e-06,4.286145e-06,2.201944e-01,6.868209e-21,2.285305e-13,9.453147e-12,1.534048e-08,4.711190e-05,4.024041e-13,1.793110e-09,4.127165e-10,1.263272e-08,2.164443e-10,7.976565e-04,1.905416e-04,5.831921e-05,5.486776e-07,1.378795e-11,1.190353e-04,1.817408e-07,1.782752e-08,1.182441e-07,3.161936e-09,1.540477e-05,6.580621e-09,1.392121e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.860351e+01,2.355028e-02,2.691198e+01,3.358053e-02,1.038355e+03,3.234013e-05,2.416070e-05,-0.000000e+00,1.527889e-01,-0.000000e+00,-1.188182e-03,1.158905e-02,1.516007e-01,-1.016336e+00,7.772109e-02,-1.094057e+00,-1.371589e+03,-1.587846e+04,1.143401e+07,4.305764e+02,8.095650e-01,1.153090e-02,1.527889e-01,2.984405e-05,1.329617e-04,1.761794e-03
3.001328e-02,1.000000e-60,7.668971e-01,1.081061e-08,7.410885e-05,1.000000e-60,9.773388e-06,2.274667e-05,1.469432e-02,6.622435e-06,5.349594e-06,2.167113e-01,4.482083e-20,9.024223e-13,6.874516e-11,4.725377e-08,6.000749e-05,1.662462e-12,2.269664e-09,4.925702e-10,1.637569e-08,2.782428e-10,1.024918e-03,2.428324e-04,7.189327e-05,7.577436e-07,2.207078e-11,1.429242e-04,2.588596e-07,2.243726e-08,1.539971e-07,4.485169e-09,1.838120e-05,9.365792e-09,1.644384e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.853478e+01,3.001328e-02,4.031504e+01,3.580873e-02,1.047504e+03,3.418480e-05,2.556131e-05,-0.000000e+00,2.857488e-01,-0.000000e+00,-3.224273e-03,1.476843e-02,2.825245e-01,-1.464118e+00,1.313905e-01,-1.595509e+00,-1.556719e+03,-1.895990e+04,1.797587e+07,4.671234e+02,7.444327e-01,1.469432e-02,2.857488e-01,3.433663e-05,2.159230e-04,4.198884e-03
3.609310e-02,1.000000e-60,7.668523e-01,2.593824e-08,8.913413e-05,1.000000e-60,1.324255e-05,3.325043e-05,1.766946e-02,9.922005e-06,6.284467e-06,2.134341e-01,2.109883e-19,2.781825e-12,2.692182e-10,1.050133e-07,7.211899e-05,4.610867e-12,2.716573e-09,5.552519e-10,2.002799e-08,3.353665e-10,1.242425e-03,2.920223e-04,8.315196e-05,9.896749e-07,3.309570e-11,1.618948e-04,3.435048e-07,2.656376e-08,1.888607e-07,6.067801e-09,2.063376e-05,1.213516e-08,1.828778e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.847031e+01,3.609310e-02,5.466220e+01,3.786313e-02,1.056584e+03,3.583543e-05,2.681904e-05,-0.000000e+00,4.687227e-01,-0.000000e+00,-6.989675e-03,1.775859e-02,4.617330e-01,-1.885839e+00,2.091261e-01,-2.094965e+00,-1.686191e+03,-2.185884e+04,2.573444e+07,5.010566e+02,6.924492e-01,1.766946e-02,4.687227e-01,3.873070e-05,3.122098e-04,8.282077e-03
4.191707e-02,1.000000e-60,7.668094e-01,5.528553e-08,1.035400e-04,1.000000e-60,1.722258e-05,4.539645e-05,2.051855e-02,1.390174e-05,7.113094e-06,2.102943e-01,7.911991e-19,7.204599e-12,7.437235e-10,1.939465e-07,8.370522e-05,1.016222e-11,3.145956e-09,6.090249e-10,2.364472e-08,3.886298e-10,1.454233e-03,3.391410e-04,9.227075e-05,1.248652e-06,4.747101e-11,1.770463e-04,4.354647e-07,3.027348e-08,2.230836e-07,8.000201e-09,2.231025e-05,1.479498e-08,1.960809e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.840870e+01,4.191707e-02,6.969947e+01,3.980116e-02,1.065698e+03,3.734750e-05,2.797521e-05,-0.000000e+00,7.092503e-01,-0.000000e+00,-1.313579e-02,2.062209e-02,6.961145e-01,-2.268846e+00,3.238373e-01,-2.592683e+00,-1.782852e+03,-2.463588e+04,3.508261e+07,5.331439e+02,6.493659e-01,2.051855e-02,7.092503e-01,4.308081e-05,4.210109e-04,1.455279e-02
4.756967e-02,1.000000e-60,7.667677e-01,1.072931e-07,1.175407e-04,1.000000e-60,2.180019e-05,5.915615e-05,2.328278e-02,1.852218e-05,7.849421e-06,2.072464e-01,2.504321e-18,1.648413e-11,1.665862e-09,3.191422e-07,9.494069e-05,1.936248e-11,3.566570e-09,6.607642e-10,2.725808e-08,4.386458e-10,1.663061e-03,3.848710e-04,9.932510e-05,1.537724e-06,6.577532e-11,1.891025e-04,5.342171e-07,3.359968e-08,2.567117e-07,1.039111e-08,2.351459e-05,1.727013e-08,2.051331e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.834904e+01,4.756967e-02,8.546244e+01,4.165961e-02,1.074914e+03,3.875624e-05,2.905596e-05,-0.000000e+00,1.015859e+00,-0.000000e+00,-2.237148e-02,2.340032e-02,9.934876e-01,-2.600233e+00,4.908392e-01,-3.091072e+00,-1.858664e+03,-2.733121e+04,4.643436e+07,5.638859e+02,6.126744e-01,2.328278e-02,1.015859e+00,4.742480e-05,5.420878e-04,2.365202e-02
5.311350e-02,1.000000e-60,7.667268e-01,1.930513e-07,1.312986e-04,1.000000e-60,2.708154e-05,7.454164e-05,2.599261e-02,2.371301e-05,8.502784e-06,2.042569e-01,6.955006e-18,3.446670e-11,3.258444e-09,4.858417e-07,1.059577e-04,3.340689e-11,3.985735e-09,7.155704e-10,3.088844e-08,4.858648e-10,1.870953e-03,4.297176e-04,1.043584e-04,1.859384e-06,8.851154e-11,1.985702e-04,6.389185e-07,3.655917e-08,2.896966e-07,1.337777e-08,2.432461e-05,1.949914e-08,2.108351e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.829066e+01,5.311350e-02,1.018975e+02,4.346459e-02,1.084279e+03,4.008616e-05,3.007947e-05,-0.000000e+00,1.398017e+00,-0.000000e+00,-3.546817e-02,2.612391e-02,1.362548e+00,-2.865425e+00,7.259128e-01,-3.591338e+00,-1.919524e+03,-2.997465e+04,6.019169e+07,5.936433e+02,5.807645e-01,2.599261e-02,1.398017e+00,5.179289e-05,6.756158e-04,3.633811e-02
5.858344e-02,1.000000e-60,7.666863e-01,3.262156e-07,1.449092e-04,1.000000e-60,3.317973e-05,9.155137e-05,2.866491e-02,2.936108e-05,9.077943e-06,2.013071e-01,1.738785e-17,6.729866e-11,5.800162e-09,6.990530e-07,1.168353e-04,5.360720e-11,4.409126e-09,7.769276e-10,3.453840e-08,5.304767e-10,2.078991e-03,4.739616e-04,1.074057e-04,2.214921e-06,1.159899e-10,2.057954e-04,7.480737e-07,3.915286e-08,3.218520e-07,1.712733e-08,2.479913e-05,2.142652e-08,2.137862e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.823315e+01,5.858344e-02,1.189930e+02,4.523103e-02,1.093806e+03,4.135196e-05,3.105646e-05,-0.000000e+00,1.864897e+00,-0.000000e+00,-5.321677e-02,2.880982e-02,1.811680e+00,-3.049164e+00,1.042256e+00,-4.091420e+00,-1.967984e+03,-3.258281e+04,7.668356e+07,6.226139e+02,5.526156e-01,2.866491e-02,1.864897e+00,5.619903e-05,8.216771e-04,5.345710e-02
